年・期平均,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／令和３年,2021,,421,685,902,402,1294,354,297,570,480,272,458,883,671
実数／男女計／令和４年,2022,,430,667,973,383,1302,352,295,587,506,302,420,919,675
実数／男女計／令和５年,2023,,454,711,972,371,1254,332,300,616,534,297,422,913,703
実数／男女計／令和３年10～12月,2021,10～12,423,678,965,457,1285,375,326,585,531,276,438,865,702
実数／男女計／令和４年１～３月,2022,01～03,476,708,922,409,1340,295,297,626,474,328,373,883,603
実数／男女計／令和４年４～６月,2022,04～06,405,649,1020,385,1320,337,317,589,500,291,414,957,685
実数／男女計／令和４年７～９月,2022,07～09,430,663,999,338,1274,379,309,569,526,277,460,886,686
実数／男女計／令和４年10～12月,2022,10～12,409,649,952,402,1271,397,258,565,524,310,431,949,726
実数／男女計／令和５年１～３月,2023,01～03,483,699,954,402,1233,321,311,590,510,301,411,906,671
実数／男女計／令和５年４～６月,2023,04～06,444,744,1000,374,1226,324,328,634,522,303,411,929,692
実数／男女計／令和５年７～９月,2023,07～09,446,709,922,359,1258,334,283,604,583,292,432,922,743
実数／男女計／令和５年10～12月,2023,10～12,442,693,1011,349,1300,348,277,636,519,290,432,895,707
実数／男女計／令和６年１～３月,2024,01～03,432,672,1035,370,1176,345,277,605,550,309,457,887,715
実数／男／令和３年,2021,,335,482,616,304,642,170,174,342,214,117,196,223,382
実数／男／令和４年,2022,,351,469,670,293,648,179,171,346,216,124,181,230,379
実数／男／令和５年,2023,,365,485,668,277,619,158,167,370,231,123,181,232,405
実数／男／令和３年10～12月,2021,10～12,340,478,648,354,640,177,187,352,243,109,190,199,413
実数／男／令和４年１～３月,2022,01～03,387,495,632,314,633,146,184,343,205,131,161,227,343
実数／男／令和４年４～６月,2022,04～06,323,458,716,287,649,170,196,363,207,123,182,240,386
実数／男／令和４年７～９月,2022,07～09,346,478,665,252,672,179,165,344,221,120,199,218,402
実数／男／令和４年10～12月,2022,10～12,347,446,666,317,637,219,140,335,231,123,183,234,387
実数／男／令和５年１～３月,2023,01～03,387,462,644,281,645,138,180,351,231,140,171,216,366
実数／男／令和５年４～６月,2023,04～06,356,513,692,278,599,167,191,385,200,131,180,226,402
実数／男／令和５年７～９月,2023,07～09,358,477,643,272,627,152,151,366,273,109,179,249,426
実数／男／令和５年10～12月,2023,10～12,360,489,692,278,603,174,148,378,220,110,192,236,427
実数／男／令和６年１～３月,2024,01～03,334,450,712,265,622,162,160,381,234,141,197,214,405
実数／女／令和３年,2021,,86,203,286,99,652,183,123,228,266,155,262,660,289
実数／女／令和４年,2022,,79,198,304,91,654,173,124,241,290,178,238,689,296
実数／女／令和５年,2023,,89,226,304,94,636,174,132,246,302,174,241,681,298
