区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12647,12573,74,0.6,6176,6138,38,0.6,6472,6435,37,0.6
〔就業状態〕／労働力人口,8694,8646,48,0.6,4703,4728,-25,-0.5,3991,3918,73,1.9
〔就業状態〕／労働力人口／就業者数,8435,8418,17,0.2,4565,4612,-47,-1,3870,3807,63,1.7
〔就業状態〕／労働力人口／就業者数／自営業主数,546,606,-60,-9.9,390,430,-40,-9.3,156,176,-20,-11.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,74,97,-23,-23.7,10,19,-9,-47.4,63,78,-15,-19.2
〔就業状態〕／労働力人口／就業者数／雇用者数,7778,7687,91,1.2,4143,4147,-4,-0.1,3635,3540,95,2.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4809,4741,68,1.4,2930,2912,18,0.6,1879,1829,50,2.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2376,2372,4,0.2,794,800,-6,-0.8,1582,1571,11,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1573,1563,10,0.6,422,421,1,0.2,1151,1141,10,0.9
〔就業状態〕／労働力人口／完全失業者数,259,228,31,13.6,138,116,22,19,121,111,10,9
〔就業状態〕／非労働力人口,3946,3917,29,0.7,1469,1403,66,4.7,2476,2514,-38,-1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,8435,8418,17,0.2,4565,4612,-47,-1,3870,3807,63,1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8190,8198,-8,-0.1,4473,4520,-47,-1,3717,3678,39,1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6996,7002,-6,-0.1,4227,4272,-45,-1.1,2769,2730,39,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,308,294,14,4.8,149,134,15,11.2,159,160,-1,-0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,886,901,-15,-1.7,97,113,-16,-14.2,789,788,1,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,245,220,25,11.4,91,92,-1,-1.1,154,129,25,19.4
〔就業者の主な産業別内訳〕／建設業,433,444,-11,-2.5,343,356,-13,-3.7,90,88,2,2.3
〔就業者の主な産業別内訳〕／製造業,716,744,-28,-3.8,473,513,-40,-7.8,243,231,12,5.2
〔就業者の主な産業別内訳〕／情報通信業,995,1000,-5,-0.5,689,692,-3,-0.4,307,308,-1,-0.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,326,374,-48,-12.8,245,278,-33,-11.9,81,96,-15,-15.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1201,1226,-25,-2,574,599,-25,-4.2,627,627,0,0
〔就業者の主な産業別内訳〕／金融業，保険業,309,324,-15,-4.6,159,167,-8,-4.8,150,157,-7,-4.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,294,328,-34,-10.4,169,191,-22,-11.5,125,137,-12,-8.8
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,638,634,4,0.6,382,385,-3,-0.8,256,249,7,2.8
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,573,522,51,9.8,264,200,64,32,308,321,-13,-4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,299,303,-4,-1.3,128,131,-3,-2.3,171,172,-1,-0.6
〔就業者の主な産業別内訳〕／教育，学習支援業,496,411,85,20.7,226,180,46,25.6,269,231,38,16.5
〔就業者の主な産業別内訳〕／医療，福祉,993,929,64,6.9,249,226,23,10.2,743,703,40,5.7
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,650,692,-42,-6.1,352,402,-50,-12.4,298,290,8,2.8
〔雇用者の主な産業別内訳〕／建設業,363,376,-13,-3.5,285,293,-8,-2.7,78,83,-5,-6
〔雇用者の主な産業別内訳〕／製造業,686,708,-22,-3.1,454,488,-34,-7,232,220,12,5.5
〔雇用者の主な産業別内訳〕／情報通信業,949,956,-7,-0.7,651,658,-7,-1.1,298,298,0,0
〔雇用者の主な産業別内訳〕／運輸業，郵便業,308,343,-35,-10.2,227,248,-21,-8.5,81,95,-14,-14.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1163,1161,2,0.2,550,562,-12,-2.1,613,600,13,2.2
〔雇用者の主な産業別内訳〕／金融業，保険業,308,323,-15,-4.6,158,167,-9,-5.4,150,156,-6,-3.8
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,264,293,-29,-9.9,153,172,-19,-11,110,121,-11,-9.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,516,505,11,2.2,294,298,-4,-1.3,222,207,15,7.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,523,470,53,11.3,237,172,65,37.8,287,298,-11,-3.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,242,228,14,6.1,101,90,11,12.2,141,138,3,2.2
〔雇用者の主な産業別内訳〕／教育，学習支援業,451,370,81,21.9,212,168,44,26.2,239,202,37,18.3
〔雇用者の主な産業別内訳〕／医療，福祉,954,884,70,7.9,226,203,23,11.3,729,681,48,7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,601,638,-37,-5.8,318,369,-51,-13.8,284,269,15,5.6
〔非農林業雇用者の従業者規模別内訳〕／総数,7769,7678,91,1.2,4136,4140,-4,-0.1,3633,3538,95,2.7
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1712,1717,-5,-0.3,858,893,-35,-3.9,854,824,30,3.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2439,2348,91,3.9,1289,1248,41,3.3,1150,1101,49,4.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,3034,3063,-29,-0.9,1688,1704,-16,-0.9,1346,1359,-13,-1
〔完全失業率（年齢階級別）(%)〕／総数,3,2.6,0.4,…,2.9,2.5,0.4,…,3,2.8,0.2,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.4,3.1,2.3,…,4.3,4.1,0.2,…,6.4,2.2,4.2,…
