区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12586,12497,89,0.7,6147,6098,49,0.8,6439,6398,41,0.6
〔就業状態〕／労働力人口,8590,8503,87,1,4695,4634,61,1.3,3894,3869,25,0.6
〔就業状態〕／労働力人口／就業者数,8377,8281,96,1.2,4570,4497,73,1.6,3807,3784,23,0.6
〔就業状態〕／労働力人口／就業者数／自営業主数,582,586,-4,-0.7,384,388,-4,-1,197,197,0,0
〔就業状態〕／労働力人口／就業者数／家族従業者数,66,67,-1,-1.5,7,18,-11,-61.1,59,48,11,22.9
〔就業状態〕／労働力人口／就業者数／雇用者数,7676,7578,98,1.3,4150,4063,87,2.1,3527,3515,12,0.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4737,4569,168,3.7,2902,2772,130,4.7,1835,1798,37,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2419,2445,-26,-1.1,859,871,-12,-1.4,1560,1574,-14,-0.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1570,1547,23,1.5,457,438,19,4.3,1113,1109,4,0.4
〔就業状態〕／労働力人口／完全失業者数,213,222,-9,-4.1,125,136,-11,-8.1,88,85,3,3.5
〔就業状態〕／非労働力人口,3991,3985,6,0.2,1450,1458,-8,-0.5,2541,2527,14,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）,8377,8281,96,1.2,4570,4497,73,1.6,3807,3784,23,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8112,8000,112,1.4,4477,4393,84,1.9,3634,3607,27,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6989,6844,145,2.1,4253,4165,88,2.1,2736,2679,57,2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,294,298,-4,-1.3,144,137,7,5.1,151,161,-10,-6.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,829,857,-28,-3.3,81,91,-10,-11,748,767,-19,-2.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,265,281,-16,-5.7,93,104,-11,-10.6,172,177,-5,-2.8
〔就業者の主な産業別内訳〕／建設業,432,483,-51,-10.6,334,387,-53,-13.7,97,95,2,2.1
〔就業者の主な産業別内訳〕／製造業,672,699,-27,-3.9,450,462,-12,-2.6,222,237,-15,-6.3
〔就業者の主な産業別内訳〕／情報通信業,1035,954,81,8.5,712,644,68,10.6,323,310,13,4.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,370,402,-32,-8,265,281,-16,-5.7,105,121,-16,-13.2
〔就業者の主な産業別内訳〕／卸売業，小売業,1176,1233,-57,-4.6,622,645,-23,-3.6,554,588,-34,-5.8
〔就業者の主な産業別内訳〕／金融業，保険業,345,321,24,7.5,162,138,24,17.4,182,183,-1,-0.5
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,277,311,-34,-10.9,160,180,-20,-11.1,117,131,-14,-10.7
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,605,590,15,2.5,381,351,30,8.5,224,240,-16,-6.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,550,510,40,7.8,234,231,3,1.3,316,279,37,13.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,309,301,8,2.7,141,140,1,0.7,168,161,7,4.3
〔就業者の主な産業別内訳〕／教育，学習支援業,457,411,46,11.2,197,171,26,15.2,260,241,19,7.9
〔就業者の主な産業別内訳〕／医療，福祉,887,906,-19,-2.1,214,216,-2,-0.9,674,690,-16,-2.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,715,671,44,6.6,405,366,39,10.7,310,306,4,1.3
〔雇用者の主な産業別内訳〕／建設業,370,413,-43,-10.4,284,322,-38,-11.8,85,91,-6,-6.6
〔雇用者の主な産業別内訳〕／製造業,641,677,-36,-5.3,435,452,-17,-3.8,206,225,-19,-8.4
〔雇用者の主な産業別内訳〕／情報通信業,983,910,73,8,675,615,60,9.8,308,295,13,4.4
〔雇用者の主な産業別内訳〕／運輸業，郵便業,339,370,-31,-8.4,237,250,-13,-5.2,103,120,-17,-14.2
〔雇用者の主な産業別内訳〕／卸売業，小売業,1135,1176,-41,-3.5,602,611,-9,-1.5,533,565,-32,-5.7
〔雇用者の主な産業別内訳〕／金融業，保険業,345,320,25,7.8,162,137,25,18.2,182,183,-1,-0.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,245,274,-29,-10.6,145,159,-14,-8.8,100,115,-15,-13
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,470,443,27,6.1,291,266,25,9.4,179,177,2,1.1
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,500,455,45,9.9,206,197,9,4.6,293,258,35,13.6
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,244,233,11,4.7,117,111,6,5.4,127,121,6,5
〔雇用者の主な産業別内訳〕／教育，学習支援業,432,379,53,14,189,162,27,16.7,243,217,26,12
〔雇用者の主な産業別内訳〕／医療，福祉,837,881,-44,-5,181,196,-15,-7.7,656,685,-29,-4.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,656,620,36,5.8,368,338,30,8.9,288,282,6,2.1
〔非農林業雇用者の従業者規模別内訳〕／総数,7665,7567,98,1.3,4145,4053,92,2.3,3520,3514,6,0.2
