年・期平均,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／令和３年,2021,,362,661,853,378,1228,351,260,444,417,210,419,835,621
実数／男女計／令和４年,2022,,370,641,924,356,1236,347,253,447,454,231,384,875,624
実数／男女計／令和５年,2023,,382,679,922,338,1194,329,265,477,481,229,385,868,644
実数／男女計／令和４年１～３月,2022,01～03,416,688,872,378,1280,289,258,484,413,242,341,842,564
実数／男女計／令和４年４～６月,2022,04～06,350,626,974,359,1239,333,270,434,461,232,379,906,642
実数／男女計／令和４年７～９月,2022,07～09,360,637,954,315,1217,374,259,441,469,211,426,852,618
実数／男女計／令和４年10～12月,2022,10～12,354,612,894,372,1207,393,225,430,472,239,391,900,671
実数／男女計／令和５年１～３月,2023,01～03,413,677,910,370,1176,320,274,443,455,233,379,881,620
実数／男女計／令和５年４～６月,2023,04～06,376,708,956,343,1161,323,293,505,470,228,370,884,638
実数／男女計／令和５年７～９月,2023,07～09,378,680,862,327,1188,329,249,467,516,220,394,875,670
実数／男女計／令和５年10～12月,2023,10～12,362,651,961,313,1249,346,243,493,482,236,398,832,648
実数／男女計／令和６年１～３月,2024,01～03,370,641,983,339,1135,345,245,470,500,244,432,837,656
実数／男女計／令和６年４～６月,2024,04～06,363,686,949,308,1163,308,264,516,523,242,451,954,601
実数／男／令和３年,2021,,281,466,581,281,608,169,154,263,178,88,180,195,347
実数／男／令和４年,2022,,297,452,633,266,613,176,149,265,188,91,174,202,343
実数／男／令和５年,2023,,301,466,632,246,586,156,148,286,199,94,170,205,364
実数／男／令和４年１～３月,2022,01～03,330,485,601,283,605,143,164,264,171,85,155,198,317
