年・期平均,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成29年,2017,,2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
完全失業率／平成30年,2018,,2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年,2019,,2.3,2.5,2.2,2.3,2.4,2.1,2.4,2.5,2.2
完全失業率／令和２年,2020,,3.1,3.3,2.8,3,3.2,2.7,2.8,3,2.5
完全失業率／令和３年,2021,,3,3.4,2.5,3,3.3,2.6,2.8,3.1,2.5
完全失業率／令和４年,2022,,2.6,2.8,2.5,2.7,2.8,2.5,2.6,2.8,2.4
完全失業率／令和５年,2023,,2.5,2.6,2.4,2.7,2.8,2.6,2.6,2.8,2.3
完全失業率／平成31年・令和元年１～３月,2019,01～03,2.3,2.4,2.3,2.4,2.5,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年４～６月,2019,04～06,2.4,2.5,2.2,2.4,2.5,2.3,2.4,2.5,2.3
完全失業率／平成31年・令和元年７～９月,2019,07～09,2.2,2.4,1.9,2.3,2.5,2,2.3,2.5,2.1
完全失業率／平成31年・令和元年10～12月,2019,10～12,2.4,2.6,2.2,2.1,2.2,2,2.2,2.4,2
完全失業率／令和２年１～３月,2020,01～03,2.6,3,2.1,2.4,2.6,2.1,2.4,2.6,2.2
完全失業率／令和２年４～６月,2020,04～06,3.2,3.6,2.8,3.2,3.4,2.8,2.8,3.1,2.5
完全失業率／令和２年７～９月,2020,07～09,3.5,3.5,3.6,3.3,3.4,3.2,3,3.1,2.8
完全失業率／令和２年10～12月,2020,10～12,3,3.2,2.8,3.1,3.4,2.6,2.9,3.3,2.5
完全失業率／令和３年１～３月,2021,01～03,2.7,3,2.5,2.8,3,2.6,2.8,3,2.6
完全失業率／令和３年４～６月,2021,04～06,3.8,4.6,2.8,3.3,3.7,2.8,3,3.3,2.7
完全失業率／令和３年７～９月,2021,07～09,3.1,3.5,2.6,3.1,3.4,2.7,2.8,3,2.5
完全失業率／令和３年10～12月,2021,10～12,2.4,2.5,2.2,2.8,3.1,2.5,2.6,2.9,2.3
完全失業率／令和４年１～３月,2022,01～03,2.8,3,2.6,2.8,2.9,2.6,2.7,2.9,2.4
完全失業率／令和４年４～６月,2022,04～06,2.8,2.8,2.7,2.8,2.8,2.8,2.7,2.9,2.5
完全失業率／令和４年７～９月,2022,07～09,2.5,2.7,2.3,2.6,2.8,2.4,2.6,2.8,2.3
完全失業率／令和４年10～12月,2022,10～12,2.4,2.5,2.2,2.4,2.8,2,2.4,2.7,2.1
完全失業率／令和５年１～３月,2023,01～03,2.6,2.9,2.2,2.7,3,2.4,2.6,2.8,2.3
完全失業率／令和５年４～６月,2023,04～06,2.6,2.5,2.8,2.8,2.8,2.8,2.7,2.8,2.5
完全失業率／令和５年７～９月,2023,07～09,2.6,2.7,2.4,2.8,2.7,2.8,2.6,2.8,2.5
完全失業率／令和５年10～12月,2023,10～12,2.1,2.2,2.2,2.5,2.7,2.3,2.4,2.6,2.2
完全失業率／令和６年１～３月,2024,01～03,2.5,2.7,2.3,2.6,2.6,2.7,2.5,2.6,2.5
対前年・対前年同期増減数／平成29年,2017,,-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年・対前年同期増減数／平成30年,2018,,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年・対前年同期増減数／平成31年・令和元年,2019,,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.1,0
対前年・対前年同期増減数／令和２年,2020,,0.8,0.8,0.6,0.7,0.8,0.6,0.4,0.5,0.3
対前年・対前年同期増減数／令和３年,2021,,-0.1,0.1,-0.3,0,0.1,-0.1,0,0.1,0
対前年・対前年同期増減数／令和４年,2022,,-0.4,-0.6,0,-0.3,-0.5,-0.1,-0.2,-0.3,-0.1
対前年・対前年同期増減数／令和５年,2023,,-0.1,-0.2,-0.1,0,0,0.1,0,0,-0.1
対前年・対前年同期増減数／平成31年・令和元年１～３月,2019,01～03,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,-0.1,0,-0.1
対前年・対前年同期増減数／平成31年・令和元年４～６月,2019,04～06,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.1,-0.1,0
対前年・対前年同期増減数／平成31年・令和元年７～９月,2019,07～09,-0.2,-0.5,0,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2
対前年・対前年同期増減数／平成31年・令和元年10～12月,2019,10～12,0.1,0.4,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1
対前年・対前年同期増減数／令和２年１～３月,2020,01～03,0.3,0.6,-0.2,0,0.1,-0.2,0,0,0
