全国地方公共団体コード,ID,法人番号,地方公共団体名,名称,名称_カナ,住所,方書,緯度,経度,電話番号,FAX番号,メールアドレス,URL,連絡先備考（その他、SNSなど）,画像,画像_ライセンス,備考
,,,,株式会社 セレモア,カブシキガイシャセレモア,東京都立川市柏町1-26-4,,,,0120-470-470/(042)-534-1111,(042)-534-3434,,,,,,
,,,,株式会社 あんしん葬祭,カブシキガイシャアンシンソウサイ,東京都東大和市南街2-1-4,,,,0120-482-333/(042)-563-3333,(042)-562-4321,,,,,,
,,,,株式会社 貴勝 かたくり福祉葬祭,カブシキガイシャタカショウ カタクリフクシソウサイ,東京都武蔵村山市三ツ藤1-17-2-103,,,,(042)-556-0698,(042)-556-1077,,,,,,
,,,,有限会社 成華園,ユウゲンガイシャセイカエン,東京都武蔵村山市学園3-61-5,,,,(042)-561-4187,(042)-561-3586,,,,,,
,,,,JA東京葬祭センター,ジェイエイトウキョウソウサイセンター,東京都昭島市中神3-1-1,,,,0120-594-024/(042)-549-8411,(042)-549-8400,,,,,,
,,,,有限会社  アヤノセレモニー,ユウゲンガイシャアヤノセレモニー,東京都武蔵村山市学園5-15-14,,,,(042)-566-8725,(042)-566-8727,,,,,,
,,,,有限会社 成田屋,ユウゲンガイシャナリタヤ,東京都立川市羽衣町3-15-9,,,,0120-044-770/(042)-524-0446,(042)-524-0447,,,,,,
,,,,株式会社 あさひセレモニー,カブシキガイシャアサヒセレモニー,東京都立川市栄町6-1-13,,,,0120-844-644/(042)-534-2111,(042)-534-2223,,,,,,
,,,,合同会社 大南葬祭,ゴウドウガイシャオオミナミソウサイ,東京都武蔵村山市大南5-70-1,,,,0120-603-781/(042)-516-8801,(042)-516-8818,,,,,,
,,,,株式会社 セレモの森,カブシキガイシャセレモノモリ,東京都武蔵村山市大南3-97-2,,,,0120-204-448,(042)-401-2750,,,,,,
,,,,ひのでセレモニー,ヒノデセレモニー,東京都小平市栄町2-29-11,,,,0120-877-808/(042)-313-6736,(042)-313-6737,,,,,,
,,,,株式会社 ドリーミー,カブシキガイシャドリーミー,東京都立川市富士見町6-36-27,,,,0120-297-511/(042)-529-1511,(042)-527-3741,,,,,,
,,,,株式会社 多摩祭典,カブシキガイシャタマサイテン,東京都福生市福生2350,,,,(042)-551-8200,(042)-551-8186,,,,,,
,,,,株式会社 セレサポート,カブシキガイシャセレサポート,東京都福生市武蔵野台2-25-5,,,,0120-009-054/(042)-513-0090,(042)-513-0091,,,,,,
,,,,有限会社 アヴィル 市民葬祭センター,ユウゲンガイシャアヴィル シミンソウサイセンター,東京都武蔵村山市大南4-61-9,,,,(042)-561-7996,(042)-843-5470,,,,,,
,,,,株式会社 むらやま葬祭,カブシキガイシャムラヤマソウサイ,東京都武蔵村山市大南1-2-1,大南ロフティー10B,,,0120-516-010/(042)-516-8291,(042)-516-8292,,,,,,
,,,,株式会社 トータルプラン,カブシキガイシャトータルプラン,東京都武蔵村山市大南1-168-1,,,,(042)-516-9003,(042)-516-9043,,,,,,
