5-(8)　　神津島港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"21,181","5,312","15,869",,　　　　事務用機器,,264,29,27,2
【一般】,,,"20,416","4,977","15,439",,　　　　その他機械,,265,82,81,1
(1)　農水産品,,,"2,016","1,253",763,,(5)　化学工業品,,,"8,273",140,"8,133"
　　　　麦,,11,3,‐,3,,　　　　陶磁器,,271,4,‐,4
　　　　米,,21,31,‐,31,,　　　　セメント,,281,"2,042",‐,"2,042"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,180,140,40
　　　　豆類,,23,2,‐,2,,　　　　窯業品,,301,800,‐,800
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"3,360",‐,"3,360"
　　　　野菜・果物,,31,248,11,237,,　　　　揮発油,,320,‐,‐,‐
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,520,‐,520
　　　　その他農産品,,51,5,5,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,69,‐,69
　　　　その他畜産品,,71,42,4,38,,　　　　石油製品,,324,"1,286",‐,"1,286"
         水産品,,81,"1,685","1,233",452,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,125,28,97,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学薬品,,351,5,‐,5
　　　　製材,,92,83,‐,83,,　　　　化学肥料,,361,2,‐,2
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,5,‐,5
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,321,40,281
　　　　その他林産品,,112,42,28,14,,　　　　紙、パルプ,,381,2,‐,2
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,11,10,1,,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,133,‐,133
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,167,34,133
　　　　砂利・砂,,161,11,10,1,,　　　　水,,423,2,‐,2
　　　　石材,,162,‐,‐,‐,,　　　　たばこ,,424,8,‐,8
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,9,6,3
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,341,‐,341
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,3,‐,3
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,15,‐,15
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,11,‐,11
(4)  金属機械工業品,,,"5,155","1,933","3,222",,　　　　家具装備品,,443,8,‐,8
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,2,‐,2
　　　　鋼材,,222,"1,150",380,770,,　　　　ゴム製品,,451,22,‐,22
　　　　非鉄金属,,231,4,‐,4,,　　　　木製品,,461,280,‐,280
　　　　金属製品,,241,"1,001",470,531,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"3,970","1,541","2,429"
　　　　完成自動車,,252,"1,902",587,"1,315",,　　　　金属くず,,481,182,182,‐
　　　　その他輸送用車両,,253,40,‐,40,,　　　　再利用資材,,491,‐,‐,‐
　　　　二輪自動車,,254,19,13,6,,　　　　動植物性製造飼肥料,,501,120,‐,120
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,408,408,‐
　　　　その他輸送機械,,256,146,5,141,,　　　　廃土砂,,512,‐,‐,‐
　　　　産業機械,,261,780,370,410,,　　　　輸送用容器,,521,"1,614",668,946
　　　　電気機械,,262,2,‐,2,,　　　　取合せ品,,531,"1,646",283,"1,363"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,204,32,172
,,,,,,,【自航】,,,765,335,430
