５ 　　調査港湾別利用状況,,,,,,,,,,,,
,,,,,,,,,,,,
5-(1)　　総計,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"653,608","116,467","537,141",,　　　　事務用機器,,264,29,27,2
【一般】,,,"649,218","114,277","534,941",,　　　　その他機械,,265,"2,007",640,"1,367"
(1)　農水産品,,,"41,787","12,457","29,330",,(5)　化学工業品,,,"104,935","2,394","102,541"
　　　　麦,,11,4,‐,4,,　　　　陶磁器,,271,4,‐,4
　　　　米,,21,425,‐,425,,　　　　セメント,,281,"28,731",449,"28,282"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,224,155,69
　　　　豆類,,23,4,‐,4,,　　　　窯業品,,301,"13,797",842,"12,955"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"33,452",‐,"33,452"
　　　　野菜・果物,,31,"6,471",18,"6,453",,　　　　揮発油,,320,"8,459",‐,"8,459"
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,"10,416",840,"9,576"
　　　　その他農産品,,51,"6,724","5,201","1,523",,　　　　LNG（液化天然ガス）,,322,"3,041",‐,"3,041"
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,"3,901",31,"3,870"
　　　　その他畜産品,,71,"10,594",502,"10,092",,　　　　石油製品,,324,"1,579",3,"1,576"
         水産品,,81,"17,565","6,736","10,829",,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,"12,129","2,681","9,448",,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,10,10,‐,,　　　　化学薬品,,351,147,‐,147
　　　　製材,,92,"10,135",795,"9,340",,　　　　化学肥料,,361,13,‐,13
　　　　樹脂類,,101,66,‐,66,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,"1,171",74,"1,097"
　　　　木材チップ,,111,770,769,1,,(6)　軽工業品,,,"10,217",563,"9,654"
　　　　その他林産品,,112,"1,148","1,107",41,,　　　　紙、パルプ,,381,22,‐,22
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"247,584",342,"247,242",,　　　　その他繊維工業品,,401,2,‐,2
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,7,‐,7
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,"1,042",4,"1,038"
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,"5,943",251,"5,692"
　　　　砂利・砂,,161,"182,781",10,"182,771",,　　　　水,,423,2,‐,2
　　　　石材,,162,"62,343",332,"62,011",,　　　　たばこ,,424,10,‐,10
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,"3,189",308,"2,881"
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,"20,117","5,340","14,777"
　　　　石灰石,,191,"2,460",‐,"2,460",,　　　　がん具,,431,3,‐,3
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,17,‐,17
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
　　　　 楽器",,442,13,‐,13
(4)  金属機械工業品,,,"73,720","21,388","52,332",,　　　　家具装備品,,443,17,‐,17
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,"17,558","5,133","12,425"
　　　　鋼材,,222,"5,110",746,"4,364",,　　　　ゴム製品,,451,267,60,207
　　　　非鉄金属,,231,4,‐,4,,　　　　木製品,,461,"2,214",131,"2,083"
　　　　金属製品,,241,"26,874","4,530","22,344",,　　　　その他製造工業品,,471,28,16,12
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"126,893","59,394","67,499"
　　　　完成自動車,,252,"22,485","7,990","14,495",,　　　　金属くず,,481,"4,328","4,187",141
　　　　その他輸送用車両,,253,"9,254","4,233","5,021",,　　　　再利用資材,,491,"5,787","5,424",363
　　　　二輪自動車,,254,743,360,383,,　　　　動植物性製造飼肥料,,501,"2,465",94,"2,371"
　　　　自動車部品,,255,6,‐,6,,　　　　廃棄物,,511,"10,091","7,784","2,307"
　　　　その他輸送機械,,256,"4,199","1,733","2,466",,　　　　廃土砂,,512,"6,677","5,516","1,161"
　　　　産業機械,,261,"2,994","1,123","1,871",,　　　　輸送用容器,,521,"28,930","19,470","9,460"
　　　　電気機械,,262,15,6,9,,　　　　取合せ品,,531,"68,615","16,919","51,696"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,"11,836","9,718","2,118"
,,,,,,,【自航】,,,"4,390","2,190","2,200"
