規模別,事業所数[か所]平成21年,事業所数[か所]平成22年,事業所数[か所]平成24年,事業所数[か所]平成25年,事業所数[か所]平成26年,従業者数[人]平成21年,従業者数[人]平成22年,従業者数[人]平成24年,従業者数[人]平成25年,従業者数[人]平成26年,製造品出荷額等[百万円]平成21年,製造品出荷額等[百万円]平成22年,製造品出荷額等[百万円]平成24年,製造品出荷額等[百万円]平成25年,製造品出荷額等[百万円]平成26年
総数,1155,1032,957,860,828,15442,14306,13104,12449,12284,286433,274213,270653.15,278403,273652
1～3人,,,,,,,,,,,,,,,
4～9人,772,673,636,555,533,4434,3882,3665,3275,3165,48084,42576,45682.51,39760,39236
10～19人,256,240,217,201,190,3356,3187,2913,2696,2527,53552,50552,46443.03,39884,38315
20～29人,71,70,55,57,58,1641,1612,1284,1319,1336,27706,26312,25007.66,25595,25402
30～49人,25,19,19,19,19,983,745,710,721,736,18695,14058,11099.97,9543,11295
50～99人,21,22,23,20,18,1529,1592,1600,1396,1181,29010,30217,26694.85,23386,19834
100～199人,7,5,5,6,8,967,695,720,836,1050,18931,15168,X,X,X
200～299人,1,1,1,1,1,240,251,283,274,265,X,X,X,X,X
300～499人,1,1,0,0,0,338,352,0,0,0,X,X,X,X,X
500～999人,0,0,0,0,0,0,0,0,0,0,0,0,X,X,X
1000人以上,1,1,1,1,1,1954,1990,1929,1932,2024,X,X,X,X,X
