区分,融資限度額[万円],返済期間,利率（年利）[％],利子補助[％],本人負担[％],備考
運転資金,1500,"5年以内
(据置6か月以内を含む）",2.2,1,1.2,
設備資金,2000,9年以内(据置12か月以内を含む）,2.2,1,1.2,
産業支援資金（設備近代化）,3000,9年以内(据置12か月以内を含む）,2.2,2,0.2,
産業支援資金（店舗改善）,2500,9年以内(据置12か月以内を含む）,2.2,2,0.2,
公害防止資金,3000,9年以内（据置12か月以内を含む）,2.2,2.2,0,
アスベスト対策資金,3000,10年以内(据置12か月以内を含む）,2.2,2.2,0,
事業共同化資金,8000,"6年以内(据置6か月以内を含む）
設備のみの場合
10年以内(据置12か月以内を含む）　",2.2,2,0.2,
経営安定資金,1000,6年以内(据置12か月以内を含む）,2,1.8,0.2,
チャレンジ支援資金,1250,7年以内(据置12か月以内を含む）,2,1.8,0.2,区特定創業支援事業の受講を修了した場合、融資限度額は1500万円に拡大される。
小規模企業資金,1250,"5年以内(据置6か月以内を含む）
設備のみの場合
9年以内(据置12か月以内を含む）　",2,1,1,
年末短期運転資金,未定,未定,未定,未定,未定,
