"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","全体",,"564","82","108","303","71"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性（計）","233","25","52","136","20"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 18～29歳","13","5","5","3","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 30～39歳","38","9","5","20","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 40～49歳","50","7","14","26","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 50～59歳","47","2","12","31","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 60～69歳","43","1","10","29","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 70歳以上","41","1","6","26","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","男性 無回答","1","0","0","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性（計）","317","57","55","165","40"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 18～29歳","26","10","4","10","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 30～39歳","50","22","14","12","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 40～49歳","79","20","14","37","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 50～59歳","63","5","10","40","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 60～69歳","57","0","11","36","10"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 70歳以上","42","0","2","30","10"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","女性 無回答","0","0","0","0","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","性・年代別","無回答","14","0","1","2","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","自営業主・家族従業","88","11","16","50","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","会社員・団体職員・公務員","244","49","58","118","19"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","アルバイト・パートタイマー","36","6","8","19","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","家事専業","56","5","6","40","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","学生","13","1","4","7","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","無職","82","3","12","53","14"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","その他","31","7","4","14","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","職業別","無回答","14","0","0","2","12"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","芝地区","87","13","16","48","10"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","麻布地区","87","12","15","52","8"
