保健所名,①保護施設／対象者数,①保護施設／要医療者,①保護施設／発見率,②老人福祉施設／対象者数,②老人福祉施設／要医療者,②老人福祉施設／発見率,③身体障害者施設／対象者数,③身体障害者施設／要医療者,③身体障害者施設／発見率,④知的障害者施設／対象者数,④知的障害者施設／要医療者,④知的障害者施設／発見率,⑤精神障害者社会復帰施設／対象者数,⑤精神障害者社会復帰施設／要医療者,⑤精神障害者社会復帰施設／発見率,⑥児童福祉施設／対象者数,⑥児童福祉施設／要医療者,⑥児童福祉施設／発見率,⑦その他の社会福祉施設／対象者数,⑦その他の社会福祉施設／要医療者,⑦その他の社会福祉施設／発見率,⑧その他()／対象者数,⑧その他()／要医療者,⑧その他()／発見率,全対象者数,全要医療者数,全発見数
千代田,5,0,0,0,,,1,0,0,0,,,0,,,0,,,0,,,0,,,,,
みなと,0,,,0,,,0,,,31,0,0,17,0,0,0,,,0,,,0,,,,,
新宿区,169,1,0.5917,0,,,0,,,0,,,0,,,0,,,8,0,0,0,,,,,
文京,0,,,0,,,38,0,0,129,0,0,17,0,0,0,,,0,,,690,0,0,,,
台東,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,
墨田,0,,,0,,,0,,,102,0,0,0,,,0,,,174,0,0,0,,,,,
江東,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,
品川区,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,
目黒区,0,,,0,,,0,,,178,0,0,0,,,0,,,0,,,0,,,,,
大田区,117,0,0,0,,,23,0,0,67,0,0,27,0,0,0,,,0,,,0,,,,,
世田谷区,0,,,39,0,0,107,0,0,540,0,0,84,0,0,307,0,0,0,,,2512,0,0,,,
渋谷区,0,,,0,,,0,,,113,0,0,0,,,0,,,0,,,0,,,,,
中野区,0,,,0,,,0,,,185,0,0,23,0,0,0,,,0,,,0,,,,,
杉並区,0,,,0,,,196,0,0,469,0,0,18,0,0,0,,,41,0,0,0,,,,,
豊島区（池袋）,0,,,0,,,29,0,0,8,0,0,1,0,0,0,,,0,,,0,,,,,
豊島区（長崎）,0,,,0,,,27,0,0,0,,,0,,,0,,,0,,,0,,,,,
北区,0,,,0,,,77,0,0,194,0,0,0,,,0,,,0,,,0,,,,,
荒川区,0,,,50,0,0,5,0,0,144,0,0,71,0,0,28,0,0,0,,,888,0,0,,,
板橋区,0,,,0,,,0,,,111,1,0.9009,0,,,0,,,0,,,0,,,,,
練馬区,0,,,0,,,0,,,360,0,0,63,0,0,0,,,0,,,10,0,0,,,
足立,0,,,22,0,0,119,0,0,64,0,0,46,0,0,159,0,0,0,,,1979,0,0,,,
葛飾,0,,,0,,,24,0,0,291,0,0,87,0,0,0,,,0,,,0,,,,,
江戸川,0,,,0,,,82,0,0,141,0,0,0,,,0,,,0,,,0,,,,,
小計（特別区）,291,1,0.3436,111,0,0,728,0,0,3127,1,0.032,454,0,0,494,0,0,223,0,0,6079,0,0,,,
西多摩,0,,,1490,0,0,170,0,0,335,0,0,170,0,0,31,0,0,0,,,113,0,0,,,
八王子,0,,,1024,0,0,609,0,0,107,0,0,66,0,0,4,0,0,0,,,0,,,,,
南多摩,0,,,119,0,0,10,0,0,411,0,0,141,0,0,0,0,0,0,,,141,1,0.7092,,,
町田,0,,,120,0,0,82,0,0,346,0,0,204,0,0,0,,,0,,,226,0,0,,,
多摩立川,0,,,460,0,0,263,0,0,323,0,0,291,0,0,29,,,0,,,0,,,,,
多摩府中,0,,,215,0,0,142,0,0,319,0,0,453,0,0,0,0,0,0,,,0,,,,,
多摩小平,90,0,0,318,1,0.3145,322,0,0,463,0,0,282,0,0,0,,,5,0,0,0,,,,,
島しょ(大島）,0,,,89,0,0,0,,,145,0,0,0,,,0,,,0,,,0,,,,,
島しょ(三宅）,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,
島しょ(八丈）,0,,,0,,,0,,,0,,,20,0,0,0,,,0,,,0,,,,,
島しょ(小笠原）,0,,,0,,,0,,,0,,,0,,,0,,,0,,,520,0,0,,,
小計（市町村）,90,0,0,3835,1,0.0261,1598,0,0,2449,0,0,1627,0,0,64,0,0,5,0,0,1000,1,0.1,,,
合計,381,1,0.2625,3946,1,0.0253,2326,0,0,5576,1,0.0179,2081,0,0,558,0,0,228,0,0,7079,1,0.0141,22175,4,0.01804
