"年月[西暦]","調査項目","設問","回答者の属性種別","回答者の属性","選択肢A[人]","選択肢B[人]","選択肢C[人]","選択肢D[人]","選択肢E[人]","選択肢F[人]","選択肢G[人]","選択肢H[人]","選択肢I[人]","選択肢J[人]","選択肢K[人]","選択肢L[人]","選択肢M[人]","選択肢N[人]","選択肢O[人]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","性別","男性","138","88","78","99","70","76","57","40","39","91","42","52","49","2","38","56.8","36.2","32.1","40.7","28.8","31.3","23.5","16.5","16.0","37.4","17.3","21.4","20.2","0.8","15.6"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","性別","女性","172","123","119","100","108","83","74","67","41","116","72","79","73","7","28","63.2","45.2","43.8","36.8","39.7","30.5","27.2","24.6","15.1","42.6","26.5","29.0","26.8","2.6","10.3"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","18～29歳","28","11","10","7","15","15","14","8","3","20","13","7","7","1","7","59.6","23.4","21.3","14.9","31.9","31.9","29.8","17.0","6.4","42.6","27.7","14.9","14.9","2.1","14.9"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","30～39歳","53","25","33","31","34","26","29","15","9","41","21","27","18","3","12","54.1","25.5","33.7","31.6","34.7","26.5","29.6","15.3","9.2","41.8","21.4","27.6","18.4","3.1","12.2"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","40～49歳","91","74","59","65","61","47","39","39","22","68","42","49","43","3","21","61.5","50.0","39.9","43.9","41.2","31.8","26.4","26.4","14.9","45.9","28.4","33.1","29.1","2.0","14.2"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","50～59歳","78","55","53","46","33","35","20","20","22","40","20","23","29","1","20","59.5","42.0","40.5","35.1","25.2","26.7","15.3","15.3","16.8","30.5","15.3","17.6","22.1","0.8","15.3"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","60～69歳","36","31","28","28","23","22","22","22","14","26","12","17","17","0","5","60.0","51.7","46.7","46.7","38.3","36.7","36.7","36.7","23.3","43.3","20.0","28.3","28.3","0.0","8.3"
"202003","環境問題への関心","Q1. あなたは、現在どのような環境問題に関心がありますか。次のなかで、関心のある環境問題を選び、○をつけてください。（○はいくつでも）","年齢","70歳以上","24","15","14","22","12","14","7","3","10","12","6","8","8","1","1","77.4","48.4","45.2","71.0","38.7","45.2","22.6","9.7","32.3","38.7","19.4","25.8","25.8","3.2","3.2"

"港区の環境に関する区民アンケート（Web）調査結果・クロス集計表・環境問題への関心Q1","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
