"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","ダイバーシティ（多様性）[人]","サステナビリティ（持続可能性）[人]","ソーシャルインクルージョン(社会的包摂)[人]","スマートシティ[人]","AI(人口知能）[人]","オンライン化・デジタル化[人]","シェアリングエコノミー[人]","ウィズ・コロナ[人]","人口減少局面[人]","その他[人]"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","全体",,"558","198","248","165","160","40","193","88","115","111","15"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性（計）","231","79","89","65","99","21","97","37","34","51","5"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 18～29歳","13","9","5","6","5","0","4","2","3","1","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 30～39歳","38","11","15","5","21","4","21","9","0","7","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 40～49歳","50","22","16","7","32","5","28","7","4","8","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 50～59歳","47","13","18","16","23","5","21","7","12","10","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 60～69歳","42","17","19","8","11","3","12","10","9","9","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 70歳以上","40","6","16","22","7","4","11","2","6","15","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","男性 無回答","1","1","0","1","0","0","0","0","0","1","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性（計）","313","116","157","99","60","19","95","51","81","60","9"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 18～29歳","26","12","9","6","8","1","10","3","8","4","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 30～39歳","49","23","27","15","11","4","22","10","12","13","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 40～49歳","78","31","36","20","18","6","32","11","15","10","4"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 50～59歳","62","20","29","27","11","3","18","18","10","13","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 60～69歳","56","19","34","15","7","2","11","4","18","8","3"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 70歳以上","42","11","22","16","5","3","2","5","18","12","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","性・年代別","無回答","14","3","2","1","1","0","1","0","0","0","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","自営業主・家族従業","86","28","30","26","29","5","21","14","14","17","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","会社員・団体職員・公務員","243","90","107","60","97","20","114","49","41","47","6"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","アルバイト・パートタイマー","35","12","18","15","3","2","7","5","14","6","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","家事専業","55","18","34","16","7","3","22","5","14","10","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","学生","13","10","5","6","5","0","5","3","1","2","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","無職","81","31","37","36","9","6","13","7","21","24","3"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","その他","31","8","16","6","10","4","11","5","8","4","3"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","職業別","無回答","14","1","1","0","0","0","0","0","2","1","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","芝地区","86","36","40","31","21","8","22","12","22","17","5"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","麻布地区","87","33","30","24","33","5","30","14","14","23","3"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","赤坂地区","81","25","32","19","24","7","30","15","22","21","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","高輪地区","146","54","71","47","35","10","53","18","24","24","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","芝浦港南地区","139","45","72","40","45","10","57","27","32","23","5"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","居住地区別","無回答","19","5","3","4","2","0","1","2","1","3","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","持家（一戸建）","64","22","28","19","21","5","23","8","10","13","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","持家（マンション）","267","88","128","73","80","21","88","45","54","59","6"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","借家（一戸建）","9","3","6","3","2","0","2","1","4","1","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","民間の賃貸マンション・アパート","151","67","60","49","43","10","65","27","32","28","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","都営住宅・区営住宅・区立住宅","26","7","8","10","6","3","7","3","9","3","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","4","8","3","4","0","3","2","3","3","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","社宅・公務員宿舎","10","1","7","4","3","1","3","2","2","2","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","寮・寄宿舎・住み込み・間借り","4","2","1","1","1","0","0","0","1","2","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","その他","5","3","2","3","0","0","2","0","0","0","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","住居形態別","無回答","11","1","0","0","0","0","0","0","0","0","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","ずっと住み続けていたい","279","84","118","86","75","22","99","45","66","59","9"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","当分は住んでいたい","203","79","94","58","62","16","69","29","35","40","3"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","20","21","15","10","2","17","6","10","7","2"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","2","1","3","0","3","1","1","1","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","近いうちに区外に転居する予定である","13","9","5","2","7","0","3","3","1","1","0"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","わからない","10","5","6","3","2","0","2","4","1","1","1"
"202203","区基本計画","Q15. 昨今の社会的なすう勢（トレンド）の中で、港区政において積極的に推進する、尊重する、配慮する又は取り入れるべきだと思うものをお答えください。","定住意向別","無回答","3","0","2","0","1","0","0","0","1","2","0"

"第33回港区民世論調査クロス集計表・区基本計画Q15","Ver202203",,,,,,,,,,,,,,
