No.,,医療機関名,郵便番号,所在地,,,電話番号,心療に当たる科,"発達障害児を対象にした
プログラム",実施曜日,,,,,,,実施時間,,対象年齢,,,,,,"留意事項等
（プログラムの内容）","発達障害者を対象にした
プログラム",実施曜日,,,,,,,実施時間,,対象年齢,,,,,,"留意事項等
（プログラムの内容）"
,,,,住所,緯度,経度,,,,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,開始,終了,就学前,小学生,中学生,高校生,大学生,成人以降,,,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,開始,終了,就学前,小学生,中学生,高校生,大学生,成人以降,
1,病院,東京女子医科大学病院,162-8666,新宿区河田町８番１号,35.6972,139.7203,03-3353-8111,小児科,○,－,○,－,－,－,－,－,10時半,12時,○,○,－,－,－,－,ペアレントトレーニングのみ。原則第2・第4火曜日に実施。隔週で11回1クール。半年かけて行います。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,病院,公益財団法人神経研究所附属晴和病院,162-0851,新宿区弁天町９１,35.7023,139.7272,03-3260-9171,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,○,－,－,－,○,－,9時,12時,－,－,－,－,○,○,－
3,病院,東京大学医学部附属病院,113-8655,文京区本郷７－３－１,35.7114,139.76,03-3815-5411,こころの発達診療部,○,－,－,－,○,－,－,－,10時,12時,○,－,－,－,－,－,3歳代以下を対象とする個別の早期療育（発達的観点を踏まえたABA療育）。毎週で10回1クール。医学生実習の一部でもあります。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
4,病院,東京都立大塚病院,170-8476,豊島区南大塚２－８－１,35.7253,139.7323,03-3941-3211,児童精神科,○,○,○,－,○,○,－,－,－,－,○,○,－,－,－,－,プログラムの利用は当科受診が前提となります。詳細はホームページをご覧ください。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
5,病院,医療法人社団成仁病院,121-0815,足立区島根３－２－１,35.7787,139.7962,050-3734-5543,精神科,○,○,－,－,－,－,－,－,15時,17時半,－,○,－,－,－,－,ADHDのお子様の困りごとに対するプログラム（参加条件あり）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
6,病院,医療法人社団碧水会長谷川病院,181-8586,三鷹市大沢２－２０－３６,35.6751,139.5331,0422-31-8600,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,－,－,10時,15時,－,－,－,－,○,○,OTプログラム
7,病院,東京都立小児総合医療センター,183-8561,府中市武蔵台２－８－２９,35.6919,139.4614,042-300-5111,児童・思春期精神科,○,○,○,○,○,○,－,－,－,－,○,○,－,－,－,－,幼児デイケア3歳から就学前、通年、学童グループ小学生、1年を3クールに分けて実施。2年続けての利用不可。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
8,病院,医療法人徳洲会東京西徳洲会病院,196-0003,昭島市松原町３－１－１,35.7166,139.3493,042-500-4433,小児科（神経発達）,○,－,－,－,○,○,－,－,－,－,○,－,－,－,－,－,"木曜：ペアレントトレーニング
金曜：SST（ソーシャルスキルトレーニング）
①おもちゃを利用した発達サポート
②SST実施時間については要問合せ",○,－,－,－,○,－,－,－,－,－,○,－,－,－,－,－,オモチャ指導（オモチャ介在療法）
9,診療所,ももこころの診療所,101-0051,千代田区神田神保町１－１６－３　ＴＳＩ神保町ビル４Ｆ,35.6967,139.7587,03-5282-2556,精神科・心療内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,－,○,○,○,－,10時半,19時半,－,－,－,○,○,○,－
10,診療所,医療法人社団桜メディスン有楽町桜クリニック,100-0006,千代田区有楽町１－７－１　有楽町電気ビル南館７Ｆ,35.6747,139.7613,03-6914-5333,精神科,,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,個別プログラムのみ。集団プログラムは実施していません。
11,診療所,銀座レンガ通りクリニック,104-0061,中央区銀座１－６－１６　銀座１６１６ビル４Ｆ,35.6748,139.7676,03-3535-2280,心療内科,○,○,○,－,○,○,○,－,14時,18時,－,○,○,○,○,○,ニューロフィードバック（しばらくは火曜のみ）,○,○,○,－,○,○,○,－,14時,18時,－,○,○,○,○,○,ニューロフィードバック（しばらくは火曜のみ）
12,診療所,医療法人正槙会銀座ストレスクリニック,104-0061,中央区銀座８－１０－８　銀座８丁目１０番ビル８Ｆ,35.6675,139.762,03-6666-7600,精神科・心療内科,○,○,○,○,○,○,○,－,"随時
（予約制）",－,－,－,－,－,－,○,心理アセスメント、認知行動療法（個人、集団）、カウンセリングなど,○,○,○,○,○,○,○,－,"随時
（予約制）",－,－,－,－,－,－,○,心理アセスメント、認知行動療法（個人、集団）、カウンセリングなど
13,診療所,医療法人社団惟心会りんかい月島クリニック,104-0052,中央区月島１－１３－６　ウェルネス月島３階,35.6653,139.7827,03-5547-8633,心療内科・精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,－,－,9時,16時,－,－,－,－,－,○,精神科デイケアとして、職場復帰支援（リワーク）プログラムを実施している。
14,診療所,医療法人尊和会日本橋サンクリニック,103-0027,中央区日本橋２－１－２１　第２東洋ビル３Ｆ,35.6827,139.7724,03-5542-1718,精神科・心療内科,○,－,○,○,○,○,－,－,10時,16時,－,○,○,○,○,○,個別SST（ソーシャルスキルトレーニング）,○,－,○,○,○,○,－,－,10時,16時,－,○,○,○,○,○,個別SST（ソーシャルスキルトレーニング）
