年度末(平成),End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1)  ／(旅館) (Japanese-style hotels & inns (ryokan)) ,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1) ／(ホテル) (Hotel),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
26,2014,0,13000,,総数,Tokyo-to,8488,21028,10536,2110,659,1451,241,2846,1194,675,963,14,839,286,35,518,2859
27,2015,0,13000,,総数,Tokyo-to,8365,21566,10397,2082,618,1464,245,2883,1209,682,978,14,872,306,35,531,2838
28,2016,0,13000,,総数,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,1246,693,1058,13,861,288,35,538,2852
29,2017,0,13000,,総数,Tokyo-to,8167,22844,10093,2014,561,1453,249,3233,1306,718,1196,13,895,316,38,541,2803
30,2018,0,13000,,総数,Tokyo-to,8019,23482,9895,1991,542,1449,243,3780,,2435,1333,12,905,320,38,547,2810
30,2018,1,13100,1,区部,All ku,5819,18205,7833,1598,488,1110,110,2797,,2021,764,12,702,229,22,451,1915
30,2018,2,13101,2,千代田区,Chiyoda-ku,161,213,257,38,5,33,2,129,,102,27,-,77,24,1,52,36
30,2018,2,13102,3,中央区,Chuo-ku,162,773,300,51,9,42,2,179,,141,38,-,36,14,-,22,33
30,2018,2,13103,4,港区,Minato-ku,191,1279,519,133,4,129,3,219,,167,52,-,58,15,1,42,86
30,2018,2,13104,5,新宿区,Shinjuku-ku,281,1094,457,94,22,72,4,310,,242,63,5,103,46,2,55,100
30,2018,2,13105,6,文京区,Bunkyo-ku,118,309,235,21,7,14,3,46,,38,8,-,15,-,1,14,83
30,2018,2,13106,7,台東区,Taito-ku,183,425,277,233,27,206,3,598,,366,230,2,32,11,-,21,40
30,2018,2,13107,8,墨田区,Sumida-ku,195,476,227,38,19,19,4,148,,98,50,-,21,6,1,14,47
30,2018,2,13108,9,江東区,Koto-ku,235,525,359,65,23,42,4,88,,70,18,-,50,21,2,27,115
30,2018,2,13109,10,品川区,Shinagawa-ku,214,660,379,62,24,38,8,109,,85,23,1,17,4,1,12,71
30,2018,2,13110,11,目黒区,Meguro-ku,147,809,246,36,11,25,1,34,,27,7,-,15,1,-,14,54
30,2018,2,13111,12,大田区,Ota-ku,371,825,470,88,39,49,20,110,,80,30,-,17,9,2,6,118
30,2018,2,13112,13,世田谷区,Setagaya-ku,365,1597,641,93,27,66,6,51,,39,10,2,47,13,6,28,160
30,2018,2,13113,14,渋谷区,Shibuya-ku,172,2357,285,111,11,100,1,150,,130,19,1,73,24,3,46,58
30,2018,2,13114,15,中野区,Nakano-ku,213,539,295,37,20,17,3,47,,18,29,-,12,1,-,11,53
30,2018,2,13115,16,杉並区,Suginami-ku,285,779,330,40,21,19,25,39,,33,6,-,15,2,-,13,90
30,2018,2,13116,17,豊島区,Toshima-ku,213,817,240,74,22,52,1,230,,191,39,-,47,19,-,28,14
30,2018,2,13117,18,北区,Kita-ku,228,505,269,54,28,26,-,47,,28,19,-,14,1,1,12,76
30,2018,2,13118,19,荒川区,Arakawa-ku,145,289,149,32,24,8,2,81,,37,44,-,7,-,-,7,45
30,2018,2,13119,20,板橋区,Itabashi-ku,320,649,383,55,31,24,4,32,,19,12,1,6,2,-,4,111
30,2018,2,13120,21,練馬区,Nerima-ku,385,869,410,85,22,63,5,9,,8,1,-,10,3,-,7,152
30,2018,2,13121,22,足立区,Adachi-ku,466,913,400,51,32,19,2,44,,34,10,-,17,11,-,6,139
30,2018,2,13122,23,葛飾区,Katsushika-ku,328,668,310,49,27,22,1,47,,25,22,-,3,1,-,2,96
30,2018,2,13123,,江戸川区,Edogawa-ku,441,835,395,58,33,25,6,50,,43,7,-,10,1,1,8,138
30,2018,1,13200,1,市部,All shi,2120,5163,2026,343,54,289,55,338,,283,55,-,191,82,16,93,832
30,2018,2,13201,2,八王子市,Hachioji-shi,304,723,307,39,3,36,11,64,,58,6,-,22,9,5,8,26
30,2018,2,13202,3,立川市,Tachikawa-shi,104,359,101,15,4,11,1,38,,37,1,-,17,11,2,4,62
30,2018,2,13203,4,武蔵野市,Musashino-shi,97,454,94,15,3,12,-,14,,12,2,-,18,10,-,8,35
