年度(平成),Fiscal year and month,地域階層,地区コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000m3),下水処理量 Treated sewage (1000m3),汚泥量 Sludge (1000m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
28,2016,0,13000,総数,Tokyo-to,788855,714591,71061,1989012,74124,1202565,1162195,97724
29,2017,0,13000,総数,Tokyo-to,790987,724908,63314,1989075,74640,1231568,1192227,97681
30,2018,0,13000,総数,Tokyo-to,726354,681091,42057,1883408,78308,1248248,1214172,97686
30,2018,1,13100,区部,All ku,724466,679203,42057,1546259,64289,980307,946231,56227
30,2018,2,,流域下水道,Regional sewerage system 2),1888,1888,-,337149,14019,267941,267941,41459
,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,
6-8  下水の処理状況（平成28～30年度） 6-8  SEWAGE TREATMENT ( Fiscal Years 2016-2018 ),,,,,,,,,,,,,
この表は都下水道局の事業実績である。,,,,,,,,,,,,,
Data here are business figures of the Bureau of Sewerage， TMG.,,,,,,,,,,,,,
注 1) 総数には、雨水貯留量も含む。               ,,,,,,,,,,,,,
2) 流域下水道「野川処理区」の下水は，森ヶ崎水再生センター（区部）へ導入している。,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku).",,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課 Source: Bureau of Sewerage， TMG      ,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部　2:流域下水道）,,,,,,,,,,,,,
