年度末(平成),End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks)(1000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
26,2014,0,13000,,総数,Tokyo-to,,13430906,140,13524711,13430880,1558228,6,13354550,13376516,1555722,10,23380,16885,2506,124,146781,37479,100
27,2015,0,13000,,総数,Tokyo-to,,13575092,138,13701126,13574649,1567917,6,13531550,13534493,1565331,10,23110,16621,2586,122,146466,23535,100
28,2016,0,13000,,総数,Tokyo-to,,13687380,139,13673270,13686955,1567906,6,13531550,13647092,1565350,10,23110,16383,2556,123,118610,23480,100
29,2017,0,13000,,総数,Tokyo-to,,13785221,130,13723846,13784800,1579458,6,13538380,13750775,1577576,8,16280,12434,1882,116,169186,21591,100
30,2018,0,13000,,総数,Tokyo-to,,13886107,127,13674046,13885696,1578477,6,13544380,13851680,1576584,8,16280,12386,1893,113,113386,21630,100
30,2018,1,13100,,区部,All ku,,9597128,11,13211391,9597128,1537434,1,13190000,9588224,1537434,-,-,-,-,10,21391,8904,100
30,2018,1,13200,,市部,All shi,,4206954,101,423795,4206785,36338,3,331800,4194059,36338,-,-,-,-,98,91995,12726,100
30,2018,2,13201,1,八王子市,Hachioji-shi,※,576139,16,7788,576088,-,-,-,572052,-,-,-,-,-,16,7788,4036,99.99
30,2018,2,13202,2,立川市,Tachikawa-shi,※,180655,4,-,180655,-,-,-,180655,-,-,-,-,-,4,-,-,100
30,2018,2,13203,3,武蔵野市,Musashino-shi,,146645,6,164663,146645,17102,1,151000,146465,17102,-,-,-,-,5,13663,180,100
30,2018,2,13204,4,三鷹市,Mitaka-shi,※,191628,4,5504,191628,-,-,-,190262,-,-,-,-,-,4,5504,1366,100
30,2018,2,13205,5,青梅市,Ome-shi,※,134115,5,1195,134105,-,-,-,132925,-,-,-,-,-,5,1195,1180,99.99
30,2018,2,13206,6,府中市,Fuchu-shi,※,262748,6,13494,262748,-,-,-,262728,-,-,-,-,-,6,13494,20,100
30,2018,2,13207,7,昭島市,Akishima-shi,,113360,5,121072,113359,12732,1,120800,113087,12732,-,-,-,-,4,272,272,100
30,2018,2,13208,8,調布市,Chofu-shi,※,238575,4,12809,238575,-,-,-,238448,-,-,-,-,-,4,12809,127,100
30,2018,2,13209,9,町田市,Machida-shi,※,434055,3,-,434036,-,-,-,434036,-,-,-,-,-,3,-,-,100
30,2018,2,13210,10,小金井市,Koganei-shi,※,125174,3,13016,125174,-,-,-,125093,-,-,-,-,-,3,13016,81,100
30,2018,2,13211,11,小平市,Kodaira-shi,※,195154,9,8690,195154,-,-,-,193245,-,-,-,-,-,9,8690,1909,100
30,2018,2,13212,12,日野市,Hino-shi,※,189190,8,599,189190,-,-,-,188682,-,-,-,-,-,8,599,508,100
30,2018,2,13213,13,東村山市,Higashimurayama-shi,※,149910,4,1841,149910,-,-,-,149417,-,-,-,-,-,4,1841,493,100
30,2018,2,13214,14,国分寺市,Kokubunji-shi,※,127140,3,-,127140,-,-,-,127140,-,-,-,-,-,3,-,-,100
30,2018,2,13215,15,国立市,Kunitachi-shi,※,74871,4,-,74871,-,-,-,74871,-,-,-,-,-,4,-,-,100
30,2018,2,13218,16,福生市,Fussa-shi,※,57801,2,-,57801,-,-,-,57801,-,-,-,-,-,2,-,-,100
30,2018,2,13219,17,狛江市,Komae-shi,※,83469,-,-,83469,-,-,-,83469,-,-,-,-,-,-,-,-,100
30,2018,2,13220,18,東大和市,Higashiyamato-shi,※,84283,-,-,84283,-,-,-,84283,-,-,-,-,-,-,-,-,100
30,2018,2,13221,19,清瀬市,Kiyose-shi,※,75246,4,2205,75246,-,-,-,75241,-,-,-,-,-,4,2205,5,100
30,2018,2,13222,20,東久留米市,Higashikurume-shi,※,116249,2,2000,116249,-,-,-,115723,-,-,-,-,-,2,2000,526,100
30,2018,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71595,2,180,71595,-,-,-,71415,-,-,-,-,-,2,180,180,100
30,2018,2,13224,22,多摩市,Tama-shi,※,147658,3,1739,147658,-,-,-,145815,-,-,-,-,-,3,1739,1843,100
30,2018,2,13225,23,稲城市,Inagi-shi,※,91245,-,-,91245,-,-,-,91245,-,-,-,-,-,-,-,-,100
30,2018,2,13227,24,羽村市,Hamura-shi,,55565,1,60000,55477,6504,1,60000,55477,6504,-,-,-,-,-,-,-,99.84
30,2018,2,13228,25,あきる野市,Akiruno-shi,※,80119,2,-,80119,-,-,-,80119,-,-,-,-,-,2,-,-,100
30,2018,2,13229,26,西東京市,Nishitokyo-shi,※,204365,1,7000,204365,-,-,-,204365,-,-,-,-,-,1,7000,-,100
30,2018,1,13300,,郡部,All gun,,56912,4,3400,56756,333,-,-,54658,-,1,3400,2098,333,3,-,-,99.73
30,2018,2,13303,1,瑞穂町,Mizuho-machi,※,32601,1,-,32601,-,-,-,32601,-,-,-,-,-,1,-,-,100
30,2018,2,13305,2,日の出町,Hinode-machi,※,17150,-,-,17150,-,-,-,17150,-,-,-,-,-,-,-,-,100
30,2018,2,13307,3,檜原村,Hinohara-mura,,2194,2,3400,2098,333,-,-,-,-,1,3400,2098,333,1,-,-,95.62
30,2018,2,13308,4,奥多摩町,Okutama-machi,※,4967,1,-,4907,-,-,-,4907,-,-,-,-,-,1,-,-,98.79
30,2018,1,13350,,島部,All islands,,25113,11,35460,25027,4372,2,22580,14739,2812,7,12880,10288,1560,2,-,-,99.66
30,2018,2,13361,1,大島町,Oshima-machi,,7500,2,10650,7489,1207,1,10650,7489,1207,-,-,-,-,1,-,-,99.85
