項番,項目,Item,平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%),平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%)
1,農林水産業,Agriculture， forestry and fishing,47.7,0,0,44.5,0,-6.7
2,鉱業,Mining,64.4,0.1,-6.9,67.1,0.1,4.2
3,製造業,Manufacturing,9184.2,8.7,0.4,9183.7,8.6,0
4,電気・ガス・水道業・廃棄物処理業,Electricity， gas and water supply and waste management service,1668.9,1.6,1.9,1688.4,1.6,1.2
5,建設業,Construction,5669.5,5.4,8.6,6408.2,6,13
6,卸売・小売業,Wholesale and retail trade,21688.3,20.6,-1.2,21557.5,20.3,-0.6
7,運輸・郵便業,Transport and postal services,4853.6,4.6,-0.6,4967.5,4.7,2.3
8,宿泊・飲食サービス業,Accommodation and food service activities,2403.4,2.3,-0.5,2387.8,2.2,-0.7
9,情報通信業,Information and communications,10929,10.4,0.3,10805.4,10.2,-1.1
10,金融・保険業,Finance and insurance,8306,7.9,-3.2,8451,8,1.7
11,不動産業,Real estate,12080,11.5,3.4,12296.8,11.6,1.8
12,専門・科学技術，業務支援サービス業,Professional， scientific and technical activities,11887.3,11.3,2,11915.6,11.2,0.2
13,公務,Public administration,4190.7,4,2.1,4101.9,3.9,-2.1
14,教育,Education,3044.5,2.9,1.1,3103.7,2.9,1.9
15,保健衛生・社会事業,Human health and social work activities,4577.5,4.4,2.3,4643.7,4.4,1.4
16,その他のサービス,Other service activities,4432.9,4.2,-3.4,4498.9,4.2,1.5
17,小計 (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),Sub-total (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),105028.1,99.9,0.6,106121.7,99.9,1
18,輸入品に課される税・関税,Taxes and duties on imports,835.1,0.8,-1.6,838.8,0.8,0.4
19,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,704.7,0.7,2.3,722.3,0.7,2.5
20,都内総生産 (17+18-19),Gross prefectural domestic product (17+18-19),105158.5,100,0.6,106238.2,100,1
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成28， 29年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2016 and 2017 ),,,,,,,,
令和元年11月13日までに公表された各種指数等を基に推計している。毎月勤労統計調査地方調査結果の再集計値反映前のデータであり，今後改訂される場合がある。,,,,,,,,
Figures are estimated from indices and other figures published up to November 13， 2019. As this is data prior to reflection of the re-tabulated figures of the Results of the Monthly Labor Prefectural Survey， they may be revised at a later time.,,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
