年平均(平成),Yearly average,月次 ,Month,調査産業計 Industries covered,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
26,2014,平均,Average,101.3,98.8,98.4,99.4,103.8,102.6,100.8,100.1,99.5,99.5,105.7,114.4,101.4,102.5,91.9,101.4
27,2015,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,2016,平均,Average,100.2,100.6,99.6,106.8,101.1,102.6,101.1,96.8,102.1,103.2,102.8,87.3,103.4,95.9,104.8,98
29,2017,平均,Average,100.8,106.1,101.2,104,101.1,102,105.2,96.5,106.4,99.6,98.3,85.5,101.9,97,99.3,95.1
30,2018,平均,Average,100.8,103,98.5,109.9,102.2,96.2,116.3,99.1,106.9,99.5,103.5,95,97,99.2,107.2,93.6
30,2018,1,Jan.,81.7,81.5,73,96.3,92.8,85.1,85.2,73.2,83,79.4,90.9,78.8,80.4,84.4,93.5,84.3
30,2018,2,Feb.,79.5,73.5,75.7,93,81,76.2,85.9,82.2,84,75.3,97.7,71.1,74,88.7,95,80
30,2018,3,Mar.,93,86.3,93.8,96.1,86.8,79.8,110.2,110.1,88.9,80.8,95.8,78.5,81.7,112.5,97.3,84.2
30,2018,4,Apr.,84.6,78.4,79.1,86.3,82.9,85.4,91.5,78.3,95.2,102.2,93.4,80.9,78.5,84.8,86.2,87.5
30,2018,5,May,88.6,82.8,75.1,91.1,87.3,78.4,93.7,142.1,103.7,78.4,95.7,84,74.8,83.8,82,83.2
30,2018,6,June,159.5,148.2,152.8,ｘ,165.4,145.3,215.8,156.3,183.6,141.6,128.8,161.5,154.5,127.3,214.5,128.5
30,2018,7,July,110.7,163.1,122.6,86.4,110.8,108,123.6,81.8,118.3,122,116.8,105.4,102.9,98.3,89.1,103.3
30,2018,8,Aug.,80.1,77,77.1,ｘ,79.3,78.7,90.6,73.8,81.5,78,93.9,88.3,75.2,84.5,81.6,82
30,2018,9,Sept.,81.3,77.6,77.7,ｘ,83.4,78.5,89.9,78.6,83.9,80,94.4,81.1,78.5,84.1,73.2,81.9
30,2018,10,Oct.,82.6,76.9,76.2,ｘ,80.2,82,91,74.2,86.1,100.9,98.6,84.2,78.6,83.1,88.8,84.5
30,2018,11,Nov.,89.3,85.4,84.9,172.2,91,95.2,97,81.2,81.1,83.4,98.4,85.2,83.5,110.2,80.5,83.7
30,2018,12,Dec.,178.6,205,194.2,138,186,162.7,221.4,158.5,193.9,172.8,137.2,140.8,202.5,148.8,205.5,140.3
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額) (平成26～30年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2014-2018 ),,,,,,,,,,,,,,,,,,,
「東京都の賃金、労働時間及び雇用の動き　-毎月勤労統計調査地方調査結果年報-（平成30年）」 による。 本表は，常用労働者30人以上の事業所を対象とした第１種事業所調査の結果である。なお，本統計年鑑発行時点で，厚生労働省において，これまでに公表してきた集計値が適切なものであるかを精査中であるため，今後，「再集計値」 を公表する可能性がある。,,,,,,,,,,,,,,,,,,,
Data are based on the Annual Report on the Results of the Monthly Labor Prefectural Survey (2018). This table shows the results of surveys conducted on establishments with 30 or more regular workers. Due to the fact that as of the date of publication of this statistical yearbook， the Ministry of Health， Labour and Welfare is conducting detailed studies on the suitability of its published statistical data， there is the possibility that revised tabulations will be announced at a later time.,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
 （平成27年平均＝100）   (2015 average＝100)  ,,,,,,,,,,,,,,,,,,,
