年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse,ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incineration (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
27,2015,0,13000,,総数,Tokyo-to,4519537,4221729,3427232,120069,85920,586849,1659,277360,20447,3545833,851584,370681,1040447,92051,92051
28,2016,0,13000,,総数,Tokyo-to,4450835,4162610,3388667,111515,86774,573982,1673,266234,21988,3507723,820393,352982,1010519,88610,88610
29,2017,0,13000,,総数,Tokyo-to,4437677,4156525,3392611,107807,87294,567196,1617,255668,25483,3513549,810066,343519,1000505,82617,82617
29,2017,1,13100,,区部,All ku　,3296423,3089540,2660177,46715,58676,323972,-,181400,25483,2714497,480358,338293,581193,13917,13917
29,2017,2,13101,1,千代田区,Chiyoda-ku ,21042,20043,14829,609,493,4111,-,999,-,…,…,…,…,…,…
29,2017,2,13102,2,中央区,Chuo-ku,48044,43205,33283,1358,1428,7135,-,4829,10,…,…,…,…,…,…
29,2017,2,13103,3,港区,Minato-ku ,76286,68981,50857,1500,1512,15113,-,6019,1285,…,…,…,…,…,…
29,2017,2,13104,4,新宿区,Shinjuku-ku,91505,85373,67183,2164,2287,13738,-,5877,255,…,…,…,…,…,…
29,2017,2,13105,5,文京区,Bunkyo-ku ,56282,51034,39843,1517,1324,8349,-,4879,369,…,…,…,…,…,…
29,2017,2,13106,6,台東区,Taito-ku ,54730,49571,39449,2417,1435,6270,-,5156,3,…,…,…,…,…,…
29,2017,2,13107,7,墨田区,Sumida-ku,67724,62374,51105,1898,2036,7335,-,5325,26,…,…,…,…,…,…
29,2017,2,13108,8,江東区,Koto-ku,125534,108703,89966,-,3232,15505,-,13670,3160,…,…,…,…,…,…
29,2017,2,13109,9,品川区,Shinagawa-ku,97208,88195,67833,2746,2231,15385,-,8451,562,…,…,…,…,…,…
29,2017,2,13110,10,目黒区,Meguro-ku,72059,60027,48820,2156,2338,6713,-,11952,79,…,…,…,…,…,…
29,2017,2,13111,11,大田区,Ota-ku,169740,155334,125427,3353,3649,22905,-,12544,1861,…,…,…,…,…,…
