年度(平成),Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settled account
26,2014,0,総数,Total,13339433,13587296,12754537
27,2015,0,総数,Total,13870594,14391307,13413243
28,2016,0,総数,Total,13655995,13839109,12934488
29,2017,0,総数,Total,13054164,13526161,12659949
30,2018,0,総数,Total,14443951,15103097,14402079
30,2018,1,一般会計,General account,7046000,7572458,7234822
30,2018,1,特別会計,Special account,5438858,5498409,5394686
30,2018,2,特別区財政調整,Financial adjustment of ku,1022777,1068164,1068163
30,2018,2,地方消費税清算,Settlement of local consumption tax,1859685,1882637,1857448
30,2018,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,372,372,-
30,2018,2,国民健康保険事業,National health insurance program,1120814,1120814,1093151
30,2018,2,母子父子福祉貸付資金,Funds for single-parent families,4061,4061,2918
30,2018,2,心身障害者扶養年金,Mentally or physically disabled person's supporting annuity,4584,4584,4408
30,2018,2,中小企業設備導入等資金,Funds for introduction of facilities for small and medium scale businesses,23332,23332,21955
30,2018,2,林業・木材産業改善資金助成,Forestry ・ timber improvement subsidy,52,52,-
30,2018,2,沿岸漁業改善資金助成,Coastal fishery development subsidy,48,48,0
30,2018,2,と場,Slaughter house,6366,6366,5837
30,2018,2,都営住宅等事業,Metropolitan dwelling,173697,188769,160581
30,2018,2,都営住宅等保証金,Caution money of metropolitan dwelling house,1454,1454,1380
30,2018,2,都市開発資金,Urban development fund,4057,4057,3391
30,2018,2,用地,Land acquisition,42290,18300,7319
30,2018,2,公債費,Debt service,1172906,1172906,1167171
30,2018,2,臨海都市基盤整備事業,Water-front urban fundamentals development projects,2363,2492,964
30,2018,1,公営企業会計,Account of public enterprises ,1959093,2032230,1772572
30,2018,2,病院,Hospitals,206766,206766,201256
30,2018,2,中央卸売市場,Central wholesale market,80197,83330,72460
30,2018,2,都市再開発事業,Urban renewal,3469,3469,608
30,2018,2,臨海地域開発事業,Tokyo waterfront area development projects,54087,56634,47685
30,2018,2,港湾事業,Port and harbor,4722,4883,3869
30,2018,2,交通事業,Transportation,77352,78277,67569
30,2018,2,高速電車事業,Urban rapid transit railway,255232,260589,230476
30,2018,2,電気事業,Electricity,1519,1519,1212
30,2018,2,水道事業,Waterworks,527942,549442,443855
30,2018,2,工業用水道事業,Industrial waterworks,3054,3054,2142
30,2018,2,下水道事業,Sewerage,744753,784268,701439
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成26～30年度) (歳出) 21-1  BUDGET AND SETTLED ACCOUNT BY ACCOUNT ( Fiscal Years 2014-2018 ) ( EXPENDITURE ),,,,,,,
注 1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note: 1) The final budget includes the account brought from the previous fiscal year.,,,,,,,
2) Account of public enterprises refers to the sum total of profitable expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
