年度(平成),Fiscal Year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground Subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
26,2014,0,13000,総数,Tokyo-to,7025,1339,58,11,3423,475,1,817,901
27,2015,0,13000,総数,Tokyo-to,6641,1265,56,5,3238,463,2,802,810
28,2016,0,13000,総数,Tokyo-to,6408,1199,41,6,2944,518,-,888,812
29,2017,0,13000,総数,Tokyo-to,6402,1102,56,12,2948,498,1,909,876
30,2018,0,13000,総数,Tokyo-to,6371,1095,41,13,3026,473,3,871,849
30,2018,1,13100,区部,All ku,4003,533,4,8,2247,394,2,491,324
30,2018,2,13101,千代田区,Chiyoda-ku,174,14,-,-,93,9,1,29,28
30,2018,2,13102,中央区,Chuo-ku,129,1,-,-,81,8,-,29,10
30,2018,2,13103,港区,Minato-ku,260,19,1,1,163,16,1,40,19
30,2018,2,13104,新宿区,Shinjuku-ku,170,5,-,-,120,10,-,21,14
30,2018,2,13105,文京区,Bunkyo-ku,56,2,-,-,36,9,-,7,2
30,2018,2,13106,台東区,Taito-ku,174,30,-,-,55,10,-,10,69
30,2018,2,13107,墨田区,Sumida-ku,294,39,-,2,165,12,-,50,26
30,2018,2,13108,江東区,Koto-ku,65,14,-,-,25,3,-,21,2
30,2018,2,13109,品川区,Shinagawa-ku,89,7,-,-,53,7,-,9,13
30,2018,2,13110,目黒区,Meguro-ku,150,19,-,-,78,17,-,8,28
30,2018,2,13111,大田区,Ota-ku,147,15,1,-,71,24,-,8,28
30,2018,2,13112,世田谷区,Setagaya-ku,288,44,-,-,167,41,-,28,8
30,2018,2,13113,渋谷区,Shibuya-ku,106,8,-,-,71,7,-,13,7
30,2018,2,13114,中野区,Nakano-ku,33,3,-,-,19,11,-,-,-
30,2018,2,13115,杉並区,Suginami-ku,127,29,-,1,60,19,-,14,4
30,2018,2,13116,豊島区,Toshima-ku,119,17,-,-,86,7,-,8,1
30,2018,2,13117,北区,Kita-ku,227,40,-,-,119,39,-,25,4
30,2018,2,13118,荒川区,Arakawa-ku,127,9,-,1,62,4,-,15,36
30,2018,2,13119,板橋区,Itabashi-ku,240,56,1,-,124,27,-,23,9
30,2018,2,13120,練馬区,Nerima-ku,204,35,-,1,105,38,-,21,4
30,2018,2,13121,足立区,Adachi-ku,376,56,-,-,215,37,-,61,7
30,2018,2,13122,葛飾区,Katsushika-ku,185,25,1,-,113,16,-,25,5
30,2018,2,13123,江戸川区,Edogawa-ku,263,46,-,2,166,23,-,26,-
30,2018,1,13200,市部,All shi,2239,544,35,3,767,78,1,375,436
30,2018,2,13201,八王子市,Hachioji-shi,195,93,-,-,83,4,-,15,-
30,2018,2,13202,立川市,Tachikawa-shi,79,24,-,-,29,2,-,11,13
30,2018,2,13203,武蔵野市,Musashino-shi,77,6,-,-,57,9,-,5,-
30,2018,2,13204,三鷹市,Mitaka-shi,98,20,-,-,36,11,-,27,4
30,2018,2,13205,青梅市,Ome-shi,133,75,1,-,34,1,-,19,3
30,2018,2,13206,府中市,Fuchu-shi,101,11,-,-,34,3,-,52,1
30,2018,2,13207,昭島市,Akishima-shi,40,-,-,-,3,-,-,-,37
30,2018,2,13208,調布市,Chofu-shi,91,15,-,-,54,3,1,18,-
30,2018,2,13209,町田市,Machida-shi,179,71,-,1,61,14,-,32,-
30,2018,2,13210,小金井市,Koganei-shi,47,5,-,-,8,1,-,6,27
30,2018,2,13211,小平市,Kodaira-shi,80,1,-,-,47,3,-,29,-
30,2018,2,13212,日野市,Hino-shi,87,32,3,-,39,1,-,11,1
30,2018,2,13213,東村山市,Higashimurayama-shi,40,14,1,1,18,2,-,3,1
30,2018,2,13214,国分寺市,Kokubunji-shi,69,23,-,-,36,3,-,7,-
30,2018,2,13215,国立市,Kunitachi-shi,58,4,-,-,27,1,-,26,-
30,2018,2,13218,福生市,Fussa-shi,40,4,-,-,10,-,-,3,23
30,2018,2,13219,狛江市,Komae-shi,82,2,-,-,14,1,-,4,61
30,2018,2,13220,東大和市,Higashiyamato-shi,53,6,5,-,14,1,-,8,19
30,2018,2,13221,清瀬市,Kiyose-shi,45,12,1,-,11,-,-,4,17
30,2018,2,13222,東久留米市,Higashikurume-shi,98,38,9,1,32,9,-,3,6
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,92,14,-,-,15,-,-,9,54
30,2018,2,13224,多摩市,Tama-shi,70,19,6,-,32,4,-,9,-
30,2018,2,13225,稲城市,Inagi-shi,172,1,8,-,14,-,-,56,93
30,2018,2,13227,羽村市,Hamura-shi,14,3,1,-,8,-,-,2,-
30,2018,2,13228,あきる野市,Akiruno-shi,127,33,-,-,16,-,-,6,72
30,2018,2,13229,西東京市,Nishitokyo-shi,72,18,-,-,35,5,-,10,4
30,2018,1,13300,郡部,All gun,129,18,2,2,12,1,-,5,89
