年度(平成),Fiscal Year,地域コード,項番,地域,District,総額 Total,議会費 Ku assemblies,総務費 General administration,民生費 Social welfare,衛生費 Sanitation,労働費 Labor administration,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Public works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt service,諸支出金 Miscellaneous
28,2016,13100,,区部,All ku,3602555,18275,445784,1855631,262474,7551,1124,41684,368332,36473,493770,191,70584,682
29,2017,13100,,区部,All ku,3657974,18076,433636,1912510,259938,7129,1361,42057,328577,68955,514293,3,68889,2550
30,2018,13100,,区部,All ku,3742982,18300,476961,1942593,265555,6757,2720,59793,330131,39623,541008,32,58940,568
30,2018,13101,1,千代田区,Chiyoda-ku,56999,547,10690,18071,4877,102,-,1653,8159,402,12343,-,155,-
30,2018,13102,2,中央区,Chuo-ku,87873,656,16033,30357,6467,175,46,3172,14372,499,15452,-,644,-
30,2018,13103,3,港区,Minato-ku,138157,750,22128,58610,10856,263,-,2106,10478,13633,18955,-,378,-
30,2018,13104,4,新宿区,Shinjuku-ku,141875,745,19618,78491,12945,1095,-,2088,10328,1417,13076,31,2042,-
30,2018,13105,5,文京区,Bunkyo-ku,97806,633,12173,43048,7260,207,-,555,9170,1150,22580,-,1030,-
30,2018,13106,6,台東区,Taito-ku,98378,631,9707,53489,8194,187,-,3861,5966,993,13288,-,2063,-
30,2018,13107,7,墨田区,Sumida-ku,117467,630,15001,64311,7483,145,-,1600,9491,608,15484,-,2713,-
30,2018,13108,8,江東区,Koto-ku,188829,876,32775,98815,13844,185,-,1035,8970,1194,29055,-,2079,-
30,2018,13109,9,品川区,Shinagawa-ku,166500,824,21198,75508,11501,763,-,2208,22409,1890,28607,-,1591,-
30,2018,13110,10,目黒区,Meguro-ku,95428,703,16519,48925,8201,215,7,658,5326,696,11692,-,2485,-
30,2018,13111,11,大田区,Ota-ku,276511,1049,23678,148345,18441,84,20,20731,25845,1674,33079,-,3564,-
30,2018,13112,12,世田谷区,Setagaya-ku,297684,960,42766,149116,21087,210,239,1508,33474,873,42952,-,4500,-
30,2018,13113,13,渋谷区,Shibuya-ku,94790,1039,23091,42597,7829,164,-,656,6796,1106,10105,-,1408,-
30,2018,13114,14,中野区,Nakano-ku,135846,844,15692,68692,8031,68,2,704,14700,849,21029,-,5235,-
30,2018,13115,15,杉並区,Suginami-ku,187521,900,24817,103433,13681,591,1435,929,11714,837,26579,1,2603,-
30,2018,13116,16,豊島区,Toshima-ku,128292,680,22889,62807,8062,75,-,1550,14992,826,12613,-,3797,-
30,2018,13117,17,北区,Kita-ku,144746,775,15429,78822,8959,198,-,2665,9102,962,24619,-,3215,-
30,2018,13118,18,荒川区,Arakawa-ku,92880,587,9798,52155,6549,128,-,2330,6503,471,12575,-,1783,-
30,2018,13119,19,板橋区,Itabashi-ku,209544,898,22071,122281,14846,150,130,1207,14863,456,29246,-,3396,-
30,2018,13120,20,練馬区,Nerima-ku,258755,997,21169,148840,18663,661,459,1663,23297,2039,35674,-,5295,-
30,2018,13121,21,足立区,Adachi-ku,281799,873,18542,159461,19690,381,116,1595,21333,5018,49257,-,5533,-
30,2018,13122,22,葛飾区,Katsushika-ku,192665,803,24968,100817,11310,484,94,3958,20266,1079,26933,-,1385,568
30,2018,13123,23,江戸川区,Edogawa-ku,252636,901,36208,135601,16781,225,171,1362,22574,952,35818,-,2044,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成28～30年度) 21-5  SETTLED ACCOUNT OF ORDINARY ACCOUNT OF Ku (2) EXPENDITURE ( Fiscal Years 2016-2018 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
