年度(平成),Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value
26,2014,400465,3594775,-,-,2628,15379
27,2015,368733,3124791,-,-,1699,13660
28,2016,342184,2712824,-,-,1656,10809
29,2017,300294,2398600,-,-,727,6000
30,2018,587470,2631131,-,-,950,7562
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,
15-4  生命保険会社契約高 (2) 転換契約 (平成26～30年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (2) CONVERTED POLICIES ( Fiscal Years 2014-2018 ),,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,
