年度末(平成),End of fiscal year,一般加入電話 a)／総数 Total,一般加入電話 a)／単独 Individual,一般加入電話 a)／事業所集団 Establishments,一般加入電話住宅用比率 b) (%),ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ64 64kbps,ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ1500 1500kbps,移動体通信ｻｰﾋﾞｽ加入数 c)／携帯電話 Cellular phone,移動体通信ｻｰﾋﾞｽ加入数 c)／PHS d),公衆電話 e)／総数 Total,公衆電話 e)／総数 Total／うちデジタル電話  f),ブロードバンド契約数 Number of broadband subscriptions／CATV Cable television,ブロードバンド契約数 Number of broadband subscriptions／DSL Digital Subscriber Line,ブロードバンド契約数 Number of broadband subscriptions／FTTH Fiber to The Home,ブロードバンド契約数 Number of broadband subscriptions／FWA Fix Wireless Access,ブロードバンド契約数 Number of broadband subscriptions／BWA Broadband Wireless Access,ブロードバンド契約数 Number of broadband subscriptions／3.9-4世代 3.9G/4G LTE(Long Term Evolution)
21,2009,3845,3835,10,70.6,777,18,18247,…,36,19,784,1209,2930,0,102,…
22,2010,3451,3442,10,70.2,682,16,20456,…,32,17,872,995,3159,0,495,…
23,2011,3124,3114,9,69.8,612,14,23277,…,29,16,937,820,3349,0,711,…
24,2012,2826,2817,9,69.9,549,13,26177,…,26,14,976,672,3431,0,2190,3357
25,2013,2590,2582,8,70.1,495,11,30302,…,24,14,1051,571,3560,0,2643,8488
26,2014,2395,2388,7,70.4,448,10,35600,…,22,13,1161,493,3664,0,5275,13300
27,2015,2234,2228,6,69,408,9,37488,…,18,12,1293,426,3772,-,8240,19441
28,2016,2094,2088,6,69,376,8,42626,…,17,10,1339,301,3972,-,10877,24118
29,2017,1945,1939,6,69,345,8,47329,…,16,10,1368,256,4121,-,14640,30100
30,2018,1823,1817,6,68,318,7,52648,…,16,10,1406,211,4165,-,17235,36482
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,,,,
5-3　一般加入電話，公衆電話及びインターネット契約数等(平成21～30年度末) 5-3 SUBSCRIPTIONS OF TELEPHONES， PUBLIC TELEPHONES， AND INTERNET SERVICES ( End of Fiscal Years 2009-2018 ),,,,,,,,,,,,,,,,,
a) Number of subscriber telephones b) Percentage of telephones for residential use c) Number of mobile communication service subscriptions d) Personal handy phone system e) Public telephones f) Of which are digital payphones,,,,,,,,,,,,,,,,,
注) 「単独」 には 「構内交換」 を含む。,,,,,,,,,,,,,,,,,
Note:  “Individual” includes PBX.,,,,,,,,,,,,,,,,,
資料：東日本電信電話株式会社東京事業部，総務省総合通信基盤局，総務省関東総合通信局 Source: Nippon Telegraph and Telephone East Corp; Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,
(単位　千件) (In thousand subscriptions),,,,,,,,,,,,,,,,,
