年度（平成）,Fiscal Year,系統,Line,旅客営業キロ Passenger operation(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
26,2014,総数,Total,185.1,172,18970658,11975295,6995363
27,2015,総数,Total,185.1,172,19649068,12372674,7276394
28,2016,総数,Total,185.1,172,20077008,12651607,7425401
29,2017,総数,Total,185.1,172,20581105,12981596,7599509
30,2018,総数,Total,185.1,172,21040031,13268508,7771523
30,2018,銀座線,Ginza Line,14.3,19,1482137,724644,757493
30,2018,丸ノ内線,Marunouchi Line,27.4,28,2491763,1463049,1028714
30,2018,日比谷線,Hibiya Line,20.3,21,2398346,1432594,965752
30,2018,東西線,Tozai Line,22.2,17,3660278,2471088,1189190
30,2018,千代田線,Chiyoda Line,24,20,3378736,2292512,1086224
30,2018,有楽町線,Yurakucho Line,26.9,23,3017171,2003577,1013594
30,2018,半蔵門線,Hanzomon Line,16.8,14,2027851,1199478,828373
30,2018,南北線 ,Namboku Line,21.3,19,1301957,875019,426938
30,2018,副都心線,Fukutoshin Line,11.9,11,1281792,806547,475245
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成26～30年度）4-14 TRANSPORTATION OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2014-2018 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
