年次（平成）,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 a)／新受 Newly received,保全命令 a)／既済 Disposed,保全命令 a)／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 b),その他の事件 Other cases／新受 Newly received／借地非訟 c),その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 d),その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
29,2017,0,,総数,Total,453699,452960,87171,172457,172799,49278,2674,2617,483,54,51,13,24,22,7,593,600,682,948,942,315,28,20,21,6104,6111,1933,412,382,60,121906,121778,2210,5108,5098,295,1041,163,14308,1668,11313,9,204,24917,89768,142540,31874
30,2018,0,,総数,Total,472256,463421,95937,173148,171382,51041,2518,2415,586,39,43,9,20,20,7,609,614,677,921,971,265,41,38,23,6159,6084,2008,419,428,51,140158,135107,7261,5310,5263,342,1218,200,14147,1800,11740,3,194,24486,89126,141056,33667
30,2018,1,,地方裁判所, District courts,117887,115901,57620,43351,43111,26126,-,-,-,-,-,-,20,20,7,609,614,677,921,971,265,35,30,21,495,489,339,-,-,-,-,-,-,4644,4601,331,1218,200,13839,1800,11740,3,-,9231,29781,66065,29854
30,2018,2,1,東京, Tokyo,104466,102819,50557,40551,40276,24149,-,-,-,-,-,-,20,20,6,609,614,677,921,971,265,35,30,21,484,479,331,-,-,-,-,-,-,4399,4360,316,1106,194,10761,1276,9888,3,-,7424,26795,56069,24792
30,2018,2,2,立川支部, Tachikawa Branch,13421,13082,7063,2800,2835,1977,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,11,10,8,-,-,-,-,-,-,245,241,15,112,6,3078,524,1852,-,-,1807,2986,9996,5062
30,2018,1,,簡易裁判所, Summary courts,354369,347520,38317,129797,128271,24915,2518,2415,586,39,43,9,-,-,-,-,-,-,-,-,-,6,8,2,5664,5595,1669,419,428,51,140158,135107,7261,666,662,11,-,-,308,-,-,-,194,15255,59345,74991,3813
30,2018,2,1,東京, Tokyo,335521,328673,36638,125043,123462,23803,2224,2148,490,33,39,6,-,-,-,-,-,-,-,-,-,6,6,2,5091,5036,1490,391,398,49,133757,128710,7201,657,653,11,-,-,289,-,-,-,184,11269,56577,68221,3586
30,2018,2,2,八丈島, Hachijojima ,54,52,3,8,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,14,14,-,-,-,-,-,-,-,-,-,-,-,25,6,31,-
30,2018,2,3,伊豆大島, Izu-oshima ,42,45,-,4,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,10,11,-,-,-,-,-,-,-,-,-,-,-,22,6,28,-
30,2018,2,4,新島, Niijima,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,4,2,4,2
30,2018,2,5,八王子, Hachioji ,3969,3928,442,1422,1376,388,42,39,13,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,92,97,24,7,8,-,1300,1294,9,-,-,-,-,-,3,-,-,-,-,542,559,1112,8
