品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,30年平均 2018 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産精米単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2232,2204,2222,2229,2240,2254,2221,2229,2217,2230,2235,2229,2277
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,429,430,431,428,425,423,422,421,424,438,439,436,431
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，77g入り，「カップヌードル」,"Chinese type，  77g， ""Cup Noodle""",1個,1 cup,,152,150,155,155,153,153,149,151,151,151,152,151,149
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,453,472,456,457,450,444,453,449,437,430,445,467,474
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,110,122,117,125,111,92,101,125,114,102,124,89,97
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,140,134,131,148,153,157,152,131,138,133,133,131,135
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,901,910,884,891,899,893,902,915,917,910,898,909,889
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding Berkshire),100g,100g,,202,200,205,201,199,198,205,206,202,199,208,199,201
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,135,139,138,134,134,137,133,130,133,133,134,136,137
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,210,210,211,210,209,212,211,212,215,208,206,207,205
食料,Food,乳卵類,Dairy products & eggs,1,牛乳,Fresh milk ,牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,,208,209,208,208,208,207,209,206,208,208,208,207,207
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，パック詰（10個入り），サイズ混合，〔卵重〕「MS52g～LL76g未満」，「MS52g～L70g未満」又は「M58g～L70g未満」,White eggs， packed (10 eggs)， size mixture， [Egg weight]「MS52g-LL76g」， 「MS52g-L70g」 and 「M58g-L70g」,1パック,1 pack,※ 1月 Jan.,230,235,233,236,232,230,230,230,232,231,224,225,226
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,214,361,401,309,189,145,148,174,216,147,170,174,138
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,208,312,301,248,171,164,183,197,238,232,197,147,111
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並,"""Momen-tofu""，ordinary quality",1kg,1kg,,251,251,252,244,246,245,253,254,252,253,256,252,249
食料,Food,果物,Fruits,1,りんご,Apples ,ふじ， 1個  200～400g,"""Fuji""，200-400g each",1kg,1kg,,574,508,501,533,553,634,691,802,...,...,...,495,451
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ﾊｳｽみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,,700,768,854,863,...,...,...,...,...,673,577,571,592
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品,Domestic,1kg,1kg,,1805,1996,1752,1731,1668,1603,...,...,...,...,...,...,2082
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,,293,295,294,295,295,294,292,288,293,291,291,291,295
食料,Food,油脂・調味料,Oils， fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り （750g入り），並,Fermented with rice malt， in cups (750g)， ordinary quality,1個,1 cup,,321,330,330,329,323,320,319,318,316,320,319,318,313
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，1個(70～120g),Sponge cakes with cream and strawberry， 1 piece (70 -120g),1個,1 piece,,425,422,422,423,424,426,426,424,424,424,424,432,432
食料,Food,菓子類,Cakes & candies,2,チョコレート,Chocolate,板チョコレート，50g，「明治ミルクチョコレート」，「ロッテガーナミルクチョコレート」又は「森永ミルクチョコレート」,"Chocolate bar， 50g， ""Meiji milk chocolate""""LOTTE Ghana milk chocolate"" or ""Morinaga milk chocolate""",1枚,1 sheet,,104,103,101,103,104,103,106,106,106,103,103,103,103
食料,Food,飲料,Beverages,1,緑茶,Green tea,煎茶（抹茶入りを含む），袋入り（100～300g入り）,"""Sencha"" (including ""Maccha"" contained)， in bag (100 - 300g)",100g,100g,,560,547,550,552,557,561,557,559,563,571,563,571,566
食料,Food,酒類,Alcoholic beverages,1,ビール,Beer,淡色， 缶入り (350mL入り)， 6缶入り,Lager， canned (350mL)， 6 cans,1パック,1 pack,,1175,1181,1182,1181,1183,1178,1170,1173,1171,1169,1168,1171,1169
食料,Food,外食,Meals outside the home,1,中華そば（外食）,Chinese noodles (eating out),ラーメン，しょう油味 (豚骨しょう油味を含む) ,"""Ramen""， soy sauce-based (including pork and soy sauce-based)　　",1杯,1 bowl,,561,565,569,569,570,562,562,562,557,557,557,557,545
食料,Food,外食,Meals outside the home,2,すし（外食）,"""Sushi"" (eating out) ",にぎりずし，並,"""Nigiri-zushi""， hand-rolled ""Sushi""， ordinary quality",1人前,1 serving,,1290,1290,1290,1290,1290,1290,1290,1290,1293,1290,1290,1290,1290
食料,Food,外食,Meals outside the home,3,カレーライス（外食）,Curry and rice (eating out),,,1皿,1 dish,,751,754,758,792,758,760,760,760,736,738,734,729,738
食料,Food,外食,Meals outside the home,4,ピザパイ（配達）,Delivered pizza,宅配ピザ， ミックスピザ(野菜類3種類肉･魚介類2種類程度)， [サイズ] M (約25cm)　,Delivered pizza， mixed pizza　(3 kinds of vegetable toppings and 2 kinds of meat or seafood toppings)， [size] M (about 25cm),1枚,1 sheet,,2154,2150,2150,2150,2150,2150,2150,2150,2150,2161,2161,2161,2161
住居,Housing,家賃,Rent,1,民営家賃,House rent， private,民営借家の家賃 (3.3m2当たりの料金を算出したものである),House rent managed by private sector  (Charges calculated by converting the surveyed price and area to the charge for 3.3m2),1か月,1 month,,8566,8571,8565,8569,8563,8557,8553,8565,8566,8561,8565,8577,8574
住居,Housing,設備修繕・維持,Repairs & maintenance,1,大工手間代,Carpentering,家屋修理手間代，常用1人分,For house repair，charge per regular carpenter,1日,1 day,,19648,19633,19633,19633,19633,19633,19633,19633,19633,19633,19633,19723,19723
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,1,電気代,Electricity,従量電灯，アンペア制（契約電流50アンペア）又は最低料金制，441kWh (1か月441kWh使用したときの料金を算出したものである),Meter rate system， ampere system (50 ampere) or minimum charges system， 441kWh (Charges calculated by converting the original price to the charge for 441kWh per month),1か月,1 month,,12918,12402,12432,12521,12644,12868,12939,12957,13018,13129,13270,13380,13459
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,2,都市ガス代,Gas， manufactured and piped,一般家庭用， 1465.12MJ (1か月1465.12MJ使用したときの料金を算出したものである),For domestic use， 1465.12MJ(Charges calculated by converting the surveyed price and calorie to the charge for 1465.12MJ per month),1か月,1 month,,4999,4852,4852,4869,4916,4958,4992,5006,5028,5065,5107,5149,5196
光熱・水道,Fuel， light & water charges,電気・ガス代,Electricity & gas,3,プロパンガス,Liquefied propane,基本料金及び10m3 (従量料金）を使用した料金 (1か月10m3使用したときの料金を算出したものである),Basic charges and meter rate charges (10m3) (Charges calculated by adding 10m3 charges to basic charge per month.),1か月,1 month,,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928
光熱・水道,Fuel， light & water charges,他の光熱,Other fuel and light,4,灯油,Kerosene ,白灯油， 詰め替え売り， 店頭売り,White kerosene， refill， sold in stores,18L,18L,,1726,1632,1671,1677,1677,1685,1729,1738,1752,1752,1801,1815,1787
光熱・水道,Fuel， light & water charges,水道料,Water charges,5,水道料,Water charges,計量制， 専用給水装置（専用栓）， 一般用， 20m3 (1か月20m3使用したときの料金を算出したものである),Meter charges，private hydrant，for domestic use， 20m3 (Charges calculated by converting the surveyed price to the charge for 20m3 per month),1か月,1 month,,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,1,ラップ,Food wrap,ポリ塩化ビニリデン製，幅22cm×長さ50m，「サランラップ」又は「NEWクレラップ」,"Made of polyvinylidene chloride， 22cm width， 50m length， ""Saran Wrap"" or ""New Kurewrap""",1本,1 roll,,301,298,297,302,304,302,300,302,299,307,302,302,301
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,2,トイレットペーパー,Rolled toilet paper,パルプ100％，白，〔長さ〕50m，60m，2枚重ね25m又は2枚重ね30m，12ロール入り,100% pulp， white， [length] 50m， 60m， doubled sheets 25m or doubled sheets 30m， 12 rolls,1パック,1 pack,※ 1月 Jan.,418,418,418,414,417,418,418,418,416,419,421,422,419
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,3,洗濯用洗剤,Detergent， laundry,合成洗剤，綿・麻・合成繊維用，液体，詰め替え用，袋入り（720～810g入り），「アタック 高浸透バイオジェル」，「トップ クリアリキッド」又は「アリエール イオンパワージェル」,"Synthetic detergent， for cotton， hemp and synthetic fiber， liquid， refill， in bag (720 - 810g)， ""Attack High activity biogel""， ""Top Clear liquid"" or ""ARIEL ion power gel""",1kg,1kg,※ 9月 Sept.,297,299,304,298,300,290,296,299,298,301,300,295,293
被服及び履物,Clothes & footwear,洋服,Clothing,1,背広服,Men's suits ,春夏物，シングル上下，並型，半裏又は背抜き     For spring and summer， single breasted 2 pieces， ordinary style， half lining or unlined back,For spring and summer， single breasted 2 pieces， ordinary style， half lining or unlined back,1着,1 suit,,27657,…,…,29374,28413,27565,28059,26138,26393,…,…,…,…
被服及び履物,Clothes & footwear,洋服,Clothing,2,背広服,Men's suits ,秋冬物，ｼﾝｸﾞﾙ上下並型総裏 ,For autumn and winter， single breasted 2 pieces， ordinary style， full lining,1着,1 suit,,32383,31533,31937,…,…,…,…,…,…,34155,32560,32406,31707
