税目階層,税目,Tax item,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016,平成29年度 FY 2017,平成30年度 FY 2018
0,総額,Total,4739939,5183569,5236011,5273012,5446357
1,現年課税分,Taxed amount for the fiscal year,4711391,5154066,5211281,5250893,5425883
2,都民税,Metropolitan inhabitant tax,1802681,1769249,1718754,1756561,1879507
2,個人,For individuals,844743,863542,862977,907524,917072
2,法人,For corporations,913961,869373,847654,839953,952817
2,利子割,For interest income,43977,36334,8123,9083,9619
2,事業税,Enterprise tax,775874,940893,1092892,1059753,1142358
2,個人,For individuals,47947,48774,49902,51029,52465
2,法人,For corporations,727927,892119,1042990,1008724,1089894
2,繰入地方消費税,Final local consumption tax,422696,700423,632652,647365,552271
2,不動産取得税,Real property acquisition tax,75949,76265,81047,82292,83155
2,都たばこ税,Metropolitan tobacco tax,18134,17858,17244,16380,16217
2,ゴルフ場利用税,Golf links tax,626,644,652,632,632
2,自動車取得税,Automobile acquisition tax,9177,13835,14347,17317,18130
2,軽油引取税,Light-oil (gas-oil) delivery tax,39575,39328,39295,39395,38782
2,自動車税,Automobile tax,106381,105253,104345,104343,104649
2,鉱区税,Mine-lot tax,2,2,2,2,2
2,固定資産税,Fixed assets tax,1140259,1162855,1177680,1189961,1240080
2,特別土地保有税,Special tax on land holding,7,1,-,-,-
2,狩猟税,Hunter tax,5,4,4,4,4
2,事業所税,Establishment tax,98345,100851,102554,104706,107466
2,都市計画税,Urban planning tax,220056,224526,227595,229824,239961
2,宿泊税,Accommodation tax,1624,2076,2217,2361,2667
2,旧法による税,Repealed taxes,-,-,-,-,-
1,滞納繰越分,Arrears carried forward,28549,29503,24731,22118,20474
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-7  都税収入済額 (1) 税目別 (平成26～30年度）21-7  METROPOLITAN TAXES RECEIVED (1) BY KIND ( Fiscal Years 2014-2018 ) ,,,,,,,
この表の税額は，各年度とも決算額（還付未済額を含む。）による。 ,,,,,,,
The tax amount refers to the settled account (including amount not refunded) each year.,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,
税目階層（0:総額　1:現年課税分・滞納繰越分　2:税目）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
