年度(平成),Fiscal Year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General administration,民生費 Social welfare,衛生費 Sanitation,労働費 Labor administration,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Public works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt service,諸支出金 Miscellaneous
28,2016,13200,,市部,All shi,1515323,10318,177998,735515,121770,6086,3499,9093,143049,55317,167814,67,83565,1230
29,2017,13200,,市部,All shi,1528908,10220,187372,754717,118117,6226,3297,9627,133165,52651,169780,282,83363,90
30,2018,13200,,市部,All shi,1540707,10063,170891,762963,126192,6308,3267,9139,135807,51339,178738,971,84943,86
30,2018,13201,1,八王子市,Hachioji-shi,196331,694,16607,98291,18712,463,414,1696,18286,6641,19662,528,14338,-
30,2018,13202,2,立川市,Tachikawa-shi,74154,450,8343,37457,5355,577,110,443,5399,2068,9894,-,4058,-
30,2018,13203,3,武蔵野市,Musashino-shi,63656,463,8487,28582,6213,253,69,428,7007,2078,8230,-,1844,-
30,2018,13204,4,三鷹市,Mitaka-shi,67615,497,9121,34798,3745,155,157,386,4776,2149,7726,-,4020,86
30,2018,13205,5,青梅市,Ome-shi,50494,410,5712,24214,5057,10,370,484,3302,1669,5950,96,3219,-
30,2018,13206,6,府中市,Fuchu-shi,98895,526,14638,49808,5898,582,115,438,7661,2929,12164,-,4136,-
30,2018,13207,7,昭島市,Akishima-shi,42856,324,4782,20806,3351,359,36,216,2427,1419,6677,80,2379,-
30,2018,13208,8,調布市,Chofu-shi,90650,486,10545,45039,6461,300,137,335,11112,2735,9935,-,3566,-
30,2018,13209,9,町田市,Machida-shi,150901,667,17699,73698,14342,337,224,971,13254,4934,18187,-,6588,-
30,2018,13210,10,小金井市,Koganei-shi,45561,364,5673,20363,4166,281,39,166,7066,1486,3453,-,2503,-
30,2018,13211,11,小平市,Kodaira-shi,64314,450,6010,33412,6561,211,138,160,3998,2204,7559,46,3566,-
30,2018,13212,12,日野市,Hino-shi,68773,389,7332,33163,6810,264,109,653,7915,2257,6631,69,3180,-
30,2018,13213,13,東村山市,Higashimurayama-shi,53755,346,5088,28656,3622,379,157,120,4473,1746,5045,-,4124,-
30,2018,13214,14,国分寺市,Kokubunji-shi,45291,327,4052,21076,4081,175,90,84,6497,1582,5112,26,2190,-
30,2018,13215,15,国立市,Kunitachi-shi,30975,301,2727,15152,1861,163,71,280,4549,1155,3115,19,1582,-
30,2018,13218,16,福生市,Fussa-shi,24504,275,2633,11922,2221,214,58,209,2312,886,3010,-,763,-
30,2018,13219,17,狛江市,Komae-shi,28543,307,2846,15141,1972,81,37,128,2012,1076,3036,-,1905,-
30,2018,13220,18,東大和市,Higashiyamato-shi,30871,280,3924,16666,2244,41,48,113,1635,1142,3165,-,1613,-
30,2018,13221,19,清瀬市,Kiyose-shi,30173,294,3966,16457,1685,115,78,121,920,1051,3598,14,1875,-
30,2018,13222,20,東久留米市,Higashikurume-shi,41059,272,3180,22178,3159,203,102,71,3170,1727,4487,-,2512,-
30,2018,13223,21,武蔵村山市,Musashimurayama-shi,27520,269,2723,14423,2052,55,56,208,2465,964,3086,-,1219,-
30,2018,13224,22,多摩市,Tama-shi,53585,386,8340,26313,3845,293,67,309,3352,1882,6732,41,2022,-
