年度(平成),Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／計 Total,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Liability per capita (yen)／計 Total,1人当たり負担額 (円) Liability per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Liability per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Liability per household (yen)／計 Total,1世帯当たり負担額 (円) Liability per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Liability per household (yen)／市町村民税分 Municipal
25,2013,0,13000,東京都,Tokyo-to,1912684,760726,1151957,143954,57255,86700,282736,112452,170284
26,2014,0,13000,東京都,Tokyo-to,1993560,792310,1201251,149011,59222,89789,291210,115737,175473
27,2015,0,13000,東京都,Tokyo-to,2034565,810752,1223812,150538,59988,90550,292891,116714,176177
28,2016,0,13000,東京都,Tokyo-to,2098483,835763,1262720,153890,61290,92600,308164,122732,185431
29,2017,0,13000,東京都,Tokyo-to,2129700,847566,1282134,154967,61673,93294,308136,122630,185505
29,2017,1,13100,区部,All ku,1616673,643497,973176,170760,67969,102791,325555,129583,195972
29,2017,2,13101,千代田区,Chiyoda-ku,25854,10296,15558,424292,168972,255320,745260,296796,448464
29,2017,2,13102,中央区,Chuo-ku,41145,16414,24731,265919,106081,159838,477361,190430,286930
29,2017,2,13103,港区,Minato-ku,117715,46950,70765,465672,185731,279941,868600,346437,522163
29,2017,2,13104,新宿区,Shinjuku-ku,68677,27301,41376,200185,79579,120606,322798,128321,194477
29,2017,2,13105,文京区,Bunkyo-ku,52759,21026,31733,233015,92865,140150,423027,168592,254435
29,2017,2,13106,台東区,Taito-ku,30006,11932,18073,148203,58936,89267,257824,102529,155294
29,2017,2,13107,墨田区,Sumida-ku,35624,14170,21453,135203,53781,81422,259728,103315,156413
29,2017,2,13108,江東区,Koto-ku,77133,30701,46432,151409,60265,91144,305401,121558,183843
