年平均(平成),Yearly average,月次 ,Month,調査産業計 Industries covered,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
26,2014,平均,Average,100.3,97.8,97.4,98.4,102.8,101.6,99.8,99.1,98.5,98.5,104.6,113.3,100.4,101.5,91,100.4
27,2015,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,2016,平均,Average,100.1,100.5,99.5,106.7,101,102.5,101,96.7,102,103.1,102.7,87.2,103.3,95.8,104.7,97.9
29,2017,平均,Average,100.9,106.2,101.3,104.1,101.2,102.1,105.3,96.6,106.5,99.7,98.4,85.6,102,97.1,99.4,95.2
30,2018,平均,Average,102.1,104.3,99.8,111.3,103.5,97.5,117.8,100.4,108.3,100.8,104.8,96.2,98.3,100.5,108.6,94.8
30,2018,1,Jan.,82.6,82.4,73.8,97.4,93.8,86,86.1,74,83.9,80.3,91.9,79.7,81.3,85.3,94.5,85.2
30,2018,2,Feb.,80.4,74.3,76.5,94,81.9,77,86.8,83.1,84.9,76.1,98.8,71.9,74.8,89.7,96,80.9
30,2018,3,Mar.,93.7,87,94.6,96.9,87.5,80.4,111.1,111,89.6,81.4,96.6,79.1,82.4,113.4,98.1,84.9
30,2018,4,Apr.,85.2,78.9,79.7,86.9,83.5,86,92.1,78.8,95.9,102.9,94.1,81.5,79,85.4,86.8,88.1
30,2018,5,May,89.3,83.5,75.7,91.8,88,79,94.4,143.2,104.5,79,96.5,84.7,75.4,84.5,82.7,83.9
30,2018,6,June,160.8,149.4,154,ｘ,166.7,146.5,217.5,157.6,185.1,142.7,129.8,162.8,155.7,128.3,216.2,129.5
30,2018,7,July,111.6,164.4,123.6,87.1,111.7,108.9,124.6,82.5,119.2,123,117.7,106.2,103.7,99.1,89.8,104.1
30,2018,8,Aug.,81.5,78.3,78.4,ｘ,80.6,80,92.1,75.1,82.9,79.3,95.5,89.8,76.5,85.9,83,83.4
30,2018,9,Sept.,83.1,79.3,79.4,ｘ,85.2,80.2,91.9,80.3,85.7,81.8,96.5,82.9,80.2,85.9,74.8,83.7
30,2018,10,Oct.,84.3,78.5,77.8,ｘ,81.9,83.7,92.9,75.8,87.9,103,100.7,86,80.3,84.8,90.7,86.3
30,2018,11,Nov.,90.9,86.9,86.4,175.3,92.6,96.9,98.7,82.7,82.6,84.9,100.2,86.7,85,112.2,81.9,85.2
30,2018,12,Dec.,181.5,208.3,197.3,140.2,189,165.3,224.9,161,197,175.6,139.4,143.1,205.7,151.2,208.8,142.5
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成26～30年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2014-2018 ),,,,,,,,,,,,,,,,,,,
「東京都の賃金、労働時間及び雇用の動き　-毎月勤労統計調査地方調査結果年報-（平成30年）」 による。 本表は，常用労働者30人以上の事業所を対象とした第１種事業所調査の結果である。なお，本統計年鑑発行時点で，厚生労働省において，これまでに公表してきた集計値が適切なものであるかを精査中であるため，今後，「再集計値」 を公表する可能性がある。,,,,,,,,,,,,,,,,,,,
Data are based on the Annual Report on the Results of the Monthly Labor Prefectural Survey (2018). This table shows the results of surveys conducted on establishments with 30 or more regular workers. Due to the fact that as of the date of publication of this statistical yearbook， the Ministry of Health， Labour and Welfare is conducting detailed studies on the suitability of its published statistical data， there is the possibility that revised tabulations will be announced at a later time.,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（平成27平均＝100） (2015 average＝100)  ,,,,,,,,,,,,,,,,,,,
