年度(平成),Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value
26,2014,1862767,10531847,934,2814103,1502577,253870,1438569
27,2015,2152782,10799323,709,2412861,1221656,271802,1553261
28,2016,2008569,10596360,700,847338,1399568,352705,2001371
29,2017,1856114,9039248,613,2147924,1724283,132834,864762
30,2018,2042946,10207000,775,751113,2517890,145576,957632
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,
15-4  生命保険会社契約高 (1) 新契約 (平成26～30年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (1) NEW POLICIES ( Fiscal Years 2014-2018 ),,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
