年次(平成),Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 (%) Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り(%) Average yield (%)
26,2014,総数,Total,244,1858,505897342,2511685,154.75,1263.58,297.26,1.59
27,2015,総数,Total,244,1934,571832889,2541008,154.8,1554.16,,1.48
27,2015,1~9,Jan. - Sept.,,,,,,,326.78,
27,2015,9~12,Sept. - Dec.,,,,,,,3059.74,
28,2016,総数,Total,245,2002,560246997,2422900,152.66,1355.93,2596.03,1.81
29,2017,総数,Total,247,2062,674199186,1985361,142.36,1624.09,2832.75,1.6
30,2018,総数,Total,245,2128,562121332,1657428,130.92,1729.58,2643.01,1.61
30,2018,1,Jan.,19,2062,681889663,1743211,10.56,1882.57,3022.49,1.37
30,2018,2,Feb.,19,2065,657078972,1902925,11.52,1766.57,2826.69,1.47
30,2018,3,Mar.,21,2078,638565561,1587606,10.62,1716.27,2768.54,1.5
30,2018,4,Apr.,20,2082,660731176,1627151,10.34,1737.42,2737.93,1.48
30,2018,5,May,21,2083,649616465,1738891,11.57,1783.96,2804.93,1.53
30,2018,6,June,21,2092,643938193,1599382,10.64,1762.48,2761.79,1.61
30,2018,7,July,21,2102,651219980,1525875,10.15,1729.12,2641.67,1.66
30,2018,8,Aug.,23,2103,644911422,1455094,10.59,1721.03,2605.58,1.69
30,2018,9,Sept.,18,2104,675752151,1663900,9.49,1746.41,2619.37,1.67
30,2018,10,Oct.,22,2109,611313084,1716499,12.24,1703.85,2415.76,1.72
30,2018,11,Nov.,21,2116,620657904,1649891,11.48,1646.77,2338.79,1.77
30,2018,12,Dec.,19,2128,562121332,1733438,10.83,1565.86,2199.54,1.89
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成26～30年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2014-2018 ）,,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
2) 2015年9月24日から，株価平均等算出上の株価等の取扱いを変更した。(調整基準を1000株から100株へ変更),,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
2) On September 24， 2015， the handling of stock prices， etc. for calculation of stock price averages， etc. changed.(The number of shares per Share Unit used in calculation formulas changed from 1，000 to 100 shares.),,,,,,,,,,,
資料：(株)東京証券取引所情報サービス部 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
