年次(平成),Year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第1号 Primary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第2号 Secondary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第1号 Primary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第2号 Secondary,施設介護サービス受給者数 (3月分) Recipients of LTC services in facilities (for March)／第1号 Primary,施設介護サービス受給者数 (3月分) Recipient of long-term care facilities (for March)／第2号 Secondary
28,2016,0,13000,総数,Tokyo-to,3057015,557698,12530,339778,8064,68211,1424,71422,856
29,2017,0,13000,総数,Tokyo-to,3093161,577522,12603,340684,8137,69954,1339,73137,844
30,2018,0,13000,総数,Tokyo-to,3115904,592011,12762,352584,8298,71646,1293,74263,824
30,2018,1,13100,区部,All ku,2057663,399447,8424,243155,5514,50156,893,46315,506
30,2018,2,13101,千代田区,Chiyoda-ku,11115,2191,31,1330,19,307,3,225,3
30,2018,2,13102,中央区,Chuo-ku,24872,4980,135,2879,95,749,30,511,6
30,2018,2,13103,港区,Minato-ku,44443,9065,180,5335,115,512,17,1168,4
30,2018,2,13104,新宿区,Shinjuku-ku,68869,13509,224,8311,147,1707,26,1615,14
30,2018,2,13105,文京区,Bunkyo-ku,43562,8223,174,5313,118,1073,16,944,8
30,2018,2,13106,台東区,Taito-ku,46660,9831,215,5606,140,1050,13,1264,8
30,2018,2,13107,墨田区,Sumida-ku,61718,11544,256,7020,158,1756,36,1604,16
30,2018,2,13108,江東区,Koto-ku,112627,19682,480,10901,288,2031,38,2438,37
30,2018,2,13109,品川区,Shinagawa-ku,82587,14969,354,9772,240,1578,29,1866,23
30,2018,2,13110,目黒区,Meguro-ku,55849,11792,217,7412,152,1565,32,1231,7
30,2018,2,13111,大田区,Ota-ku,166738,30091,663,20819,432,4623,75,2963,52
30,2018,2,13112,世田谷区,Setagaya-ku,184328,38616,746,24897,518,5594,85,3362,24
30,2018,2,13113,渋谷区,Shibuya-ku,43351,8705,214,5120,131,627,20,1005,10
30,2018,2,13114,中野区,Nakano-ku,68779,13163,200,8488,136,1841,18,1439,13
30,2018,2,13115,杉並区,Suginami-ku,120204,24607,474,14922,297,3808,80,2687,22
30,2018,2,13116,豊島区,Toshima-ku,58281,11660,213,6890,151,1279,15,1412,6
30,2018,2,13117,北区,Kita-ku,88721,18184,382,10323,240,1646,33,2193,22
30,2018,2,13118,荒川区,Arakawa-ku,50645,9236,213,5832,140,1143,16,1238,24
30,2018,2,13119,板橋区,Itabashi-ku,131473,24861,491,14192,331,2591,35,2934,23
30,2018,2,13120,練馬区,Nerima-ku,160450,33121,614,20086,425,4399,87,4116,42
30,2018,2,13121,足立区,Adachi-ku,170948,34320,786,19164,492,3740,50,4519,58
30,2018,2,13122,葛飾区,Katsushika-ku,113956,21763,476,13537,330,3064,60,2736,27
30,2018,2,13123,江戸川区,Edogawa-ku,147487,25334,686,15006,419,3473,79,2845,57
30,2018,1,13200,市部,All shi,1031712,188224,4237,107283,2728,21067,395,26826,309
30,2018,2,13201,八王子市,Hachioji-shi,148391,27079,584,14142,378,3392,65,3535,46
30,2018,2,13202,立川市,Tachikawa-shi,44250,8207,200,4739,126,934,13,1207,13
30,2018,2,13203,武蔵野市,Musashino-shi,32620,6282,135,3829,90,637,15,968,10
30,2018,2,13204,三鷹市,Mitaka-shi,40721,7535,163,4620,111,951,20,938,12
30,2018,2,13205,青梅市,Ome-shi,38098,5795,165,2807,91,497,9,1325,11
30,2018,2,13206,府中市,Fuchu-shi,56654,10808,274,6164,168,1015,21,1338,14
30,2018,2,13207,昭島市,Akishima-shi,29057,5255,139,2940,98,690,21,976,10
30,2018,2,13208,調布市,Chofu-shi,50662,10068,202,5757,143,929,15,1196,13
30,2018,2,13209,町田市,Machida-shi,113795,20731,404,12068,272,2398,35,2869,30
30,2018,2,13210,小金井市,Koganei-shi,25962,5230,101,3076,62,674,13,640,9
30,2018,2,13211,小平市,Kodaira-shi,44576,8699,182,4755,116,888,18,1043,13
30,2018,2,13212,日野市,Hino-shi,45931,8793,182,4917,115,871,18,1170,19
30,2018,2,13213,東村山市,Higashimurayama-shi,39599,7945,206,4548,146,970,23,1223,18
30,2018,2,13214,国分寺市,Kokubunji-shi,27232,5271,103,3123,69,684,15,647,7
