事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,総数,total,5883,1470,78879,75587,4413,270058,215221
1,保護施設,Public assistance facilities,37,-,-,-,37,2261,2175
2,救護施設,Relief facilities,10,-,-,-,10,911,1000
2,更生施設,Rehabilitation facilities,11,-,-,-,11,890,920
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,255
1,老人福祉施設,Welfare facilities for the elderly,349,115,-,-,234,7384,6779
2,養護老人ホーム(一般）,Nursing homes (general),32,-,-,-,32,3351,3032
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,97
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,597
2,軽費老人ホーム（B型),Low-cost homes (type B),1,-,-,-,1,50,13
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),43,-,-,-,43,2087,1982
2,都市型軽費老人ホーム,Urban-style low-cost homes ,69,-,-,-,69,1196,1058
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),68,31,…,…,37,…,…
2,老人福祉センター（B型),Welfare centers (type B),127,84,…,…,43,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,270,9,181,-,261,8421,5413
2,障害者支援施設,Support facilities  ,90,-,-,-,90,5111,5270
2,地域活動支援センター,Local activity support centers,167,9,181,…,158,3156,…
2,福祉ホーム,Group homes ,13,-,-,-,13,154,143
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,5,-,…,19,-,…
2,身体障害者福祉ｾﾝﾀｰ（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉ｾﾝﾀｰ（Ｂ型）,Welfare centers (type B),7,3,…,…,4,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,83
1,児童福祉施設等,Child welfare facilities， etc.,3878,1339,78667,75579,2539,187214,163242
2,助産施設,Midwifery homes,36,12,196,…,24,388,…
2,乳児院,Infant homes,10,-,-,-,10,507,394
2,母子生活支援施設,Living support facilities for single-mother families 3),34,-,-,-,34,680,1198
2,保育所等,Day care centers， etc.,2600,743,77334,73747,1857,174344,152841
2,小規模保育事業所,Small group day-care service,409,-,-,-,409,6673,5519
2,児童養護施設,Foster homes,55,-,-,-,55,2961,2466
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,516,316
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),12,4,345,278,8,1146,703
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),27,9,395,1225,18,644,946
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,193,1,35,57
2,児童心理治療施設,Child mental care facilities,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,136,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),369,307,…,…,62,…,…
2,児童センター,Child centers,220,168,…,…,52,…,…
2,大型児童館Ａ型,Large child centers (type A),-,-,…,…,-,…,…
2,大型児童館B型,Large child centers (type B),-,-,…,…,-,…,…
2,大型児童館C型,Large child centers (type C),-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,90,90,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother/father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1320,2,31,8,1318,64548,37529
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,-,-,-,11,346,256
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),171,-,-,-,171,5143,3799
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low-cost medical facilities,52,-,…,…,52,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,…,…,…,…,…,…,…
,有料老人ホーム,Fee-based nursing homes for the elderly,1082,2,31,8,1080,58979,33474
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),516,…,…,…,516,45534,40602
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成29年） 18-1  SOCIAL WELFARE FACILITIES ( 2017 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
