会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settled account
特別区財政調整,Financial adjustment of ku,0,歳入,Revenue,1022777,1068164,1068163
特別区財政調整,Financial adjustment of ku,1,繰入金,Transferred,1022777,1068164,1068163
特別区財政調整,Financial adjustment of ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustment of ku,1,繰越金,Brought forward,0,0,-
特別区財政調整,Financial adjustment of ku,0,歳出,Expenditure,1022777,1068164,1068163
特別区財政調整,Financial adjustment of ku,1,特別区交付金,Grants-in-aid to ku,1022777,1068164,1068163
地方消費税清算,Settlement of local consump. tax,0,歳入,Revenue,2065356,2097557,2070936
地方消費税清算,Settlement of local consump. tax,1,地方消費税,Local consumption tax,1492955,1513362,1486353
地方消費税清算,Settlement of local consump. tax,1,諸収入,Miscellaneous,377088,381652,382040
地方消費税清算,Settlement of local consump. tax,1,繰越金,Brought forward,195313,202543,202543
地方消費税清算,Settlement of local consump. tax,0,歳出,Expenditure,1859685,1882637,1857448
地方消費税清算,Settlement of local consump. tax,1,地方消費税清算費,Settlement of local consump. tax,1859685,1882637,1857448
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,0,歳入,Revenue,372,372,756
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,1,事業収入,Enterprises,9,9,8
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,1,諸収入,Miscellaneous,0,0,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,1,繰越金,Brought forward,363,363,747
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,0,歳出,Expenditure,372,372,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation fund,1,貸付費,Funds,372,372,-
国民健康保険事業,National health insurance program,0,歳入,Revenue,1120814,1120814,1115092
国民健康保険事業,National health insurance program,1,分担金及負担金,Allotments and shares,459431,459431,453849
国民健康保険事業,National health insurance program,1,国庫支出金,National grants-in-aid,306624,306624,305787
国民健康保険事業,National health insurance program,1,療養給付費等交付金,Grants for medical treatment benefits， expenses， etc.,2071,2071,3860
国民健康保険事業,National health insurance program,1,前期高齢者交付金,Grants for 65-74 year olds,259215,259215,262017
国民健康保険事業,National health insurance program,1,共同事業交付金,Grants for joint insurance programs,1268,1268,1160
国民健康保険事業,National health insurance program,1,財産収入,Property,7,7,2
国民健康保険事業,National health insurance program,1,繰入金,Transferred,92192,92192,88416
国民健康保険事業,National health insurance program,1,諸収入,Miscellaneous,7,7,1
国民健康保険事業,National health insurance program,0,歳出,Expenditure,1120814,1120814,1093151
国民健康保険事業,National health insurance program,1,国民健康保険事業費,National health insurance program,1120814,1120814,1093151
母子父子福祉貸付資金,Funds for single-parent families,0,歳入,Revenue,4061,4061,5870
母子父子福祉貸付資金,Funds for single-parent families,1,事業収入,Enterprises,3009,3009,3409
母子父子福祉貸付資金,Funds for single-parent families,1,繰入金,Transferred,144,144,131
母子父子福祉貸付資金,Funds for single-parent families,1,諸収入,Miscellaneous,0,0,3
母子父子福祉貸付資金,Funds for single-parent families,1,繰越金,Brought forward,908,908,2327
母子父子福祉貸付資金,Funds for single-parent families,0,歳出,Expenditure,4061,4061,2918
母子父子福祉貸付資金,Funds for single-parent families,1,貸付費,Funds,4061,4061,2918
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,0,歳入,Revenue,4584,4584,4408
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,1,財産収入,Property,81,81,82
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,1,繰入金,Transferred,4503,4503,4324
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,1,繰越金,Brought forward,0,0,-
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,0,歳出,Expenditure,4584,4584,4408
心身障害者扶養年金,Mentally or physically disabled  person's supporting annuity,1,扶養年金費,Supporting annuity,4584,4584,4408
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,0,歳入,Revenue,23332,23332,23670
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,1,事業収入,Enterprises,23308,23308,21945
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,1,繰入金,Transferred,9,9,9
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,1,繰越金,Brought forward,15,15,1716
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,0,歳出,Expenditure,23332,23332,21955
中小企業設備導入等資金,Funds for the introduction of facilities for small and medium scale businesses,1,助成費,Grants-in-aid,23332,23332,21955
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,0,歳入,Revenue,52,52,107
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,1,事業収入,Enterprises,3,3,3
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,1,繰入金,Transferred,1,1,-
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,1,繰越金,Brought forward,48,48,103
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,0,歳出,Expenditure,52,52,-
