年次(平成),年度 FY,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
25,2013,0,13000,総数,Tokyo-to,127639,23041,601,145,22432,81420,37201572,1578399,53278536
26,2014,0,13000,総数,Tokyo-to,127110,22612,520,145,22708,81125,37056997,1601199,52381203
27,2015,0,13000,総数,Tokyo-to,128166,22494,510,145,23524,81493,37267796,1650070,52441970
28,2016,0,13000,総数,Tokyo-to,128351,22412,510,145,23921,81363,37419053,1679734,52349529
29,2017,0,13000,総数,Tokyo-to,128279,22279,505,145,24070,81280,37445832,1695933,51746300
29,2017,1,13100,区部,All ku,80160,6874,168,99,13502,59517,22816081,1267378,39547242
29,2017,2,13101,千代田区,Chiyoda-ku,2265,27,-,-,50,2188,554217,52347,2012189
29,2017,2,13102,中央区,Chuo-ku,1197,-,-,-,52,1145,372331,34822,1047462
29,2017,2,13103,港区,Minato-ku,3975,49,8,-,68,3850,1037972,88456,3076316
29,2017,2,13104,新宿区,Shinjuku-ku,6184,315,40,4,85,5740,1627372,128969,3919741
29,2017,2,13105,文京区,Bunkyo-ku,5085,137,-,30,118,4800,1483547,115555,4081989
29,2017,2,13106,台東区,Taito-ku,1078,85,-,-,297,696,309875,13367,505746
29,2017,2,13107,墨田区,Sumida-ku,2453,36,-,10,189,2218,672204,45693,1198198
29,2017,2,13108,江東区,Koto-ku,3133,129,-,-,472,2532,897438,57641,1618626
29,2017,2,13109,品川区,Shinagawa-ku,3145,50,-,-,732,2363,846845,55575,1503550
29,2017,2,13110,目黒区,Meguro-ku,2362,50,-,-,198,2114,652544,49675,1255788
