地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,区部,All ku,60601,33958,1963,85,673,1708,13816,1,7302,1041,54,-
1,13101,千代田区,Chiyoda-ku,1081,700,34,2,12,23,126,-,91,93,-,-
1,13102,中央区,Chuo-ku,1459,785,48,4,27,35,265,-,202,92,1,-
1,13103,港区,Minato-ku,2113,1277,67,3,11,48,389,-,229,83,6,-
1,13104,新宿区,Shinjuku-ku,2696,1465,95,6,17,90,647,1,312,60,3,-
1,13105,文京区,Bunkyo-ku,1798,942,63,2,37,49,423,-,214,68,-,-
1,13106,台東区,Taito-ku,1707,1215,44,3,11,49,207,-,117,61,-,-
1,13107,墨田区,Sumida-ku,1885,1155,72,3,18,47,393,-,170,26,1,-
1,13108,江東区,Koto-ku,2742,1362,95,5,20,76,723,-,349,110,2,-
1,13109,品川区,Shinagawa-ku,2543,1309,80,3,27,67,712,-,282,60,3,-
1,13110,目黒区,Meguro-ku,2013,1005,78,3,46,55,585,-,219,21,1,-
1,13111,大田区,Ota-ku,4183,2290,143,5,53,106,1029,-,549,6,2,-
1,13112,世田谷区,Setagaya-ku,5067,2887,149,5,53,123,1119,-,673,56,2,-
1,13113,渋谷区,Shibuya-ku,1847,974,57,3,13,52,380,-,343,19,6,-
1,13114,中野区,Nakano-ku,1991,1124,66,3,25,58,462,-,237,11,5,-
1,13115,杉並区,Suginami-ku,3476,1685,107,5,39,104,998,-,417,115,6,-
1,13116,豊島区,Toshima-ku,1983,1159,84,3,17,62,458,-,186,13,1,-
1,13117,北区,Kita-ku,2478,1361,86,3,14,83,685,-,220,26,-,-
1,13118,荒川区,Arakawa-ku,1607,1017,55,3,22,56,281,-,135,37,1,-
1,13119,板橋区,Itabashi-ku,3563,2038,126,5,41,118,819,-,403,13,-,-
1,13120,練馬区,Nerima-ku,4429,2282,112,4,59,130,1168,-,645,29,-,-
1,13121,足立区,Adachi-ku,3344,2280,111,4,32,103,604,-,190,12,8,-
1,13122,葛飾区,Katsushika-ku,2973,1492,68,5,20,84,804,-,480,14,6,-
1,13123,江戸川区,Edogawa-ku,3623,2154,123,3,59,90,539,-,639,16,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成30年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) Ku ( Apr. 1， 2018 ),,,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General， Office of Education or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:区部　1:区市町村）,,,,,,,,,,,,,,,
