年度(平成),Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
25,2013,0,13000,総数,Tokyo-to,479527,27528,21385,2814,1264,12235,12234,77633
26,2014,0,13000,総数,Tokyo-to,482223,23484,22099,2845,1535,12555,12555,80369
27,2015,0,13000,総数,Tokyo-to,480798,21835,21418,2837,1673,11618,11583,82999
28,2016,0,13000,総数,Tokyo-to,482656,22213,21498,2803,1660,11573,11573,85650
29,2017,0,13000,総数,Tokyo-to,486563,22082,19163,2688,1980,10314,10359,88168
29,2017,1,13100,区部,All ku,335417,14776,13204,1855,1385,7361,7503,55496
29,2017,2,13101,千代田区,Chiyoda-ku,2361,83,85,8,9,37,35,223
29,2017,2,13102,中央区,Chuo-ku,3409,188,134,37,24,153,132,494
29,2017,2,13103,港区,Minato-ku,7665,298,172,44,36,208,203,976
29,2017,2,13104,新宿区,Shinjuku-ku,13735,539,538,76,61,409,384,1579
29,2017,2,13105,文京区,Bunkyo-ku,6378,274,258,51,35,136,153,980
29,2017,2,13106,台東区,Taito-ku,9795,371,440,51,26,174,203,991
29,2017,2,13107,墨田区,Sumida-ku,9249,449,444,59,31,214,210,1686
29,2017,2,13108,江東区,Koto-ku,18951,869,700,114,71,409,425,3237
29,2017,2,13109,品川区,Shinagawa-ku,14319,589,525,80,49,226,285,1995
29,2017,2,13110,目黒区,Meguro-ku,7692,354,455,47,28,133,167,1273
29,2017,2,13111,大田区,Ota-ku,27991,1227,1026,136,97,502,498,4371
29,2017,2,13112,世田谷区,Setagaya-ku,24885,1180,1162,151,83,515,528,4436
29,2017,2,13113,渋谷区,Shibuya-ku,6759,295,286,43,28,167,207,896
29,2017,2,13114,中野区,Nakano-ku,10452,522,348,68,57,254,268,1551
29,2017,2,13115,杉並区,Suginami-ku,16341,814,796,98,63,371,414,2633
29,2017,2,13116,豊島区,Toshima-ku,10067,433,404,61,47,231,260,1320
29,2017,2,13117,北区,Kita-ku,17410,646,667,85,69,313,321,2443
29,2017,2,13118,荒川区,Arakawa-ku,9641,418,363,35,40,180,193,1320
29,2017,2,13119,板橋区,Itabashi-ku,21372,855,705,115,93,527,504,3900
29,2017,2,13120,練馬区,Nerima-ku,24130,1129,963,122,119,479,469,4952
29,2017,2,13121,足立区,Adachi-ku,30293,1412,1308,143,119,738,687,5604
29,2017,2,13122,葛飾区,Katsushika-ku,17651,726,740,100,72,386,355,3384
29,2017,2,13123,江戸川区,Edogawa-ku,24871,1105,685,131,128,599,602,5252
29,2017,1,13200,市部,All shi,146566,7127,5812,813,585,2843,2778,31838
29,2017,2,13201,八王子市,Hachioji-shi,15483,1041,1248,115,158,152,197,4459
29,2017,2,13202,立川市,Tachikawa-shi,7373,316,297,28,20,177,172,1501
29,2017,2,13203,武蔵野市,Musashino-shi,4225,179,199,29,18,92,98,1180
29,2017,2,13204,三鷹市,Mitaka-shi,5764,282,158,37,22,124,128,1196
29,2017,2,13205,青梅市,Ome-shi,6494,279,188,33,10,169,111,1149
29,2017,2,13206,府中市,Fuchu-shi,8628,422,383,49,23,186,195,1932
29,2017,2,13207,昭島市,Akishima-shi,3984,221,172,18,17,98,91,923
29,2017,2,13208,調布市,Chofu-shi,8603,368,180,41,19,162,156,1496
29,2017,2,13209,町田市,Machida-shi,16003,703,611,121,46,268,236,3665
29,2017,2,13210,小金井市,Koganei-shi,3252,179,103,18,4,57,71,703
29,2017,2,13211,小平市,Kodaira-shi,6679,311,172,29,23,154,139,1501
29,2017,2,13212,日野市,Hino-shi,6023,310,174,29,30,107,109,1341
29,2017,2,13213,東村山市,Higashimurayama-shi,7382,299,217,32,23,120,112,1340
29,2017,2,13214,国分寺市,Kokubunji-shi,3867,204,77,24,11,45,52,796
29,2017,2,13215,国立市,Kunitachi-shi,2586,127,87,12,6,93,101,544
29,2017,2,13218,福生市,Fussa-shi,2284,110,64,9,4,63,56,423
29,2017,2,13219,狛江市,Komae-shi,2742,117,224,14,9,46,55,461
29,2017,2,13220,東大和市,Higashiyamato-shi,3245,170,155,7,9,74,70,683
29,2017,2,13221,清瀬市,Kiyose-shi,4474,170,83,16,12,60,58,660
29,2017,2,13222,東久留米市,Higashikurume-shi,4642,250,230,22,25,109,100,975
29,2017,2,13223,武蔵村山市,Musashimurayama-shi,3199,124,85,10,8,57,62,681
29,2017,2,13224,多摩市,Tama-shi,5154,251,192,46,25,132,111,1096
29,2017,2,13225,稲城市,Inagi-shi,2716,129,106,29,20,41,42,533
29,2017,2,13227,羽村市,Hamura-shi,1875,77,49,7,6,54,43,486
29,2017,2,13228,あきる野市,Akiruno-shi,2905,152,92,18,6,73,66,725
29,2017,2,13229,西東京市,Nishitokyo-shi,6984,336,266,20,31,130,147,1389
29,2017,1,13300,郡部,All gun,2932,105,112,15,4,88,49,590
29,2017,1,13350,島部,All islands,1648,74,35,5,6,22,29,233
,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成25～29年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2013?2017 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
