年度(平成),Fiscal Year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use '(1),直接最終処分量 Direct final disposal '(2) ,中間処理 Intermediate processing ／処理量 Processed '(3),中間処理 Intermediate processing／処理残さ量 Residues '(4),中間処理 Intermediate processing／処理後再生利用量 Recycled after processing '(5),中間処理 Intermediate processing／最終処分量 Final disposal '(6),再生利用量 Recycled '(1)＋'(5),減量化量 Reduced disposal '(3)-'(4),最終処分量 Final disposal '(2)＋'(6)
25,2013,総数 ,Total,24738,146,24592,15,61,24516,9365,8679,685,8694,15152,747
26,2014,総数 ,Total,24812,138,24674,36,69,24569,9875,9240,635,9276,14694,704
27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
28,2016,総数 ,Total,27014,91,26923,26,47,26850,10196,9663,533,9689,16654,580
29,2017,総数 ,Total,27376,92,27284,14,106,27164,9716,9238,478,9252,17448,584
29,2017,燃えがら ,Cinders,4,-,4,-,1,3,1,1,-,1,2,1
29,2017,汚でい ,Sludge,19214,1,19213,1,-,19212,2170,2034,136,2035,17042,136
29,2017,廃油 ,Waste oil,21,-,21,-,-,21,7,7,-,7,14,-
29,2017,廃酸 ,Waste acid,6,-,6,-,-,6,2,1,1,1,4,1
29,2017,廃アルカリ ,Waste alkaline,6,-,6,-,-,6,2,2,-,2,4,-
29,2017,廃プラスチック類 ,Waste plastics,310,7,303,-,1,302,226,200,26,200,76,27
29,2017,紙くず ,Paper scrap,56,11,45,-,-,45,36,36,-,36,9,-
29,2017,木くず ,Wood scrap,344,1,343,-,-,343,296,293,3,293,47,3
29,2017,繊維くず ,Textile scrap,3,-,3,-,-,3,3,2,1,2,-,1
29,2017,動植物性残さ ,Plant and animal scraps,34,8,26,-,-,26,16,16,-,16,10,-
29,2017,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
29,2017,金属くず ,Metal scrap,214,62,152,-,-,152,150,149,1,149,2,1
29,2017,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,820,2,818,-,66,752,670,566,104,566,82,170
29,2017,鉱さい ,Slag,8,-,8,-,-,8,8,7,1,7,-,1
29,2017,がれき類 ,Rubble,5865,-,5865,13,-,5852,5789,5673,116,5686,63,116
29,2017,ばいじん ,Dust,9,-,9,-,-,9,9,-,9,-,-,9
29,2017,動物の糞尿 ,Animal excretions,39,-,39,-,-,39,23,23,-,23,16,-
29,2017,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
29,2017,混合廃棄物 ,Mixed waste,300,-,300,-,2,298,276,203,73,203,22,75
29,2017,その他の廃棄物 ,Other waste,52,-,52,-,30,22,16,10,6,10,6,36
29,2017,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,-,-,-,-,-,-,-,-,-,-,-,-
29,2017,特別管理産業廃棄物 ,Specially controlled industrial waste,71,-,71,-,6,65,16,15,1,15,49,7
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成25～29年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2013-2017 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
This result was estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部計画課 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
