男女別階層,男女,gender,年齢別階層,年齢 Age(歳 years),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物〈腫瘍〉Malignant neoplasm,心疾患 Heart diseases,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数 Total,119253,8730,34129,18211,7910,1892,9472,2921,2023,33965
0,総数 ,Total,1,  0～14,326,1,24,9,9,3,-,17,10,253
0,総数 ,Total,1,15～19,105,1,12,4,2,-,-,14,50,22
0,総数 ,Total,1,20～24,217,1,21,8,2,1,-,24,112,48
0,総数 ,Total,1,25～29,258,6,26,13,3,1,-,15,136,58
0,総数 ,Total,1,30～34,357,21,61,17,3,8,-,22,149,76
0,総数 ,Total,1,35～39,494,34,120,35,4,25,-,30,135,111
0,総数 ,Total,1,40～44,855,70,261,71,9,49,-,34,156,205
0,総数 ,Total,1,45～49,1565,149,519,162,11,99,-,59,208,358
0,総数 ,Total,1,50～54,2307,189,908,234,26,138,-,73,206,533
0,総数 ,Total,1,55～59,2856,203,1185,297,54,182,-,105,155,675
0,総数 ,Total,1,60～64,3864,240,1752,455,88,160,5,124,116,924
0,総数 ,Total,1,65～69,7363,452,3535,887,191,220,15,181,156,1726
0,総数 ,Total,1,70～74,10571,779,4709,1338,417,243,69,260,146,2610
0,総数 ,Total,1,75～79,14550,1063,5697,2057,733,221,224,351,127,4077
0,総数 ,Total,1,80～,73562,5520,15298,12624,6358,542,9159,1611,161,22289
0,総数 ,Total,1,不詳 Unreported,3,1,1,-,-,-,-,1,-,-
1,男 ,Male,0,総数 Total,62466,4418,19791,8956,4396,1291,2501,1663,1355,18095
1,男 ,Male,1,  0～14,186,1,13,6,4,2,-,8,6,146
1,男 ,Male,1,15～19,69,-,10,3,1,-,-,12,30,13
1,男 ,Male,1,20～24,148,1,11,6,1,-,-,20,77,32
1,男 ,Male,1,25～29,160,3,11,10,1,1,-,10,90,34
1,男 ,Male,1,30～34,237,16,29,13,3,6,-,17,104,49
1,男 ,Male,1,35～39,314,27,52,28,2,19,-,23,90,73
1,男 ,Male,1,40～44,515,52,103,57,6,29,-,21,100,147
1,男 ,Male,1,45～49,996,103,226,143,11,75,-,48,140,250
1,男 ,Male,1,50～54,1519,140,451,186,24,118,-,56,144,400
1,男 ,Male,1,55～59,1946,156,659,254,39,155,-,72,99,512
1,男 ,Male,1,60～64,2700,173,1079,372,67,131,3,82,80,713
1,男 ,Male,1,65～69,5165,310,2323,702,146,183,9,124,101,1267
1,男 ,Male,1,70～74,7218,533,3116,966,315,175,43,173,108,1789
1,男 ,Male,1,75～79,9216,663,3635,1235,526,152,99,233,88,2585
1,男 ,Male,1,80～,32075,2240,8072,4975,3250,245,2347,763,98,10085
1,男 ,Male,1,不詳 Unreported,2,-,1,-,-,-,-,1,-,-
1,女 ,Female,0,総数 Total,56787,4312,14338,9255,3514,601,6971,1258,668,15870
1,女 ,Female,1,  0～14,140,-,11,3,5,1,-,9,4,107
1,女 ,Female,1,15～19,36,1,2,1,1,-,-,2,20,9
1,女 ,Female,1,20～24,69,-,10,2,1,1,-,4,35,16
1,女 ,Female,1,25～29,98,3,15,3,2,-,-,5,46,24
1,女 ,Female,1,30～34,120,5,32,4,-,2,-,5,45,27
1,女 ,Female,1,35～39,180,7,68,7,2,6,-,7,45,38
1,女 ,Female,1,40～44,340,18,158,14,3,20,-,13,56,58
1,女 ,Female,1,45～49,569,46,293,19,-,24,-,11,68,108
1,女 ,Female,1,50～54,788,49,457,48,2,20,-,17,62,133
1,女 ,Female,1,55～59,910,47,526,43,15,27,-,33,56,163
1,女 ,Female,1,60～64,1164,67,673,83,21,29,2,42,36,211
1,女 ,Female,1,65～69,2198,142,1212,185,45,37,6,57,55,459
1,女 ,Female,1,70～74,3353,246,1593,372,102,68,26,87,38,821
1,女 ,Female,1,75～79,5334,400,2062,822,207,69,125,118,39,1492
1,女 ,Female,1,80～,41487,3280,7226,7649,3108,297,6812,848,63,12204
1,女 ,Female,1,不詳 Unreported,1,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成30年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2018 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,
