年度末(平成),End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
26,2014,0,13000,総数,Tokyo-to,82150,45539,36611,15222,82147,45539,36608,15222,3,-,3,-
27,2015,0,13000,総数,Tokyo-to,80493,43410,37083,16120,80491,43410,37081,16119,2,-,2,1
28,2016,0,13000,総数,Tokyo-to,77399,40801,36598,16721,77399,40801,36598,16720,-,-,-,1
29,2017,0,13000,総数,Tokyo-to,74679,38002,36677,17551,74678,38002,36676,17551,1,-,1,-
30,2018,0,13000,総数,Tokyo-to,72246,43119,29127,18167,72245,43118,29127,18167,1,1,-,-
30,2018,1,13100,区部,All ku,46957,27959,18998,12376,46956,27958,18998,12376,1,1,-,-
30,2018,2,13101,千代田区,Chiyoda-ku,195,96,99,82,194,95,99,82,1,1,-,-
30,2018,2,13102,中央区,Chuo-ku,646,372,274,200,646,372,274,200,-,-,-,-
30,2018,2,13103,港区,Minato-ku,946,589,357,361,946,589,357,361,-,-,-,-
30,2018,2,13104,新宿区,Shinjuku-ku,1433,893,540,369,1433,893,540,369,-,-,-,-
30,2018,2,13105,文京区,Bunkyo-ku,589,307,282,323,589,307,282,323,-,-,-,-
30,2018,2,13106,台東区,Taito-ku,954,590,364,223,954,590,364,223,-,-,-,-
30,2018,2,13107,墨田区,Sumida-ku,1588,962,626,404,1588,962,626,404,-,-,-,-
30,2018,2,13108,江東区,Koto-ku,2775,1607,1168,767,2775,1607,1168,767,-,-,-,-
30,2018,2,13109,品川区,Shinagawa-ku,1562,806,756,630,1562,806,756,630,-,-,-,-
30,2018,2,13110,目黒区,Meguro-ku,881,510,371,303,881,510,371,303,-,-,-,-
30,2018,2,13111,大田区,Ota-ku,3375,1902,1473,1017,3375,1902,1473,1017,-,-,-,-
30,2018,2,13112,世田谷区,Setagaya-ku,2895,1637,1258,1066,2895,1637,1258,1066,-,-,-,-
30,2018,2,13113,渋谷区,Shibuya-ku,774,462,312,211,774,462,312,211,-,-,-,-
30,2018,2,13114,中野区,Nakano-ku,1135,666,469,306,1135,666,469,306,-,-,-,-
30,2018,2,13115,杉並区,Suginami-ku,1619,853,766,634,1619,853,766,634,-,-,-,-
30,2018,2,13116,豊島区,Toshima-ku,1131,627,504,286,1131,627,504,286,-,-,-,-
30,2018,2,13117,北区,Kita-ku,1716,1012,704,367,1716,1012,704,367,-,-,-,-
30,2018,2,13118,荒川区,Arakawa-ku,1305,795,510,315,1305,795,510,315,-,-,-,-
30,2018,2,13119,板橋区,Itabashi-ku,3518,2179,1339,720,3518,2179,1339,720,-,-,-,-
30,2018,2,13120,練馬区,Nerima-ku,3826,2294,1532,999,3826,2294,1532,999,-,-,-,-
30,2018,2,13121,足立区,Adachi-ku,5624,3544,2080,1036,5624,3544,2080,1036,-,-,-,-
30,2018,2,13122,葛飾区,Katsushika-ku,3331,2071,1260,760,3331,2071,1260,760,-,-,-,-
30,2018,2,13123,江戸川区,Edogawa-ku,5139,3185,1954,997,5139,3185,1954,997,-,-,-,-
30,2018,1,13200,市部,All shi,24632,14770,9862,5629,24632,14770,9862,5629,-,-,-,-
30,2018,2,13201,八王子市,Hachioji-shi,3843,2329,1514,868,3843,2329,1514,868,-,-,-,-
30,2018,2,13202,立川市,Tachikawa-shi,1235,754,481,239,1235,754,481,239,-,-,-,-
30,2018,2,13203,武蔵野市,Musashino-shi,467,247,220,151,467,247,220,151,-,-,-,-
30,2018,2,13204,三鷹市,Mitaka-shi,746,426,320,185,746,426,320,185,-,-,-,-
30,2018,2,13205,青梅市,Ome-shi,1056,630,426,230,1056,630,426,230,-,-,-,-
30,2018,2,13206,府中市,Fuchu-shi,1472,878,594,343,1472,878,594,343,-,-,-,-
30,2018,2,13207,昭島市,Akishima-shi,871,534,337,160,871,534,337,160,-,-,-,-
30,2018,2,13208,調布市,Chofu-shi,1036,561,475,284,1036,561,475,284,-,-,-,-
30,2018,2,13209,町田市,Machida-shi,2842,1791,1051,615,2842,1791,1051,615,-,-,-,-
30,2018,2,13210,小金井市,Koganei-shi,351,177,174,84,351,177,174,84,-,-,-,-
30,2018,2,13211,小平市,Kodaira-shi,1077,648,429,283,1077,648,429,283,-,-,-,-
30,2018,2,13212,日野市,Hino-shi,915,545,370,232,915,545,370,232,-,-,-,-
30,2018,2,13213,東村山市,Higashimurayama-shi,998,609,389,243,998,609,389,243,-,-,-,-
30,2018,2,13214,国分寺市,Kokubunji-shi,420,237,183,120,420,237,183,120,-,-,-,-
30,2018,2,13215,国立市,Kunitachi-shi,364,207,157,90,364,207,157,90,-,-,-,-
30,2018,2,13218,福生市,Fussa-shi,515,330,185,113,515,330,185,113,-,-,-,-
30,2018,2,13219,狛江市,Komae-shi,297,170,127,93,297,170,127,93,-,-,-,-
30,2018,2,13220,東大和市,Higashiyamato-shi,652,397,255,95,652,397,255,95,-,-,-,-
30,2018,2,13221,清瀬市,Kiyose-shi,594,362,232,106,594,362,232,106,-,-,-,-
30,2018,2,13222,東久留米市,Higashikurume-shi,790,489,301,172,790,489,301,172,-,-,-,-
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,739,504,235,108,739,504,235,108,-,-,-,-
30,2018,2,13224,多摩市,Tama-shi,846,480,366,243,846,480,366,243,-,-,-,-
30,2018,2,13225,稲城市,Inagi-shi,415,225,190,125,415,225,190,125,-,-,-,-
30,2018,2,13227,羽村市,Hamura-shi,504,285,219,113,504,285,219,113,-,-,-,-
30,2018,2,13228,あきる野市,Akiruno-shi,616,362,254,109,616,362,254,109,-,-,-,-
30,2018,2,13229,西東京市,Nishitokyo-shi,971,593,378,225,971,593,378,225,-,-,-,-
30,2018,1,13300,郡部,All gun,479,296,183,104,479,296,183,104,-,-,-,-
30,2018,1,13350,島部,All islands,178,94,84,58,178,94,84,58,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,
18-5  児童扶養手当受給状況（平成26～30年度末） 18-5  RECIPIENTS OF CHILD CARE ALLOWANCES ( End of Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,
