男女 ,Gender,就業状態,Labour force status,項番 Item number,就業状態，就職希望意識，就業希望の有無，求職活動の有無,Labour force status， wish for work，  whether wishing to work ， whether seeking a job,項番,就業状態，就業希望の有無,Labour force status， whether wishing to work,項番,求職活動の有無,Whether seeking a job,総数 Total,総数 Total／平均年齢 Average age,15～19歳 years old,20～24歳 years old,25～29歳 years old,30～34歳 years old,35～39歳 years old,40～44歳 years old,45～49歳 years old,50～54歳 years old,55～59歳 years old,60～64歳 years old,65～69歳 years old,70～74歳 years old,75～79歳 years old,80～84歳 years old,85歳以上 years old and over
総数,Total,,,,,,,,,,,,12176900,49.3,557800,843300,896900,974500,1024200,1138800,1143400,967100,779600,690600,855100,717000,627900,494100,466700
総数,Total,有業者 ,Engaged in work,,,,,,,,,,7886600,44.5,104300,561400,790700,842100,860000,961400,970000,825700,610500,485100,415900,242500,136500,54300,26200
総数,Total,有業者 ,Engaged in work,1,仕事が主な者 ,Mainly engaged in work,,,,,,,6579600,44.3,17500,374900,761200,785900,760800,822500,811100,693100,509600,397900,315800,177900,96200,37300,17900
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,,,,,,,1302500,45.7,86800,186000,29200,55400,98600,139000,158900,132200,100500,86600,99900,64600,39600,17000,8200
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,3,家事が主な者 ,Mainly keeping house,,,,945900,52.1,700,8100,14900,45000,92300,133300,154100,127600,96500,80400,87100,54500,32900,12400,6000
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,4,通学が主な者 ,Mainly attending school,,,,276200,21,86100,171300,9500,5300,2000,400,-,300,400,-,300,600,-,-,-
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,5,家事･通学以外が主な者 ,Mainly doing something else,,,,80300,55.5,-,6600,4700,5100,4300,5200,4800,4300,3500,6100,12500,9500,6700,4600,2200
総数,Total,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,6,継続就業希望者 ,Wishing to continue the present job,,,,5920800,45.6,64100,357600,532600,582300,632000,726800,760700,655900,506600,396100,349400,192800,103000,38700,22100
総数,Total,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,7,追加就業希望者 ,Wishing to have an additional job,,,,676800,38.7,22300,71700,88100,94900,96100,88300,78500,59700,37500,19700,10900,5100,2900,800,200
総数,Total,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,8,転職希望者 ,Wishing to switch to another job,,,,871200,38.4,11700,103700,137700,131500,108600,112800,91500,79400,38400,32400,13000,5500,3000,1400,500
総数,Total,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,9,就業休止希望者 ,Wishing to stop working,,,,289900,50.3,2700,22700,24200,27300,16800,22500,23700,20200,22800,26600,29300,28100,14700,7400,1000
総数,Total,無業者 ,Not engaged in work,,,,,,,,,,4290300,58.1,453500,281900,106200,132500,164200,177300,173400,141300,169200,205500,439200,474400,491400,439800,440500
総数,Total,無業者 ,Not engaged in work,10,家事をしている者 ,Keeping house　　,,,,,,,2055600,62.6,800,15200,42400,94900,130300,134500,132100,102200,120800,142200,265300,267600,261400,199000,146900
総数,Total,無業者 ,Not engaged in work,11,通学している者 ,Attending school　,,,,,,,708000,19,439100,234900,25000,2700,2500,500,900,500,500,600,-,700,-,-,-
総数,Total,無業者 ,Not engaged in work,12,その他 ,Others,,,,,,,1522900,70,13200,31800,38700,34900,30900,42300,39700,38700,47400,62400,173900,205800,229200,240800,293000
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,,,,1021700,47.2,65600,88100,55700,74000,103800,99800,95800,79900,68600,54600,81000,64100,50300,30300,10100
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,14,求職者 ,Seeking a job,385100,42.5,28800,52200,29100,27600,34600,37000,39100,39000,30000,20900,22700,12400,8300,1800,1700
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,15,非求職者 ,Not seeking a job,623800,49.7,36400,35700,26600,45900,69200,62100,56400,40600,38600,33300,57600,48400,38700,26900,7500
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,16,非就業希望者,Not wishing to work,,,,3154100,60.9,384900,191800,48900,56900,60300,76700,75800,59800,99700,148700,350800,399700,421500,387600,391100
男 ,Male,総数,Total,,,,,,,,,,5967100,48,285200,427500,455700,497300,523300,580100,581400,499600,401400,348000,417500,332100,273500,198500,146000
男 ,Male,有業者 ,Engaged in work,,,,,,,,,,4432700,45.3,49200,271400,414200,467500,493900,541700,546200,467300,361900,286000,249000,152400,83500,33200,15200
男 ,Male,有業者 ,Engaged in work,1,仕事が主な者 ,Mainly engaged in work,,,,,,,4189600,45.7,10300,174400,402200,461300,490900,538400,543500,460000,354700,276400,232200,132900,71100,28300,13100
男 ,Male,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,,,,,,,239300,37.4,39000,97100,12000,5400,2400,3300,2700,6900,6800,8900,16500,19400,11700,4900,2100
男 ,Male,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,3,家事が主な者 ,Mainly keeping house,,,,51500,62.1,300,1400,1100,1100,900,2200,1000,4900,5500,6100,8400,10700,6200,1200,700
男 ,Male,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,4,通学が主な者 ,Mainly attending school,,,,144500,21.3,38700,92900,8400,2900,1100,-,-,300,-,-,-,300,-,-,-
