年次(平成),Fiscal year,月次 ,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
26,2014,総数,Total,42338,18227,24111,67412261,32035998,35376263,132686
27,2015,総数,Total,40175,17166,23009,64676787,30501446,34175342,134156
28,2016,総数,Total,36764,15452,21312,58360087,27008902,31351185,132284
29,2017,総数,Total,35447,14549,20898,57318403,25863197,31455206,134751
30,2018,総数,Total,35678,14805,20873,59319945,27023390,32296555,138553
30,2018,4,Apr.,30849,13124,17725,4167010,1940525,2226484,135077
30,2018,5,May,35918,14799,21119,4990286,2284890,2705395,138935
30,2018,6,June,35057,14325,20732,4613851,2077880,2535971,131609
30,2018,7,July,37029,15128,21901,5251423,2356361,2895062,141819
30,2018,8,Aug.,39400,16023,23377,5608955,2510728,3098227,142359
30,2018,9,Sept.,37327,15219,22108,4947400,2213255,2734145,132542
30,2018,10,Oct.,38513,15886,22627,5702762,2562707,3140055,148073
30,2018,11,Nov.,36801,15294,21507,5134815,2338841,2795974,139529
30,2018,12,Dec.,34663,14477,20186,4204701,1919600,2285100,121302
31,2019,1,Jan.,35368,14895,20473,5783470,2672993,3110476,163522
31,2019,2,Feb.,34016,14397,19619,4420848,2050718,2370130,129963
31,2019,3,Mar.,33199,14092,19107,4494419,2094887,2399532,135378
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,
7-4  雇用保険  (一般) 支給状況  (平成26～30年度）7-4  PAYMENT OF ( GENERAL ) EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2014-2018 ),,,,,,,,,,
注) 年度別「受給者実人員」は月平均である。,,,,,,,,,,
Note: Fiscal year “Beneficiaries” are monthly averages.,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labour Bureau,,,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,,,
