地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians  (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,市部,All shi,24691,15606,1695,101,597,1157,2199,110,1480,1639,107,-
1,13201,八王子市,Hachioji-shi,2828,1964,217,2,94,83,127,-,-,329,12,-
1,13202,立川市,Tachikawa-shi,1059,733,72,-,22,36,106,-,-,87,3,-
1,13203,武蔵野市,Musashino-shi,936,666,67,-,18,42,102,-,20,17,4,-
1,13204,三鷹市,Mitaka-shi,987,621,76,-,37,33,150,-,-,67,3,-
1,13205,青梅市,Ome-shi,1487,555,64,-,4,20,-,-,763,79,2,-
1,13206,府中市,Fuchu-shi,1304,825,88,-,25,52,224,-,-,74,16,-
1,13207,昭島市,Akishima-shi,631,459,47,-,8,14,20,-,22,58,3,-
1,13208,調布市,Chofu-shi,1277,876,87,-,31,41,146,-,-,93,3,-
1,13209,町田市,Machida-shi,2974,1646,171,3,55,67,156,-,651,220,5,-
1,13210,小金井市,Koganei-shi,687,405,63,-,19,15,133,-,-,50,2,-
1,13211,小平市,Kodaira-shi,957,623,72,-,14,27,148,-,-,70,3,-
1,13212,日野市,Hino-shi,1380,667,57,48,85,254,149,-,-,101,19,-
1,13213,東村山市,Higashimurayama-shi,784,517,57,-,20,23,123,-,-,41,3,-
1,13214,国分寺市,Kokubunji-shi,650,432,48,-,12,22,79,-,-,55,2,-
1,13215,国立市,Kunitachi-shi,484,323,45,-,11,20,73,-,-,10,2,-
1,13218,福生市,Fussa-shi,381,316,29,-,-,15,-,-,-,18,3,-
1,13219,狛江市,Komae-shi,436,289,32,-,8,13,64,-,-,28,2,-
1,13220,東大和市,Higashiyamato-shi,476,383,38,-,2,14,20,-,-,17,2,-
1,13221,清瀬市,Kiyose-shi,440,299,33,-,5,16,49,-,-,36,2,-
1,13222,東久留米市,Higashikurume-shi,602,377,52,-,17,22,100,-,-,32,2,-
1,13223,武蔵村山市,Musashimurayama-shi,390,313,40,-,3,16,-,-,-,16,2,-
1,13224,多摩市,Tama-shi,839,653,62,-,10,35,27,-,13,36,3,-
1,13225,稲城市,Inagi-shi,875,347,42,48,70,204,36,110,-,16,2,-
1,13227,羽村市,Hamura-shi,384,317,27,-,2,16,-,-,11,9,2,-
1,13228,あきる野市,Akiruno-shi,436,345,39,-,4,16,18,-,-,12,2,-
1,13229,西東京市,Nishitokyo-shi,1007,655,70,-,21,41,149,-,-,68,3,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成30年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) Shi ( Apr. 1， 2018 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General， Office of Education or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:市部　1:区市町村）,,,,,,,,,,,,,,,
