年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel of facilities other than medical institution or long-term health care facilities,医師数 Physicians／その他 Others,医師数 Physicians／不詳/Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
18,2006,0,13000,,総数,Tokyo-to,35695,33604,384,11537,9244,8511,3928,101,16,85,1579,409,2,15260,73123,17346,39323,282
20,2008,0,13000,,総数,Tokyo-to,38079,35616,352,12024,10388,8653,4199,138,18,120,1893,432,-,15620,77897,16825,42535,296.6
22,2010,0,13000,,総数,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,1875,397,-,16054,86033,16822,44356,303.7
24,2012,0,13000,,総数,Tokyo-to,41498,39116,348,13612,11172,8848,5136,155,25,130,1833,394,-,16045,90336,15377,44718,313.7
26,2014,0,13000,,総数,Tokyo-to,43297,40769,348,13840,12167,9049,5365,170,21,149,1872,486,-,16395,97383,14702,46343,323.4
28,2016,0,13000,,総数,Tokyo-to,44136,41445,339,14297,12278,9101,5430,156,16,140,2137,395,3,16639,104744,13476,48813,324
28,2016,1,13100,,区部,All ku,35257,32963,212,10498,10882,7006,4365,66,8,58,1893,333,2,13464,72980,7969,38477,376.1
28,2016,2,13101,1,千代田区,Chiyoda-ku,1792,1371,8,707,9,245,402,-,-,-,412,9,-,1700,3223,136,4406,3011.6
28,2016,2,13102,2,中央区,Chuo-ku,1420,1291,2,697,-,326,266,1,-,1,111,17,-,609,2454,131,4245,961.3
28,2016,2,13103,3,港区,Minato-ku,2895,2654,4,827,984,419,420,4,-,4,207,30,-,810,4868,136,3436,1167.5
28,2016,2,13104,4,新宿区,Shinjuku-ku,4562,4237,4,673,2645,389,526,1,-,1,304,20,-,766,6523,241,2931,1344.1
28,2016,2,13105,5,文京区,Bunkyo-ku,4744,4373,3,292,3787,188,103,-,-,-,342,29,-,1038,5750,62,1872,2124.4
28,2016,2,13106,6,台東区,Taito-ku,437,417,3,142,-,172,100,2,-,2,12,6,-,321,1126,217,587,218.4
28,2016,2,13107,7,墨田区,Sumida-ku,696,688,6,454,-,161,67,-,-,-,4,3,1,257,1929,243,631,267.5
28,2016,2,13108,8,江東区,Koto-ku,1281,1213,11,697,88,259,158,5,-,5,54,9,-,391,2865,315,1214,254.9
28,2016,2,13109,9,品川区,Shinagawa-ku,1487,1360,7,348,546,322,137,-,-,-,113,14,-,518,3053,197,1943,378.7
28,2016,2,13110,10,目黒区,Meguro-ku,1070,1037,5,424,277,228,103,-,-,-,21,11,1,369,2432,88,849,382.4
28,2016,2,13111,11,大田区,Ota-ku,1852,1780,15,563,596,427,179,2,1,1,58,12,-,1032,4710,482,1681,256.5
28,2016,2,13112,12,世田谷区,Setagaya-ku,2070,1948,14,944,53,679,258,10,2,8,82,30,-,898,5068,551,1979,226.5
28,2016,2,13113,13,渋谷区,Shibuya-ku,1418,1366,7,678,27,386,268,2,2,-,23,27,-,541,3106,147,1523,623.1
28,2016,2,13114,14,中野区,Nakano-ku,642,610,5,262,-,251,92,2,-,2,16,14,-,324,1551,170,787,193.1
28,2016,2,13115,15,杉並区,Suginami-ku,919,875,8,362,-,354,151,2,-,2,12,30,-,590,2497,223,1128,161.3
28,2016,2,13116,16,豊島区,Toshima-ku,747,721,12,179,-,330,200,-,-,-,15,11,-,437,1676,305,1257,253.4
28,2016,2,13117,17,北区,Kita-ku,621,604,7,313,-,191,93,1,-,1,5,11,-,306,1935,294,1043,180
28,2016,2,13118,18,荒川区,Arakawa-ku,541,525,9,61,258,138,59,4,-,4,7,5,-,182,1298,280,489,252.3
28,2016,2,13119,19,板橋区,Itabashi-ku,2443,2356,20,733,1203,285,115,11,2,9,65,11,-,447,6431,927,1601,429.2
28,2016,2,13120,20,練馬区,Nerima-ku,1079,1049,12,246,234,412,145,2,-,2,13,15,-,579,2644,472,1431,148.5
28,2016,2,13121,21,足立区,Adachi-ku,908,890,27,401,-,279,183,6,-,6,7,5,-,464,3337,1080,1253,134.9
28,2016,2,13122,22,葛飾区,Katsushika-ku,777,758,8,165,175,253,157,7,1,6,6,6,-,335,1992,520,929,173.9
28,2016,2,13123,23,江戸川区,Edogawa-ku,856,840,15,330,-,312,183,4,-,4,4,8,-,550,2512,752,1262,124.6
28,2016,1,13200,,市部,All shi,8798,8412,125,3772,1396,2081,1038,85,7,78,239,61,1,3138,31341,5330,10258,210.6
28,2016,2,13201,1,八王子市,Hachioji-shi,1129,1091,22,305,351,253,160,6,1,5,28,3,1,400,4235,1085,1520,195.3
28,2016,2,13202,2,立川市,Tachikawa-shi,561,547,4,352,-,102,89,6,2,4,6,2,-,183,1965,195,537,315.1
28,2016,2,13203,3,武蔵野市,Musashino-shi,491,484,4,258,-,154,68,2,1,1,2,3,-,209,1356,124,550,337.8
28,2016,2,13204,4,三鷹市,Mitaka-shi,968,919,3,90,693,102,31,4,-,4,37,8,-,132,2416,131,481,511.1
28,2016,2,13205,5,青梅市,Ome-shi,334,327,9,244,-,49,25,3,-,3,4,-,-,82,1553,544,267,244.2
28,2016,2,13206,6,府中市,Fuchu-shi,877,850,9,632,-,131,78,8,-,8,15,4,-,205,3288,263,855,334.6
28,2016,2,13207,7,昭島市,Akishima-shi,152,148,4,88,-,38,18,4,1,3,-,-,-,99,705,130,229,136.3
28,2016,2,13208,8,調布市,Chofu-shi,302,287,8,97,-,132,50,6,-,6,5,4,-,194,1011,207,520,130.2
28,2016,2,13209,9,町田市,Machida-shi,611,588,14,257,-,220,97,5,-,5,10,8,-,313,2430,504,975,140.9
28,2016,2,13210,10,小金井市,Koganei-shi,168,158,3,65,-,63,27,3,-,3,3,4,-,103,593,121,241,136.8
28,2016,2,13211,11,小平市,Kodaira-shi,534,465,2,342,-,88,33,1,1,-,65,3,-,131,1639,229,394,279.3
28,2016,2,13212,12,日野市,Hino-shi,240,224,4,96,-,87,37,6,-,6,7,3,-,98,760,168,378,128.2
28,2016,2,13213,13,東村山市,Higashimurayama-shi,250,239,5,147,-,64,23,5,-,5,2,4,-,109,1292,276,376,166.7
28,2016,2,13214,14,国分寺市,Kokubunji-shi,134,125,2,6,-,81,36,3,-,3,1,5,-,96,314,90,235,108.7
28,2016,2,13215,15,国立市,Kunitachi-shi,103,94,2,6,-,64,22,3,-,3,4,2,-,88,244,51,196,138.6
28,2016,2,13218,16,福生市,Fussa-shi,125,123,3,75,-,30,15,2,-,2,-,-,-,38,454,93,147,213.8
28,2016,2,13219,17,狛江市,Komae-shi,287,285,1,2,224,42,16,-,-,-,2,-,-,46,648,44,184,353
28,2016,2,13220,18,東大和市,Higashiyamato-shi,127,125,1,66,-,37,21,1,1,-,-,1,-,51,633,80,195,149.6
28,2016,2,13221,19,清瀬市,Kiyose-shi,256,233,8,170,-,24,31,4,-,4,18,1,-,40,1074,200,311,341.1
28,2016,2,13222,20,東久留米市,Higashikurume-shi,78,74,3,15,-,41,15,2,-,2,-,2,-,68,274,87,212,66.9
28,2016,2,13223,21,武蔵村山市,Musashimurayama-shi,114,104,3,78,-,17,6,1,-,1,9,-,-,36,637,79,160,159.7
28,2016,2,13224,22,多摩市,Tama-shi,427,409,4,131,128,79,67,1,-,1,16,1,-,111,1626,204,432,289.9
28,2016,2,13225,23,稲城市,Inagi-shi,133,129,-,84,-,35,10,2,-,2,1,1,-,48,540,69,184,149.1
28,2016,2,13227,24,羽村市,Hamura-shi,49,48,-,6,-,23,19,1,-,1,-,ｰ,-,55,171,61,81,88.1
28,2016,2,13228,25,あきる野市,Akiruno-shi,99,98,3,54,-,26,15,1,-,1,-,ｰ,-,57,454,72,111,122.6
28,2016,2,13229,26,西東京市,Nishitokyo-shi,249,238,4,106,-,99,29,5,-,5,4,2,-,146,1029,223,487,124
28,2016,1,13300,,郡部,All gun,49,42,2,21,-,10,9,5,1,4,2,ｰ,-,21,290,152,50,84.3
28,2016,2,13303,1,瑞穂町,Mizuho-machi,17,12,1,1,-,6,4,3,-,3,2,ｰ,-,14,94,57,24,51
28,2016,2,13305,2,日の出町,Hinode-machi,21,19,1,14,-,2,2,2,1,1,-,ｰ,-,4,170,83,19,120.2
28,2016,2,13307,3,檜原村,Hinohara-mura,2,2,-,-,-,-,2,-,-,-,-,ｰ,-,1,2,3,1,93.2
28,2016,2,13308,4,奥多摩町,Okutama-machi,9,9,-,6,-,2,1,-,-,-,-,ｰ,-,2,24,9,6,175.4
28,2016,1,13350,,島部,All islands,32,28,-,6,-,4,18,-,-,-,3,1,-,16,133,25,28,122.7
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-2 地域別医療従事者数 (平成18～28年末) 19-2  MEDICAL PERSONNEL BY DISTRICT ( End of 2006-2016 ）,,,,,,,,,,,,,,,,,,,,,,,,
この表は医師法，歯科医師法，保健師助産師看護師法による届出により集計したものであり，就業地による。 ,,,,,,,,,,,,,,,,,,,,,,,,
The table tabulates figures reported under the Medical Practitioners Act， Dental Practitioners Act， Act on Public Health Nurses， Midwives and Nurses， and is compiled by workplace. ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「医師・歯科医師・薬剤師調査東京都集計結果報告」，医療政策部医療人材課「看護師等業務従事者届集計報告」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
