男女 ,Gender,項番 Item number,産業,Industry,総数 Total,総数 Total／平均年齢 Average age,15～19歳 years old,20～24歳 years old,25～29歳 years old,30～34歳 years old,35～39歳 years old,40～44歳 years old,45～49歳 years old,50～54歳 years old,55～59歳 years old,60～64歳 years old,65～69歳 years old,70～74歳 years old,75歳以上 years old and over
総数,Total,,,,7886600,44.5,104300,561400,790700,842100,860000,961400,970000,825700,610500,485100,415900,242500,216900
総数,Total,1,農業，  林業,Agriculture and forestry,34000,56.8,300,-,2000,1800,5200,600,2700,1500,1600,2900,6000,3500,5800
総数,Total,2,漁業,Fisheries,400,70,-,-,-,-,-,-,-,-,-,-,-,400,-
総数,Total,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
総数,Total,4,建設業,Construction,446900,47.6,2300,24400,31200,29700,43600,64400,62500,52500,34600,40700,27600,20400,13000
総数,Total,5,製造業,Manufacturing,747800,47,900,17700,48100,80500,80000,107500,113000,104300,67100,48900,35000,20600,24300
総数,Total,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,36000,39.9,-,1500,7200,4400,4900,5000,6100,2900,2500,900,600,-,-
総数,Total,7,情報通信業,Information and communications,743700,39.6,600,41600,111600,126600,116600,115100,83100,75400,38500,19600,7800,4900,2300
総数,Total,8,運輸業， 郵便業 ,Transport and postal activities,374300,45.5,1400,19000,49600,27700,32700,51900,49400,43000,29900,21300,29000,14000,5200
総数,Total,9,卸売， 小売業 ,Wholesale and retail trade,1174800,43.9,25700,112300,103200,110500,129400,135700,148700,112900,101400,79100,52600,28900,34500
総数,Total,10,金融， 保険業,Finance and insurance,291800,43.2,-,13500,27700,40800,35100,33900,46900,46900,23800,14300,5100,2400,1500
総数,Total,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,294000,52.8,700,17000,20900,18000,21300,23600,26300,23000,27100,27100,35500,19400,34100
総数,Total,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,521300,44.5,700,22300,51900,57400,78800,64800,68100,57000,42000,32300,21400,14700,9900
総数,Total,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,455600,39.5,37500,94600,34300,30400,36800,52200,45600,31300,22200,23300,22600,15300,9300
総数,Total,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,282700,45.7,6600,28400,20700,36600,26000,24300,31500,21400,18900,14700,21700,15500,16400
総数,Total,15,教育， 学習支援業,Education， learning support,388200,43,11200,38600,41100,41100,35300,43900,40100,40800,35800,31100,16500,7400,5300
総数,Total,16,医療， 福祉,Medical， health care and welfare,798400,43.7,1800,49000,100100,101200,92400,89000,86800,84900,73300,49000,41500,18400,11100
総数,Total,17,複合サービス事業,Compound services,29200,41.7,-,2700,1700,3500,3300,5300,4300,5300,2100,800,-,200,-
総数,Total,18,サービス業 (他に分類されないもの),Services， n.e.c.,644500,48.3,2900,25900,57800,60800,55600,75300,80500,65900,45700,51500,58100,37700,26900
総数,Total,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,284700,39.3,3000,33300,47300,36000,33300,31000,31000,28000,23500,10600,6100,1700,-
総数,Total,20,分類不能の産業,Industries unable to classify,338300,46.3,8700,19500,34300,35300,29500,38000,43300,28800,20600,16900,28900,17100,17400
男 ,Male,,総数 ,Total,4432700,45.3,49200,271400,414200,467500,493900,541700,546200,467300,361900,286000,249000,152400,131900
男 ,Male,1,農業，  林業,Agriculture and forestry,25700,56.1,300,-,2000,900,4900,300,1500,800,1100,2900,4100,2500,4400
男 ,Male,2,漁業,Fisheries,400,70,-,-,-,-,-,-,-,-,-,-,-,400,-
男 ,Male,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
男 ,Male,4,建設業,Construction,354400,47.3,1700,20400,26100,22100,33700,49600,53000,42000,28800,30800,21500,15800,8900
男 ,Male,5,製造業,Manufacturing,513600,47.6,600,9300,26600,54100,52800,69600,82700,79500,51800,34900,23200,12000,16500
男 ,Male,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,29900,39.1,-,1500,6800,3600,3900,4200,4200,2900,1300,900,600,-,-
男 ,Male,7,情報通信業,Information and communications,518400,40.3,-,18200,73600,87600,88100,78100,60800,54600,32200,14400,5800,3700,1100
男 ,Male,8,運輸業， 郵便業 ,Transport and postal activities,290700,47,1100,10600,34200,18900,25900,39400,38300,34200,25600,18700,26300,12200,5100
男 ,Male,9,卸売， 小売業 ,Wholesale and retail trade,592500,45.1,11900,46000,46900,55500,66900,71800,72700,54400,60800,37900,26500,18000,23100
男 ,Male,10,金融， 保険業,Finance and insurance,147300,45.1,-,2600,12400,17400,15000,19000,28000,25000,12800,10500,1900,1200,1500
男 ,Male,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,167900,53.5,400,10100,8800,10200,11100,12700,16300,12700,15800,16200,23100,12900,17700
男 ,Male,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,318300,46.1,200,10200,27500,31500,49200,39400,38100,34600,28500,23100,16400,12200,7300
男 ,Male,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,206600,39.1,16400,47600,17500,11100,19300,22700,14600,13600,11800,11100,8500,7600,4700
男 ,Male,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,124400,46.9,1600,12600,9000,15300,11100,8900,12900,10300,8600,5800,13300,7700,7300
男 ,Male,15,教育， 学習支援業,Education， learning support,163500,42.8,4300,21700,17600,18400,13000,15600,13400,16300,11800,16300,8100,5800,1400
男 ,Male,16,医療， 福祉,Medical， health care and welfare,221300,43.8,400,12200,25100,36600,27500,21500,22400,19200,18000,12700,14200,6900,4600
男 ,Male,17,複合サービス事業,Compound services,16000,41,-,1700,400,2000,2200,3400,2200,3000,500,300,-,200,-
男 ,Male,18,サービス業 (他に分類されないもの),Services， n.e.c.,367800,49.1,2200,13000,30300,36200,32900,41200,42700,30300,28200,34100,36200,23900,16800
男 ,Male,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,197400,38.4,3000,26200,33100,27500,23000,22200,17100,17900,16400,5800,4000,1200,-
男 ,Male,20,分類不能の産業,Industries unable to classify,176500,47.1,5200,7400,16400,18400,13300,22100,25200,16000,7900,9600,15300,8200,11500
女 ,Female,,総数 ,Total,3454000,43.5,55100,290000,376500,374600,366100,419700,423800,358400,248500,199100,166900,90100,85100
女 ,Female,1,農業，  林業,Agriculture and forestry,8300,58.7,-,-,-,900,300,300,1200,700,600,-,2000,1000,1300
女 ,Female,2,漁業,Fisheries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
女 ,Female,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
女 ,Female,4,建設業,Construction,92600,48.5,700,4000,5200,7500,10000,14800,9500,10500,5800,9800,6100,4700,4100
女 ,Female,5,製造業,Manufacturing,234200,45.7,300,8300,21500,26300,27200,37900,30300,24800,15300,14000,11800,8600,7800
