項目階層,項目,Item,平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%),平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,38346.9,52,3.5,39242.9,52.7,2.3
1,賃金・俸給,Wages and salaries,31217.4,42.4,3.8,31930.7,42.9,2.3
1,雇主の社会負担,Employers' social contributions,7129.4,9.7,2.5,7312.2,9.8,2.6
3,雇主の現実社会負担,Employers' actual social contributions,7280.6,9.9,1.3,7499.5,10.1,3
3,雇主の帰属社会負担,Employers' imputed social contributions,-151.2,-0.2,35.5,-187.3,-0.3,-23.9
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),7937.1,10.8,-6,8246.4,11.1,3.9
3,受取,Receivable,10989,14.9,-3.6,11237.7,15.1,2.3
3,支払,Payable,3052,4.1,3.4,2991.3,4,-2
1,一般政府,General government,-547.4,-0.7,-174.2,-456.3,-0.6,16.6
3,受取,Receivable,2386.4,3.2,-9.2,2413.2,3.2,1.1
3,支払,Payable,2933.9,4,3.8,2869.5,3.9,-2.2
1,家計,Households,8448.3,11.5,-1.8,8662.7,11.6,2.5
2,利子,Interest,1330.2,1.8,11.2,1298.9,1.7,-2.4
3,受取,Receivable,1441.5,2,9.7,1414.1,1.9,-1.9
3,支払 (消費者負債利子),Payable (consumer debt interest),111.3,0.2,-5.8,115.3,0.2,3.5
2,配当 (受取）,Dividends， receivable,2571.1,3.5,-1.3,2549.9,3.4,-0.8
2,その他の投資所得 (受取),Other investment income， receivable,2914.1,4,-1.2,2956.8,4,1.5
2,賃貸料 (受取),Rent， receivable,1632.9,2.2,-12.1,1857.1,2.5,13.7
1,対家計民間非営利団体,Private non-profit institutions serving households,36.2,0,-8.4,40,0.1,10.4
3,受取,Receivable,43,0.1,-6.5,46.6,0.1,8.3
3,支払,Payable,6.8,0,4.9,6.6,0,-3
0,企業所得 (企業部門の第1次所得バランス）,Entrepreneurial income (primary income balance),27417.5,37.2,-6.5,26983.9,36.2,-1.6
1,民間法人企業,Private corporations,20414.6,27.7,-6.8,19668.3,26.4,-3.7
1,公的企業,Public corporations,1997.8,2.7,-9.4,2095.6,2.8,4.9
1,個人企業,Private unincorporated enterprises ,5005,6.8,-4.1,5220.1,7,4.3
3,農林水産業,Agriculture， forestry and fishing,7.5,0,-27.3,5.8,0,-22.9
3,その他の産業 (非農林水・非金融),Others,1476.4,2,-17,1715.6,2.3,16.2
3,持ち家,Imputed service of owner-occupied dwellings,3521.1,4.8,2.7,3498.7,4.7,-0.6
0,都民所得（要素費用表示）,Prefectural income(at factor cost),73701.4,100,-1.5,74473.2,100,1
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,5526.1,7.5,3.5,5565.2,7.5,0.7
0,都民所得 (市場価格表示),Prefectural income (at market prices),79227.5,107.5,-1.1,80038.4,107.5,1
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成28，29年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2016 and 2017 ),,,,,,,,
令和元年11月13日までに公表された各種指数等を基に推計している。毎月勤労統計調査地方調査結果の再集計値反映前のデータであり，今後改訂される場合がある。,,,,,,,,
Figures are estimated from indices and other figures published up to November 13， 2019. As this is data prior to reflection of the re-tabulated figures of the Results of the Monthly Labor Prefectural Survey， they may be revised at a later time.,,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
