年度(平成),Fiscal year,火災保険 Fire insurance／新契約 Contracts／件数 No. of Policies,火災保険 Fire insurance／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),火災保険 Fire insurance／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),火災保険 Fire insurance／支払 Claims／件数 No. of Claims,火災保険 Fire insurance／支払 Claims／保険金 (千円) Claims Paid (thousand yen),地震保険 Earthquake insurance／新契約 Contracts／件数 No. of Policies,地震保険 Earthquake insurance／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),地震保険 Earthquake insurance／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),地震保険 Earthquake insurance／保有 Policies in Force／件数 No. of Policies ,地震保険 Earthquake insurance／保有 Policies in Force／保険金額 (百万円) Insured Amounts (million yen)
25,2013,…,…,…,…,…,1435007,12364086,42198162,2371127,20271264
26,2014,…,…,…,…,…,1428468,12103393,46563861,2446929,21135746
27,2015,…,…,…,…,…,1404476,11810816,49208991,2503026,21970580
28,2016,…,…,…,…,…,1363009,11406064,51832928,2587064,23046343
29,2017,2393365,119326070,113474317,88322,47915600,1296720,10602659,52936707,2635839,23759447
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,,,,
15-5  火災及び自動車保険等状況 (1) 火災及び地震保険 (平成25～29年度) 15-5  FIRE AND AUTOMOBILE INSURANCE (1) FIRE AND EARTHQUAKE INSURANCE ( Fiscal Years 2013-2017 ),,,,,,,,,,,
火災保険については，平成29年度よりすべての保険期間の契約に集計対象を変更したため，平成28年度までは1年契約を対象に集計した数値を掲載していたが，本表よりすべての保険期間の契約を対象に集計したものに変更する。,,,,,,,,,,,
Until FY2016， only one-year term policies were included in the fire insurance data. However， as policies for all terms are included in fire insurance data from FY2017， all previous year figures for fire insurance are not available. ,,,,,,,,,,,
資料：損害保険料率算出機構 「損害保険料率算出機構統計集」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,,
