"年平均
(平成)",Yearly average,月次 ,Month,調査産業計 Industries covered,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
26,2014,平均,Average,100.2,99.2,109.9,111.6,99.6,98,99.8,99.8,99.5,96.7,110.1,98.2,97.7,97.9,97.2,96.7
27,2015,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,2016,平均,Average,100.9,101.1,101.6,80.9,100.9,100,99.9,102.3,101.1,104.4,99.7,103.4,100.5,101.4,98.9,100.3
29,2017,平均,Average,102.3,101.2,100.6,91.9,104,100.2,101.2,104.3,101.8,105.7,101.8,105.4,102.5,102.5,90.8,102.2
30,2018,平均,Average,103.9,101.7,109.9,116.2,105.8,101.4,101.8,105.1,103.5,106.1,106.9,98.9,102.2,95.4,81.3,107
30,2018,1,Jan.,103.7,101.1,110.1,117.8,104.2,100.2,101.3,104.2,101.2,105.2,106.4,103.7,104.4,102.4,40.9,104.4
30,2018,2,Feb.,102.8,100.6,109.6,116.3,104.4,100.6,101,103.7,101.1,105.3,105.6,102.8,103.9,94.1,40.7,104.9
30,2018,3,Mar.,102.2,100,109.7,116.5,104.2,101.1,100.6,103,101.3,104.7,103.8,98.3,99.3,93.4,39.8,105
30,2018,4,Apr.,104.6,101,111,121.8,107,102.9,103,106.2,104.3,106.8,104.8,98.3,100.8,94.8,94.7,108
30,2018,5,May,105,101,111.4,119.6,106.8,102.9,102.9,106.2,104.7,107.2,109.4,98.2,102.6,95.2,94.8,108.3
30,2018,6,June,104.8,101.2,110.2,ｘ,106.4,101.9,102.5,105.9,104.5,107.3,111.4,97.9,103.3,95.4,94.8,108.2
30,2018,7,July,104.4,102.2,108.2,113.8,106.3,102,102.3,105.7,104.7,106.2,106.4,97.8,103,95.4,94.8,108.7
30,2018,8,Aug.,104.3,102,111,ｘ,106.3,101.5,101.9,105.4,104.5,105.9,107.4,97.4,100,94.9,95,108.8
30,2018,9,Sept.,104.1,102.6,111.1,ｘ,106.9,101.4,101.7,105.2,103.5,105.6,106.8,97.7,100.6,94.7,94.5,107.3
30,2018,10,Oct.,103.8,103,109,ｘ,106.4,100.7,101.7,105.2,104,105.9,106.8,97.9,101.8,94.6,95.1,106.7
30,2018,11,Nov.,103.8,102.8,109,113.2,105.7,100.6,101.5,105.2,104.2,106.2,107.2,98,103,94.7,95,106.8
30,2018,12,Dec.,103.7,102.7,108.6,112.8,105.1,100.7,101.3,105,104,106.5,107.1,99.1,103.3,94.8,95.4,106.8
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-12  産業別常用労働者雇用指数 (平成26～30年) 7-12  EMPLOYMENT INDICES OF REGULAR WORKERS BY INDUSTRY ( 2014-2018 ),,,,,,,,,,,,,,,,,,,
「東京都の賃金、労働時間及び雇用の動き　-毎月勤労統計調査地方調査結果年報-（平成30年）」 による。 本表は，常用労働者30人以上の事業所を対象とした第１種事業所調査の結果である。なお，本統計年鑑発行時点で，厚生労働省において，これまでに公表してきた集計値が適切なものであるかを精査中であるため，今後，「再集計値」 を公表する可能性がある。,,,,,,,,,,,,,,,,,,,
Data are based on the Annual Report on the Results of the Monthly Labor Prefectural Survey (2018). This table shows the results of surveys conducted on establishments with 30 or more regular workers. Due to the fact that as of the date of publication of this statistical yearbook， the Ministry of Health， Labour and Welfare is conducting detailed studies on the suitability of its published statistical data， there is the possibility that revised tabulations will be announced at a later time.,,,,,,,,,,,,,,,,,,,
a) Electricity， gas， heat supply and water  b) Information and communications  c) Transport and postal activities  d) Wholesale and retail trade  e) Real estate and goods rental and leasing  f) Scientific research， professional and technical services  g) Accommodations， eating and drinking services  h) Living-related and personal services and amusement services  i) Education， learning support  j) Medical， health care and welfare,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（平成27年平均＝100） (2015 average＝100),,,,,,,,,,,,,,,,,,,
