年次(平成),Year,原因,Cause,総件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
26,2014,総数,Total,37005,43191,157,220,42814
27,2015,総数,Total,34084,39890,130,227,39533
28,2016,総数,Total,32283,37840,141,310,37389
29,2017,総数,Total,32576,37958,134,697,37127
30,2018,総数,Total,32449,37434,124,1092,36218
30,2018,信号無視,Ignoring traffic light signals,891,1111,8,76,1027
30,2018,通行区分違反,Lane violation,54,65,-,3,62
30,2018,最高速度違反,Speed violation,5,5,2,1,2
30,2018,横断等禁止違反,Crossing， etc. violation,23,26,-,5,21
30,2018,車間距離不保持,Tailgating,84,96,1,3,92
30,2018,進路変更禁止違反,Lane change violation ,11,15,-,1,14
30,2018,通行妨害,Obstruction of traffic ,6,6,-,1,5
30,2018,追越違反,Overtaking violation,27,31,-,-,31
30,2018,右折違反,Right turn violation,25,28,1,1,26
30,2018,左折違反,Left turn violation,33,35,-,3,32
30,2018,優先通行妨害等,Obstruction of priority lanes， etc.,103,126,9,18,99
30,2018,交差点安全進行義務違反,Violation of duty to use caution at intersections,4659,5088,10,207,4871
30,2018,歩行者妨害等,Obstruction of pedestrians， etc.,1080,1106,9,75,1022
30,2018,横断自転車妨害等,Obstruction of crossing bicycles， etc.,269,274,1,11,262
30,2018,徐行場所違反,Slow down violation ,46,46,-,5,41
30,2018,指定場所一時不停止等,Stop sign， etc. violation,805,939,2,48,889
30,2018,酒酔い運転,Driving while intoxicated,11,13,-,1,12
30,2018,過労・薬物,Driving while drowsy or under the influence of drugs,69,95,1,5,89
30,2018,安全運転義務違反,Violation of safe driving obligations,23216,27230,79,570,26581
30,2018,安全不確認ドア開放等,Opening of door without checking for safety， etc.,355,362,-,12,350
30,2018,その他,Others,596,633,1,33,599
30,2018,調査不能,Cause undetermined,81,104,-,13,91
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成26～30年） 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2014-2018 ),,,,,,,,
注 1) 総件数，死傷者数とも第1当事者からみた数である。,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,
"Note: 1) ""Accidents Total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
