年度(平成),Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settled account
26,2014,歳入,Revenue,総数,Total,6666708,6789403,6546693
27,2015,歳入,Revenue,総数,Total,6952000,7201711,6913752
28,2016,歳入,Revenue,総数,Total,7011000,7048794,6779695
29,2017,歳入,Revenue,総数,Total,6954000,7226993,6964118
30,2018,歳入,Revenue,総数,Total,7046000,7572458,7515641
30,2018,歳入,Revenue,都税,Metropolitan taxes,5233161,5465312,5446357
30,2018,歳入,Revenue,地方譲与税,Transferred national taxes,245803,278955,276836
30,2018,歳入,Revenue,助成交付金,Subsidy for local government,30,30,30
30,2018,歳入,Revenue,地方特例交付金,Exception grants to local gov.,6056,6056,5997
30,2018,歳入,Revenue,特別交付金,Special grants,3061,3061,2645
30,2018,歳入,Revenue,分担金及負担金,Shares and charges,16615,15805,10273
30,2018,歳入,Revenue,使用料及手数料,Fees and charges,87607,87607,83360
30,2018,歳入,Revenue,国庫支出金,National grants-in-aid,353436,332093,309399
30,2018,歳入,Revenue,財産収入,Revenues from properties,44277,44277,47921
30,2018,歳入,Revenue,寄附金,Contributions,61,61,35
30,2018,歳入,Revenue,繰入金,Transferred,450330,491348,444737
30,2018,歳入,Revenue,諸収入,Miscellaneous,394906,402774,504826
30,2018,歳入,Revenue,都債,Metropolitan debt,210656,174163,112309
30,2018,歳入,Revenue,繰越金,Brought forward,1,270917,270917
26,2014,歳出,Expenditure,総数,Total,6666708,6789403,6403918
27,2015,歳出,Expenditure,総数,Total,6952000,7201711,6787125
28,2016,歳出,Expenditure,総数,Total,7011000,7048794,6598877
29,2017,歳出,Expenditure,総数,Total,6954000,7226993,6693202
30,2018,歳出,Expenditure,総数,Total,7046000,7572458,7234822
30,2018,歳出,Expenditure,議会費,Metropolitan assembly,6097,5652,4978
30,2018,歳出,Expenditure,総務費,General administration,190686,191525,176390
30,2018,歳出,Expenditure,徴税費,Tax collection,70778,69616,68186
30,2018,歳出,Expenditure,生活文化費,Citizens and cultural affairs,36940,36245,33754
30,2018,歳出,Expenditure,スポーツ振興費,Sports affairs,139430,97957,76842
30,2018,歳出,Expenditure,都市整備費,Urban development,134209,119222,104603
30,2018,歳出,Expenditure,環境費,Environmental protection,33632,32491,29251
30,2018,歳出,Expenditure,福祉保健費,Social welfare and public health,1166799,1123243,1075480
30,2018,歳出,Expenditure,産業労働費,Industry and labor ,456168,452358,410632
30,2018,歳出,Expenditure,土木費,Public works,596500,524650,441521
30,2018,歳出,Expenditure,港湾費,Port and harbor,122920,126091,107784
30,2018,歳出,Expenditure,教育費,Education,818371,817863,800439
30,2018,歳出,Expenditure,学務費,Educational affairs,207136,207620,194440
30,2018,歳出,Expenditure,警察費,Police,654675,645784,630646
30,2018,歳出,Expenditure,消防費,Fire fighting,254007,250362,247435
30,2018,歳出,Expenditure,公債費,Debt service,431976,429876,429600
30,2018,歳出,Expenditure,諸支出金,Miscellaneous,1720676,2436924,2402840
30,2018,歳出,Expenditure,予備費,Reserve fund　,5000,4978,-
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成26～30年度) 21-2  BUDGET AND SETTLED ACCOUNT OF GENERAL ACCOUNT BY ITEM ( Fiscal Years 2014-2018 ),,,,,,,,
注 1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,,
2) 歳出における予備費の決算額は各款への充当額の合計であり，再掲である。 ,,,,,,,,
Note: 1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
2) Number in parenthesis refer to appropriation for other items.,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
