年次(平成),Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic
25,2013,0,13000,総数,Tokyo-to,646,51,595,298,246,12758,10647
26,2014,0,13000,総数,Tokyo-to,642,50,592,310,245,12780,10579
27,2015,0,13000,総数,Tokyo-to,648,50,598,308,250,12944,10620
28,2016,0,13000,総数,Tokyo-to,651,50,601,305,256,13184,10658
29,2017,0,13000,総数,Tokyo-to,647,50,597,312,252,13257,10632
29,2017,1,13100,区部,all ku,427,12,415,229,159,10181,8288
29,2017,2,13101,千代田区,Chiyoda-ku,15,-,15,5,1,473,331
29,2017,2,13102,中央区,Chuo-ku,4,-,4,2,1,554,446
29,2017,2,13103,港区,Minato-ku,13,-,13,7,1,744,583
29,2017,2,13104,新宿区,Shinjuku-ku,15,1,14,12,2,606,424
29,2017,2,13105,文京区,Bunkyo-ku,9,-,9,7,2,269,248
29,2017,2,13106,台東区,Taito-ku,8,1,7,5,5,236,233
29,2017,2,13107,墨田区,Sumida-ku,14,-,14,8,5,228,194
29,2017,2,13108,江東区,Koto-ku,18,-,18,12,6,409,290
29,2017,2,13109,品川区,Shinagawa-ku,16,-,16,7,6,447,348
29,2017,2,13110,目黒区,Meguro-ku,9,-,9,9,5,316,293
29,2017,2,13111,大田区,Ota-ku,28,1,27,15,14,593,542
29,2017,2,13112,世田谷区,Setagaya-ku,26,-,26,15,8,874,746
29,2017,2,13113,渋谷区,Shibuya-ku,17,-,17,6,6,568,423
29,2017,2,13114,中野区,Nakano-ku,8,-,8,6,4,321,250
29,2017,2,13115,杉並区,Suginami-ku,20,-,20,9,10,494,439
29,2017,2,13116,豊島区,Toshima-ku,14,-,14,13,3,450,313
29,2017,2,13117,北区,Kita-ku,19,2,17,10,6,275,243
29,2017,2,13118,荒川区,Arakawa-ku,14,-,14,4,9,179,138
29,2017,2,13119,板橋区,Itabashi-ku,41,-,41,23,23,381,348
29,2017,2,13120,練馬区,Nerima-ku,20,2,18,7,8,559,448
29,2017,2,13121,足立区,Adachi-ku,55,4,51,27,18,426,374
29,2017,2,13122,葛飾区,Katsushika-ku,22,1,21,9,8,358,268
29,2017,2,13123,江戸川区,Edogawa-ku,22,-,22,11,8,421,366
29,2017,1,13200,市部,All shi,215,38,177,81,90,3019,2309
29,2017,2,13201,八王子市,Hachioji-shi,39,7,32,12,16,374,284
29,2017,2,13202,立川市,Tachikawa-shi,8,-,8,5,3,158,121
29,2017,2,13203,武蔵野市,Musashino-shi,8,-,8,5,3,210,147
29,2017,2,13204,三鷹市,Mitaka-shi,7,1,6,3,3,134,99
29,2017,2,13205,青梅市,Ome-shi,16,8,8,2,6,85,62
29,2017,2,13206,府中市,Fuchu-shi,15,2,13,6,4,182,153
29,2017,2,13207,昭島市,Akishima-shi,7,-,7,5,4,67,61
29,2017,2,13208,調布市,Chofu-shi,8,2,6,3,3,186,153
29,2017,2,13209,町田市,Machida-shi,21,6,15,7,9,319,228
29,2017,2,13210,小金井市,Koganei-shi,5,1,4,1,4,89,66
29,2017,2,13211,小平市,Kodaira-shi,9,1,8,4,4,129,93
29,2017,2,13212,日野市,Hino-shi,7,-,7,2,5,124,89
29,2017,2,13213,東村山市,Higashimurayama-shi,11,3,8,4,4,96,69
29,2017,2,13214,国分寺市,Kokubunji-shi,2,-,2,-,2,116,75
29,2017,2,13215,国立市,Kunitachi-shi,2,-,2,1,-,84,76
29,2017,2,13218,福生市,Fussa-shi,4,-,4,3,1,42,33
29,2017,2,13219,狛江市,Komae-shi,2,-,2,1,1,57,40
29,2017,2,13220,東大和市,Higashiyamato-shi,2,-,2,1,-,52,44
29,2017,2,13221,清瀬市,Kiyose-shi,11,2,9,4,7,46,32
29,2017,2,13222,東久留米市,Higashikurume-shi,4,1,3,2,-,66,56
29,2017,2,13223,武蔵村山市,Musashimurayama-shi,4,-,4,2,2,25,26
29,2017,2,13224,多摩市,Tama-shi,8,2,6,2,2,112,67
29,2017,2,13225,稲城市,Inagi-shi,3,-,3,1,2,50,41
29,2017,2,13227,羽村市,Hamura-shi,2,-,2,-,2,36,33
29,2017,2,13228,あきる野市,Akiruno-shi,4,1,3,1,1,43,40
29,2017,2,13229,西東京市,Nishitokyo-shi,6,1,5,4,2,137,121
29,2017,1,13300,郡部,All gun,4,-,4,1,3,37,20
29,2017,2,13303,瑞穂町,Mizuho-machi,1,-,1,-,1,12,12
29,2017,2,13305,日の出町,Hinode-machi,2,-,2,-,2,14,6
