年次（平成）,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
29,2017,0,,総数,Total,104146,7321,96825,97291,93181,583,2243,1284,6855
30,2018,0,,総数,Total,104628,6855,97773,97425,92961,526,2563,1375,7203
30,2018,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,101224,5628,95596,95180,91929,294,2126,831,6044
30,2018,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,4163,275,3888,3868,3731,36,48,53,295
30,2018,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,1972,212,1760,1747,1565,22,108,52,225
30,2018,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,700,72,628,625,558,8,44,15,75
30,2018,2,4,後見人等の選任,Appointment of a guardian， etc.,1751,71,1680,1659,1613,6,18,22,92
30,2018,2,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,571,20,551,544,531,3,3,7,27
30,2018,2,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,650,4,646,636,633,1,-,2,14
30,2018,2,,うち保佐人の選任,(of which) Appointment of a curator,90,9,81,78,67,1,4,6,12
30,2018,2,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,160,3,157,154,152,-,-,2,6
30,2018,2,,うち補助人の選任,(of which) Appointment of an assistant,25,3,22,19,17,-,1,1,6
30,2018,2,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,43,2,41,41,40,-,1,-,2
30,2018,2,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,193,27,166,170,157,1,9,3,23
30,2018,2,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,19,3,16,17,16,-,-,1,2
30,2018,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,2,-,2,1,1,-,-,-,1
30,2018,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,1045,42,1003,993,977,-,8,8,52
30,2018,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,60,12,48,50,5,32,4,9,10
30,2018,2,,うち職権によるもの,(of which) Dismissal by the family court's authority,10,2,8,10,5,-,-,5,-
30,2018,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,-,-,-,-,-,-,-,-,-
30,2018,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,480,7,473,479,472,-,-,7,1
30,2018,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1555,34,1521,1511,1430,-,73,8,44
