区分階層,区分,Agency,総数 Total,事務 Clerical employees,技術 Engineering employees,医療福祉 Medical and social welfare employees,技能労務 Public field worker
0,総数,Total,38537,14712,8934,8571,6320
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24495,11161,4311,8543,480
2,政策企画局,Office of the Governor for Policy Planning,124,121,3,-,-
2,総務局,Bureau of General Affairs,2593,2375,189,1,28
2,財務局,Bureau of Finance,437,253,177,-,7
2,主税局,Bureau of Taxation,2904,2903,1,-,-
2,生活文化局,Bureau of Citizens and Cultural Affairs,399,336,61,-,2
2,オリンピック・パラリンピック準備局,Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation,314,255,59,-,-
2,都市整備局,Bureau of Urban Development,1151,472,679,-,-
2,環境局,Bureau of Environment,478,241,232,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4108,1466,466,2119,57
2,産業労働局,Bureau of Industrial and Labor Affairs,1259,740,478,10,31
2,建設局,Bureau of Construction,2414,896,1485,-,33
2,港湾局,Bureau of Port and Harbor,646,257,349,-,40
2,会計管理局,Bureau of Accounting,113,113,-,-,-
2,青少年･治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6822,392,6,6413,11
2,中央卸売市場,Central Wholesale Market,624,235,123,-,266
2,収用委員会,Secretariat to Expropriation Commission,27,25,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
1,公営企業体,Public Enterprises,13037,2648,4566,5,5818
2,交通局,Bureau of Transportation,6655,621,580,5,5449
2,水道局,Bureau of Waterworks,3863,1561,2026,-,276
2,下水道局,Bureau of Sewerage,2519,466,1960,-,93
1,行政委員会事務局,Executive Offices of Administrative Commission,857,777,57,23,-
2,教育委員会,Board of Education ,675,621,31,23,-
2,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成30年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) METROPOLITAN OFFICE ( Apr. 1， 2018 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refer to the legally fixed number.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
