年次（平成）及び種類,Year(Av.) and kind,総平均 All commodities,工業製品 Manufacturing industry products,農林水産物 Agriculture， forestry & fishery products,鉱産物 Minerals,電力・都市ガス・水道 Electric power， gas & water,スクラップ類 Scrap & waste
品目数,Number of commodities,746,703,24,6,9,4
ウエイト,Weight,1000,888.3,35.8,3.9,67.1,4.9
26,2014,102.4,102.3,100.1,99.1,102.9,128.6
27,2015,100,100,100,100,100,100
28,2016,96.5,97,102.5,94.2,87.2,91.4
29,2017,98.7,98.9,107.6,94.3,90.7,120.2
30,2018,101.3,101.1,110,98.1,96.4,137
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 13 　物価・地価 13   PRICES,,,,,,,
13-2  企業物価指数  （ 全国 ） (1)  国内企業物価指数 （平成26～30年） 13-2 CORPORATE GOODS PRICE INDEX （ JAPAN ） (1) PRODUCER PRICE INDEX （ 2014-2018 ）,,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,
資料：日本銀行 「企業物価指数」 Source: The Bank of Japan,,,,,,,
（平成27年平均＝100） (2015 Average＝100),,,,,,,
