年次(平成),Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
26,2014,0,13000,総数,Tokyo-to,2019,935,1084,203170,96036,107134,202008,95034,106974
27,2015,0,13000,総数,Tokyo-to,2184,914,1270,216699,94584,122115,213259,93796,119463
28,2016,0,13000,総数,Tokyo-to,2342,901,1441,230334,94154,136180,225334,92958,132376
29,2017,0,13000,総数,Tokyo-to,2558,892,1666,247105,93188,153917,239709,92192,147517
30,2018,0,13000,総数,Tokyo-to,2811,880,1931,266473,92231,174242,254484,90567,163917
30,2018,1,13100,区部,All ku,1980,708,1272,184052,75281,108771,174319,74147,100172
30,2018,2,13101,千代田区,Chiyoda-ku,15,6,9,1302,507,795,1236,526,710
30,2018,2,13102,中央区,Chuo-ku,52,16,36,4606,1719,2887,4206,1704,2502
30,2018,2,13103,港区,Minato-ku,56,20,36,5157,2933,2224,4901,2841,2060
30,2018,2,13104,新宿区,Shinjuku-ku,62,18,44,6482,2250,4232,5712,2161,3551
30,2018,2,13105,文京区,Bunkyo-ku,61,20,41,4531,1910,2621,4361,1896,2465
30,2018,2,13106,台東区,Taito-ku,35,13,22,2943,1273,1670,2781,1218,1563
30,2018,2,13107,墨田区,Sumida-ku,65,25,40,5792,2642,3150,5333,2448,2885
30,2018,2,13108,江東区,Koto-ku,117,44,73,11874,4570,7304,11486,4445,7041
30,2018,2,13109,品川区,Shinagawa-ku,111,46,65,9925,4672,5253,9310,4888,4422
30,2018,2,13110,目黒区,Meguro-ku,55,21,34,4729,2223,2506,4384,2199,2185
30,2018,2,13111,大田区,Ota-ku,138,43,95,12614,5115,7499,12101,4995,7106
30,2018,2,13112,世田谷区,Setagaya-ku,175,49,126,15712,4771,10941,15196,5095,10101
30,2018,2,13113,渋谷区,Shibuya-ku,53,18,35,4954,1697,3257,4360,1641,2719
30,2018,2,13114,中野区,Nakano-ku,57,20,37,5045,1878,3167,4957,1916,3041
30,2018,2,13115,杉並区,Suginami-ku,118,43,75,10640,4028,6612,9615,3975,5640
30,2018,2,13116,豊島区,Toshima-ku,73,21,52,5574,2194,3380,5231,2254,2977
30,2018,2,13117,北区,Kita-ku,83,43,40,8118,4874,3244,7525,4608,2917
30,2018,2,13118,荒川区,Arakawa-ku,50,22,28,5253,2603,2650,5127,2671,2456
30,2018,2,13119,板橋区,Itabashi-ku,122,40,82,11148,3820,7328,10955,3738,7217
30,2018,2,13120,練馬区,Nerima-ku,145,60,85,13508,6648,6860,13395,6511,6884
30,2018,2,13121,足立区,Adachi-ku,122,43,79,11678,4385,7293,10967,4176,6791
30,2018,2,13122,葛飾区,Katsushika-ku,104,42,62,10369,4729,5640,9823,4550,5273
30,2018,2,13123,江戸川区,Edogawa-ku,111,35,76,12098,3840,8258,11357,3691,7666
30,2018,1,13200,市部,All shi,801,157,644,79994,15754,64240,78176,15629,62547
30,2018,2,13201,八王子市,Hachioji-shi,99,16,83,10393,1430,8963,10411,1405,9006
30,2018,2,13202,立川市,Tachikawa-shi,36,7,29,3927,763,3164,3725,677,3048
30,2018,2,13203,武蔵野市,Musashino-shi,26,4,22,2299,402,1897,2248,434,1814
30,2018,2,13204,三鷹市,Mitaka-shi,39,13,26,3483,1176,2307,3354,1214,2140
30,2018,2,13205,青梅市,Ome-shi,30,-,30,3225,-,3225,3040,5,3035
30,2018,2,13206,府中市,Fuchu-shi,50,14,36,5146,1464,3682,5049,1472,3577
30,2018,2,13207,昭島市,Akishima-shi,22,-,22,2662,-,2662,2691,2,2689
30,2018,2,13208,調布市,Chofu-shi,65,12,53,5474,1175,4299,5242,1196,4046
30,2018,2,13209,町田市,Machida-shi,73,5,68,6714,527,6187,6572,507,6065
30,2018,2,13210,小金井市,Koganei-shi,24,5,19,2276,592,1684,2093,559,1534
30,2018,2,13211,小平市,Kodaira-shi,42,9,33,3467,1046,2421,3432,1070,2362
