地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,,総数,Tokyo-to,,818062,47957,3240,5429,22,901,5328,146765,5049,6594,543660,43314,546,210,9047
1,13100,,区部,All ku,,601716,34020,2304,3478,15,701,3964,107402,3496,5383,402728,30836,416,169,6804
2,13101,1,千代田区,Chiyoda-ku,,15019,792,54,90,-,8,218,2983,36,144,9938,627,4,-,125
2,13102,2,中央区,Chuo-ku,,14449,974,58,55,-,26,194,2513,70,117,9658,623,-,-,161
2,13103,3,港区,Minato-ku,,24315,1597,132,105,-,13,266,4483,100,354,16081,886,5,-,293
2,13104,4,新宿区,Shinjuku-ku,,36091,1533,142,239,1,14,240,6441,217,582,24585,1621,11,1,464
2,13105,5,文京区,Bunkyo-ku,,12654,638,41,136,-,7,61,2215,49,84,7840,1450,16,-,117
2,13106,6,台東区,Taito-ku,,18820,957,76,52,2,36,146,3747,85,244,12605,641,1,-,228
2,13107,7,墨田区,Sumida-ku,,18043,1043,76,80,2,32,88,3101,74,145,11794,1392,5,2,209
2,13108,8,江東区,Koto-ku,,30500,1810,93,284,-,44,324,5174,155,235,20284,1486,9,135,467
2,13109,9,品川区,Shinagawa-ku ,,22683,1180,103,150,-,25,181,4170,89,155,15462,935,2,1,230
2,13110,10,目黒区,Meguro-ku,,14189,826,68,82,2,9,98,2638,63,85,9359,823,20,2,114
2,13111,11,大田区,Ota-ku ,,42117,2553,163,230,1,66,305,7845,225,288,27958,2066,15,6,396
2,13112,12,世田谷区,Setagaya-ku,,44333,2682,179,352,2,26,209,8283,247,261,29293,2280,76,6,437
2,13113,13,渋谷区,Shibuya-ku,,21148,1249,75,167,-,6,229,3791,111,337,14016,917,17,11,222
2,13114,14,中野区,Nakano-ku,,18572,886,74,70,-,12,76,3279,129,141,12816,827,15,1,246
2,13115,15,杉並区,Suginami-ku,,27954,1629,107,173,-,22,126,5249,191,177,18754,1109,51,1,365
2,13116,16,豊島区,Toshima-ku,,22121,948,95,114,-,6,158,4106,135,309,15097,806,8,1,338
2,13117,17,北区,Kita-ku,,22530,988,76,145,-,21,84,4036,100,158,15426,1171,-,-,325
2,13118,18,荒川区,Arakawa-ku ,,13620,649,38,47,-,20,64,2364,112,99,9081,986,28,-,132
2,13119,19,板橋区,Itabashi-ku,,33054,1825,125,137,1,37,161,5420,192,258,22495,1961,35,-,407
2,13120,20,練馬区,Nerima-ku,,37147,2124,100,172,4,38,170,6419,259,206,25517,1746,19,-,373
2,13121,21,足立区,Adachi-ku,,44638,2922,159,199,-,74,236,7468,321,369,29490,2899,54,-,447
2,13122,22,葛飾区,Katsushika-ku,,29455,1801,120,158,-,67,146,5159,205,236,19231,2096,9,-,227
2,13123,23,江戸川区,Edogawa-ku ,,38264,2414,150,241,-,92,184,6518,331,399,25948,1488,16,2,481
3,,,消防事務受託地区,Entrusted districts,,216053,13890,931,1950,7,199,1364,39361,1552,1211,140926,12273,130,17,2242
3,,,その他,Others,※,293,47,5,1,-,1,-,2,1,-,6,205,-,24,1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成30年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2018 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区･その他),,,,,,,,,,,,,,,,,,,,
