月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
総数,Total,1531,505224,160,135,191,23,287,165,67,111,46,329,17,1120,120,9,92,19,109,11,-,8,43
1,Jan.,121,12297,9,13,17,3,24,15,4,10,2,23,1,91,9,1,7,1,9,1,-,-,2
2,Feb.,112,22010,11,11,12,4,26,11,5,7,4,20,1,77,11,2,10,3,5,-,-,1,3
3,Mar.,112,30509,9,10,15,2,28,8,9,9,1,18,3,82,12,-,10,1,5,-,-,-,2
4,Apr.,120,22319,11,13,14,1,24,16,4,7,6,20,4,80,7,2,9,1,14,1,-,-,6
5,May,144,35250,10,17,22,2,19,18,6,6,2,39,3,109,13,-,8,1,8,1,-,-,4
6,June,118,134185,13,5,14,2,16,12,10,11,3,31,1,85,6,-,7,2,9,2,-,3,4
7,July,139,23163,19,15,16,2,30,16,5,15,4,17,-,107,9,-,7,1,6,-,-,2,7
8,Aug.,124,11117,17,8,14,-,18,13,9,12,9,24,-,98,6,2,7,2,4,-,-,2,3
9,Sept.,145,130876,20,11,18,1,30,16,-,12,2,33,2,109,5,-,5,4,19,1,-,-,2
10,Oct.,141,18612,12,8,17,1,32,18,4,9,5,35,-,108,10,1,10,-,10,-,-,-,2
11,Nov.,134,44470,16,11,21,1,18,13,4,8,3,37,2,86,18,-,6,1,14,4,-,-,5
12,Dec.,121,20416,13,13,11,4,22,9,7,5,5,32,-,88,14,1,6,2,6,1,-,-,3
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 (平成30年) 15-10  COMPANY BANKRUPTCIES ( 2018 ),,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,
