地域階層,地域コード,項番 Item number,地域,District,出生 Live-births／計 Total,出生 Live-births／男 Male,出生 Live-births／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,107150,55052,52098,119253,62466,56787,-12103,-7414,-4689,183,108,75,71,45,26,2201,1007,1194,1.2,82716,22706
1,13100,,区部,All ku,77335,39579,37756,80091,41948,38143,-2756,-2369,-387,130,79,51,51,30,21,1619,728,891,1.19,64253,16279
2,13101,1,千代田区,Chiyoda-ku,582,283,299,401,186,215,181,97,84,1,…,…,-,…,…,12,5,7,1.2,584,121
2,13102,2,中央区,Chuo-ku,2043,1068,975,911,467,444,1132,601,531,4,…,…,-,…,…,43,19,24,1.42,1728,382
2,13103,3,港区,Minato-ku,2857,1493,1364,1588,734,854,1269,759,510,4,…,…,1,…,…,55,24,31,1.39,2187,595
2,13104,4,新宿区,Shinjuku-ku,2479,1276,1203,2662,1413,1249,-183,-137,-46,3,…,…,2,…,…,63,25,38,1.03,2674,581
2,13105,5,文京区,Bunkyo-ku,2067,1083,984,1640,808,832,427,275,152,3,…,…,2,…,…,32,14,18,1.24,1492,291
2,13106,6,台東区,Taito-ku,1610,843,767,1918,1088,830,-308,-245,-63,3,…,…,2,…,…,40,19,21,1.23,1788,382
2,13107,7,墨田区,Sumida-ku,2449,1251,1198,2481,1340,1141,-32,-89,57,4,…,…,2,…,…,49,26,23,1.24,2353,514
2,13108,8,江東区,Koto-ku,4395,2223,2172,4093,2228,1865,302,-5,307,6,…,…,2,…,…,70,30,40,1.32,3129,914
2,13109,9,品川区,Shinagawa-ku,3745,1889,1856,3165,1648,1517,580,241,339,5,…,…,1,…,…,73,29,44,1.21,3254,683
