観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1445.5,48.5,20,220,109,165.5,155.5,107,86.5,365,61.5,63,44
江戸川臨海,Edogawarinkai,1161.5,42,15.5,179,73,147,131.5,93.5,33,324,41,51,31
練馬,Nerima,1384,38.5,13,250.5,81.5,141,113,162.5,168,298.5,50.5,26,41
世田谷,Setagaya,1526.5,63,18,224.5,93,152,154.5,119.5,152,368.5,63,66,52.5
府中,Fuchu,1388.5,44,16,272,82.5,133,119,158,126.5,304.5,62,24,47
八王子,Hachioji,1436,38,11.5,235.5,64,123.5,112,139,181.5,399.5,66,21,44.5
小沢,Ozawa,1747,40.5,13.5,200,67.5,120,116,280,332.5,467,51.5,23.5,35
青梅,Ome,1401,41.5,14.5,203.5,54.5,134,124.5,147.5,187.5,382,58.5,19.5,33.5
小河内,Ogochi,1539,35.5,13.5,181,68,119,111,309,238.5,374.5,36.5,23,29.5
羽田,Haneda,1201.5,46.5,15,198.5,81,162.5,138.5,90,32.5,316,41,49.5,30.5
大島,Oshima,2958,237,53.5,332,103.5,361,524,188.5,65,658.5,175.5,124,135.5
新島,Niijima,1887,83.5,36,186.5,56,305.5,381,92.5,19.5,383,43,159,141.5
三宅島,Miyakejima,2890,138.5,56,325.5,89,482.5,433.5,127,81,334,149.5,273.5,400
八丈島,Hachijojima,2886.5,90.5,132,241.5,150,239.5,575,225.5,211,345.5,240,254.5,181.5
父島,Chichijima,936,65.5,49.5,124.5,36,133.5,141,162.5,43.5,48.5,69.5,53,9
,,,,,,,,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成30年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2018 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
注) 小河内の7月の数値は，欠測等により統計を行う対象資料が許容範囲で欠けている。 ,,,,,,,,,,,,,,
Note: The July figures in Ogochi indicate that an acceptable portion of the data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
