措置区分,行政（平成24年）,定例（平成28年）,財援（平成28年）,行政（平成28年）,決算審査（平成28年）,定例（平成29年）,工事（平成29年）,（平成29年）,行政（システム）（平成29年）,行政（企画提案）（平成29年）,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,1,4,10,,,15
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,2,4,10,,,16
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,,,,,2,,,4
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,1,,,1,,2,,,5
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,,1,,,1
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,1,,1,,,2
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,1,3,1,,15,1,7,,,28
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,3,1,1,18,1,9,,4,38
小計※措置区分のうち主なものを１つ選定した場合の数値,1,1,3,1,,17,5,20,,,48
小計※措置区分のうち主なものを全て選定した場合の数値,1,1,4,1,1,22,5,22,,4,61
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,1,,1,,6,9
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,1,,,2,2,4,,6,15
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,4,,,17,2,6,,13,42
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,4,,,20,2,8,,15,49
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,8,8,8,,1,26
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,,1,1,1,21,10,17,,9,60
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,1,,3,,3,,11,18
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,,3,1,1,18,15,22,,29,89
小計※措置区分のうち主なものを１つ選定した場合の数値,,,5,1,1,29,10,18,,31,95
小計※措置区分のうち主なものを全て選定した場合の数値,,,9,2,2,61,29,51,,59,213
合計※措置区分のうち主なものを１つ選定した場合の数値,1,1,8,2,1,46,15,38,,31,143
合計※措置区分のうち主なものを全て選定した場合の数値,1,1,13,3,3,83,34,73,,63,274
